Article_ID,rayyan-key,doi,first_author,title,journal,year,tests_reversal,sample_size_calculation,conflict_interest,protocol_registration,OBS,Created By,Date,Results
80,rayyan-115931943,10.1111/jcmm.13358,Michela Campolo,Multiple mechanisms of dimethyl fumarate in amyloid Î²-induced neurotoxicity in human neuronal cells,Journal of Cellular and Molecular Medicine,2018,Yes,No,No,No,,Adriano Sebollela,2022-04-18,"242,243"
81,rayyan-115922234,10.1159/000505592,Suyun Choi,Korean Red Ginseng Inhibits Amyloid-Î²-Induced Apoptosis and Nucling Expression in Human Neuronal Cells.,Pharmacology,2020,Yes,No,No,No,,Adriano Sebollela,2022-04-18,"244,245"
82,rayyan-115926620,10.1074/jbc.M110.132860, Lila K Habib,Inhibitors of catalase-amyloid interactions protect cells from beta-amyloid-induced oxidative stress and toxicity.,The Journal of biological chemistry,2010,Yes,No,Not informed,No,,Adriano Sebollela,2022-04-20,246
83,rayyan-115923164,10.1021/acs.inorgchem.8b00091 ,Nilima A Vyas,Acetylcholinesterase and AÎ² Aggregation Inhibition by Heterometallic Ruthenium(II)-Platinum(II) Polypyridyl Complexes,Inorganic chemistry,2018,Yes,No,No,No,,Adriano Sebollela,2022-04-22,247
84,rayyan-115923114,10.1515/jbcpp-2017-0123,Md. Imamul Islam,Protective effect of chloroform extract of Stereospermum chelonoides bark against amyloid beta42 induced cell death in SH-SY5Y cells and against inflammation in Swiss albino mice.,Journal of basic and clinical physiology and pharmacology,2018,Yes,No,No,No,,Adriano Sebollela,2022-04-22,248
85,rayyan-115928210,10.1016/j.nbd.2005.02.003,Liu R,Trehalose differentially inhibits aggregation and neurotoxicity of beta-amyloid 40 and 42,Neurobiology of disease,2005,Yes,No,Not informed,No,,Adriano Sebollela,2022-04-22,"249,250"
86,rayyan-115924157,10.1002/jcp.25509,GIOVAMBATTISTA Desideri ,Uric Acid Amplifies AÎ² Amyloid Effects Involved in the Cognitive Dysfunction/Dementia: Evidences From an Experimental Model In Vitro,Journal of cellular physiology,2017,No,No,Not informed,No,,Adriano Sebollela,2022-04-29,251
87,rayyan-115931279,10.18178/ijpmbs.8.3.100-105,"Thammasart, S",The study of protective effects of low-level light and donepezil against Î²-amyloid-induced cytotoxicity in SH-SY5Y cells,International Journal of Pharma Medicine and Biological Sciences,2019,Yes,No,Not informed,No,,Adriano Sebollela,2022-04-29,252
88,rayyan-115921728,10.1002/mnfr.202000660,Mengdai Xu,Quercetin-3-O-Glucuronide Alleviates Cognitive Deficit and Toxicity in AÎ²(1-42) -Induced AD-Like Mice and SH-SY5Y Cells.,Molecular nutrition & food research,2021,Yes,No,No,No,,Adriano Sebollela,2022-04-29,"253,255"
89,rayyan-115931538,10.19193/0393-6384_2019_6_461,"Wu, C",Effect of savatiside a on intracellular calcium balance regulation-related proteins and ab-42 in in Alzheimer's disease mice,ACTA MEDICA MEDITERRANEA,2019,Yes,No,Not informed,No,,Adriano Sebollela,2022-05-13,256
90,rayyan-115931423,10.1016/j.jcis.2018.12.093,Qiusen Han,MoO-3x nanodots with dual enzyme mimic activities as multifunctional modulators for amyloid assembly and neurotoxicity,Journal of Colloid and Interface Science,2019,Yes,No,Not informed,No,,Adriano Sebollela,2022-05-20,257
91,rayyan-115925099,10.3892/mmr.2014.2351,TE LIU,Attenuated ability of BACE1 to cleave the amyloid precursor protein via silencing long noncoding RNA BACE1-AS  expression.,MOLECULAR MEDICINE REPORTS,2014,No,No,Not informed,No,,Adriano Sebollela,2022-05-20,258
92,rayyan-115923418,10.1021/acs.langmuir.7b03617,Anjali Jha,Inhibition of Î²-Amyloid Aggregation through aInhibition of β-Amyloid Aggregation through a Designed β-Hairpin Peptide,Langmuir : the ACS journal of surfaces and colloids,2018,Yes,No,No,No,,Adriano Sebollela,2022-05-27,259
