Article_ID,rayyan-key,doi,first_author,title,journal,year,tests_reversal,sample_size_calculation,conflict_interest,protocol_registration,OBS,Created By,Date,Results
80,rayyan-115928431,10.1016/j.nbd.2004.08.007,Zsolt Datki,In vitro model of neurotoxicity of Abeta 1-42 and neuroprotection by a pentapeptide: irreversible events during the first hour.,Neurobiology of disease,2004,No,No,Not informed,No,,Ana Paula Sampaio,2022-05-26,"242,244,247"
83,rayyan-115922696,10.1074/jbc.RA118.006846,Jin Ng,Site-specific glycation of AÎ²1-42 affects fibril formation and is neurotoxic.,The Journal of biological chemistry,2019,No,No,No,No,,Ana Paula Sampaio,2022-05-27,253
84,rayyan-115926326,10.1016/j.jinorgbio.2011.05.013,A. Granzotto,Physiological cholesterol concentration is a neuroprotective factor against Î²-amyloid and Î²-amyloid-metal complexes toxicity.,Journal of inorganic biochemistry,2011,Yes,No,Not informed,No,,Ana Paula Sampaio,2022-05-27,254
85,rayyan-115922056,10.3390/biomedicines8050107,Pitchayakarn Takomthong,Structure-Activity Analysis and Molecular Docking Studies of Coumarins from Toddalia asiatica as Multifunctional Agents for Alzheimer's Disease.,Biomedicines,2020,Yes,No,No,No,,Ana Paula Sampaio,2022-05-27,255
86,rayyan-115930536,10.3390/ijms21197273,Elham Rezvani Boroujeni,Soluble prion peptide 107â€“120 protects neuroblastoma sh-sy5y cells against oligomers associated with alzheimerâ€™s disease,Int. J. Mol. Sci.,2020,Yes,No,Not informed,No,,Ana Paula Sampaio,2022-05-27,256
87,rayyan-115922365,10.1080/14756366.2019.1689237,Gaia Fancellu,Novel tacrine-benzofuran hybrids as potential multi-target drug candidates for the treatment of Alzheimer's Disease.,Journal of enzyme inhibition and medicinal chemistry,2020,Yes,No,No,No,,Ana Paula Sampaio,2022-05-28,257
88,rayyan-115931419,10.1002/cmdc.201900003,Andreia Daniela Veloso,"Hydrophilic Carbon Nanomaterials: Characterisation by Physical, Chemical, and Biological Assays",ChemMedChem,2019,Yes,No,Not informed,No,,Ana Paula Sampaio,2022-05-28,258
89,rayyan-115922005,10.1016/j.neurobiolaging.2020.04.012,Sarmad Al-Edresia,Resveratrol-mediated cleavage of amyloid Î²(1-42) peptide: potential relevance to Alzheimer's disease.,Neurobiology of aging,2020,Yes,No,No,No,,Ana Paula Sampaio,2022-05-29,259
90,rayyan-115932288,10.1016/j.freeradbiomed.2017.01.026,Hong Zhou,Hydrogen sulfide reduces RAGE toxicity through inhibition of its dimer formation,Free Radic. Biol. Med.,2017,Yes,No,No,No,,Ana Paula Sampaio,2022-05-29,"260,262"
91,rayyan-115922308,10.1155/2019/1862437,Shuai Li,Artemether Activation of AMPK/GSK3Î²(ser9)/Nrf2 Signaling Confers Neuroprotection towards Î²-Amyloid-Induced Neurotoxicity in 3xTg Alzheimer's Mouse Model.,Oxidative medicine and cellular longevity,2019,Yes,No,No,No,,Ana Paula Sampaio,2022-05-29,263
92,rayyan-115934882,10.1016/j.jep.2010.01.014,Ji-Seon Seo,Oriental medicine Jangwonhwan reduces AÎ²(1-42) level and Î²-amyloid deposition in the brain of Tg-APPswe/PS1dE9 mouse model of Alzheimer disease,J. Ethnopharmacol.,2010,Yes,No,No,No,,Ana Paula Sampaio,2022-05-29,264
93,rayyan-115921845,10.1016/j.bmc.2020.115676,Fumiya Tanakaa,Design and synthesis of Î²-strand-fixed peptides inhibiting aggregation of amyloid Î²-protein.,Bioorganic & medicinal chemistry,2020,No,No,No,No,,Ana Paula Sampaio,2022-05-29,265
94,rayyan-115933443,10.1016/j.freeradbiomed.2014.06.013,Wei-wei Zhou,Decreasing oxidative stress and neuroinflammation with a multifunctional peptide rescues memory deficits in mice with Alzheimer disease,Free Radic. Biol. Med.,2014,Yes,No,Not informed,No,,Ana Paula Sampaio,2022-05-29,266
95,rayyan-115923748,10.1007/s12640-017-9746-5,Abhishek Kumar Singh,"Autophagy Activation Alleviates Amyloid-Î²-Induced Oxidative Stress, Apoptosis and Neurotoxicity in Human Neuroblastoma SH-SY5Y Cells.",Neurotoxicity research,2017,No,No,No,No,,Ana Paula Sampaio,2022-05-29,267
96,rayyan-115922183,10.3390/molecules25040985,Sílvia Chaves,"Design, Synthesis, and In Vitro Evaluation of Hydroxybenzimidazole-Donepezil Analogues as Multitarget-Directed Ligands for the Treatment of Alzheimer's Disease.","Molecules (Basel, Switzerland)",2020,Yes,No,No,No,,Ana Paula Sampaio,2022-05-29,270
97,rayyan-115934223, 10.1007/s11064-011-0652-6,Zhengrong Mei,Cryptotanshinione inhibits Î²-amyloid aggregation and protects damage from Î²-amyloid in SH-SY5Y cells,Neurochem. Res.,2012,Yes,No,Not informed,No,,Ana Paula Sampaio,2022-05-31,"271,273,276"
98,rayyan-115931853,10.3892/ijmm.2018.3456,Yunzi Li,Mitochondrial protective mechanism of simvastatin protects against amyloid Î² peptide-induced injury in SH-SY5Y cells,Int. J. Mol. Med.,2018,Yes,No,No,No,,Ana Paula Sampaio,2022-05-31,"277,279"
99,rayyan-115921971, 10.1038/s41598-020-66602-9,Prashant Bharadwaj,Amylin and beta amyloid proteins interact to form amorphous heterocomplexes with enhanced toxicity in neuronal cells.,Scientific reports,2020,Yes,No,No,No,,Ana Paula Sampaio,2022-05-31,"280,281,324"
100,rayyan-115934634,10.1007/s13206-011-5402-y,Chan-Won Park,ProteoChip-based screening system of novel inhibitors against the interaction of VEGF165 and Î²-Amyloid1-42,Bioch. J.,2011,Yes,No,Not informed,No,,Ana Paula Sampaio,2022-06-01,282
101,rayyan-115936074,10.1016/j.bbrc.2005.01.030,Kyung Hyun Lee,A hybrid molecule that prohibits amyloid fibrils and alleviates neuronal toxicity induced by Î²-amyloid (1-42),Biochem. Biophys. Res. Commun.,2005,Yes,No,Not informed,No,,Ana Paula Sampaio,2022-06-11,283
102,rayyan-115928153,10.1038/sj.cdd.4401818,S Akterin,Involvement of glutaredoxin-1 and thioredoxin-1 in beta-amyloid toxicity and Alzheimer's disease.,Cell death and differentiation,2006,Yes,No,Not informed,No,,Ana Paula Sampaio,2022-06-11,"284,289,290,291,292"
103,rayyan-115926402,10.1007/s13206-011-5402-y,Adam M. Weidner,ProteoChip-based screening system of novel inhibitors against the interaction of VEGF165 and Î²-Amyloid1-42,Bioch. J.,2011,No,No,Not informed,No,,Ana Paula Sampaio,2022-06-12,"293,294,325"
104,rayyan-115925788,10.3109/13880209.2012.700718,Jinyoung Hur,Borneol alleviates oxidative stress via upregulation of Nrf2 and Bcl-2 in SH-SY5Y cells.,Pharmaceutical biology,2013,Yes,No,Yes,No,"Declaration of interest This study was supported by a grant of the Oriental Medicine R&D Project, Ministry for Health & Welfare & Family Affairs, Republic of Korea (B090068).",Ana Paula Sampaio,2022-06-16,298
105,rayyan-115931708,10.1039/c8mt00143j ,Karam Chand,Tacrine-deferiprone hybrids as multi-target-directed metal chelators against Alzheimer's disease: a two-in-one drug,Metallomics,2018,Yes,No,No,No,,Ana Paula Sampaio,2022-06-16,300
106,rayyan-115922480,10.1002/jbt.22393,Neelima Ayyalasomayajula,Mitigative effects of epigallocatechin gallate in terms of diminishing apoptosis and oxidative stress generated by the combination of lead and amyloid peptides in human neuronal cells.,Journal of biochemical and molecular toxicology,2019,Yes,No,No,No,,Ana Paula Sampaio,2022-06-16,301
