Article_ID,rayyan-key,doi,first_author,title,journal,year,tests_reversal,sample_size_calculation,conflict_interest,protocol_registration,OBS,Created By,Date,Results
80,rayyan-115922719,10.1007/s12035-019-1544-z,Mohammad Ejaz Ahmed ,Synergy in Disruption of Mitochondrial Dynamics by AÎ² (1-42) and Glia Maturation Factor (GMF) in SH-SY5Y Cells Is Mediated Through Alterations in Fission and Fusion Proteins.,Molecular Neurobiology,2019,No,No,Not informed,No,,Antônio Felix,2022-03-10,242
81,rayyan-115923507,10.1371/journal.pone.0186636,Jekaterina Krishtal,In situ fibrillizing amyloid-beta 1-42 induces neurite degeneration and apoptosis of differentiated SH-SY5Y cells.,PloS one,2017,No,No,Not informed,No,,Antônio Felix,2022-03-24,243
82,rayyan-115926264,10.1142/S0192415X11009305,Songhee Jeon,SuHeXiang Wan essential oil alleviates amyloid beta induced memory impairment through inhibition of tau protein phosphorylation in mice.,The American journal of Chinese medicine,2011,No,No,Not informed,No,,Antônio Felix,2022-03-24,244
83,rayyan-115934169, 10.1016/j.freeradbiomed.2012.01.012,Mariagioia Zampagni ,Novel S-acyl glutathione derivatives prevent amyloid oxidative stress and cholinergic dysfunction in Alzheimer disease models,Free Radical Biology & Medicine,2012,No,No,Not informed,No,,Antônio Felix,2022-03-24,245
84,rayyan-115923777, 10.1021/acschemneuro.7b00100,Elena Simoni,Targeting the Nrf2/Amyloid-Beta Liaison in Alzheimer's Disease: A Rational Approach.,ACS chemical neuroscience,2017,No,No,Not informed,No,,Antônio Felix,2022-03-24,246
85,rayyan-115922770,10.1159/000489551,Mohammad Rasoul,Altered Micro-RNA Regulation and Neuroprotection Activity of Eremostachys labiosiformis in Alzheimer's Disease Model.,Annals of Neurosciences,2019,No,No,No,No,,Antônio Felix,2022-03-25,247
86,rayyan-115923717,10.1002/cmdc.201700282,Leonardo Pisani,Discovery of Potent Dual Binding Site Acetylcholinesterase Inhibitors via Homo- and Heterodimerization of Coumarin-Based Moieties.,ChemMedChem,2017,No,No,Not informed,No,,Antônio Felix,2022-03-28,248
87,rayyan-115923366,10.1016/j.jinorgbio.2018.01.012,Jie Meng,RTHLVFFARK-NH(2): A potent and selective modulator on Cu(2+)-mediated amyloid-Î² protein aggregation and cytotoxicity.,Journal of Inorganic Biochemistry,2018,No,No,Not informed,No,,Antônio Felix,2022-03-28,"249,250"
88,rayyan-115922843,10.1016/j.phytochem.2018.12.013,Taewoong Rho,"Identification of
  fermented tea (Camellia sinensis) polyphenols and their inhibitory activities
  against amyloid-beta aggregation.",Phytochemistry,2019,No,No,Not informed,No,,Antônio Felix,2022-03-30,251
89,rayyan-115925818,10.1007/s12272-012-0916-y ,Da-Hua Shi,"A novel 7-O-modified genistein derivative with acetylcholinesterase inhibitory effect, estrogenic activity and neuroprotective effect.",Archives of Pharmacal Research,2012,No,No,Not informed,No,,Antônio Felix,2022-04-12,252
90,rayyan-115935094,10.4196/kjpp.2009.13.4.273,Yong Hoon Park1,Inhibition of Î²-amyloid1-40 peptide aggregation and neurotoxicity by citrate,The Korean Journal of Physiology & Pharmacology,2009,No,No,Not informed,No,,Antônio Felix,2022-04-12,253
91,rayyan-115924954,10.1007/s12035-014-8910-7,Yuan Zhang,Functional Characteristics and Molecular Mechanism of a New scFv Antibody Against AÎ²42 Oligomers and Immature Protofibrils.,Molecular Neurobiology,2015,No,No,Not informed,No,,Antônio Felix,2022-04-12,"254,255"
