Article_ID,rayyan-key,doi,first_author,title,journal,year,tests_reversal,sample_size_calculation,conflict_interest,protocol_registration,OBS,Created By,Date,Results
80,rayyan-115923876,10.1186/s12951-016-0227-4,Faiz Ul Amin,Anthocyanins encapsulated by PLGA@PEG nanoparticles potentially improved its free radical scavenging capabilities via p38/JNK pathway against AB(1-42)-induced oxidative stress,Journal of Nanobiotechnology,2017,Yes,No,No,No,,Clarissa Franca Dias Carneiro,2022-02-10,242
81,rayyan-115929218,10.1046/j.1471-4159.2001.00419.x,Cinzia Fabrizi,Role of alpha2-macroglobulin in regulating amyloid beta-protein neurotoxicity: protective or detrimental factor?,Journal of Neurochemistry,2001,Yes,No,No,No,,Clarissa Franca Dias Carneiro,2022-02-10,"243,244"
82,rayyan-115924582,10.4103/0971-5916.164254,Jianhui Liu,A novel antagonistic role of natural compound icariin on neurotoxicity of amyloid β peptide,Indian Journal of Medical Research,2015,Yes,No,No,No,,Clarissa Franca Dias Carneiro,2022-02-24,"245,246"
83,rayyan-115921772,10.1080/15368378.2020.1830288,Alejandro Maldonado-Moreles,"Low frequency vortex magnetic field reduces amyloid β aggregation, increase cell viability and protect from amyloid β toxicity",Electromagnetic Biology and Medicine,2020,Yes,No,No,No,,Clarissa Franca Dias Carneiro,2022-02-24,247
84,rayyan-115921950,10.1007/s12031-020-01621-9,Mohsen Sedighi,Anti-aging Klotho Protects SH-SY5Y Cells Against Amyloid β1–42 Neurotoxicity: Involvement of Wnt1/pCREB/Nrf2/HO-1 Signaling,Journal of Molecular Neuroscience,2020,Yes,No,No,No,,Clarissa Franca Dias Carneiro,2022-03-17,248
85,rayyan-115922243,10.1016/j.neuropharm.2020.107977,A. Filippone,Protective effect of sodium propionate in Aβ1-42 -induced neurotoxicity and spinal cord trauma,Neuropharmacology,2020,Yes,No,Not informed,No,,Clarissa Franca Dias Carneiro,2022-03-17,249
86,rayyan-115922578,10.3389/fncel.2019.00239,Susanne Moosecker,"Activated PPARg Abrogates Misprocessing of Amyloid Precursor Protein, Tau Missorting and Synaptotoxicity",Frontiers in Cellular Neuroscience,2019,Yes,No,No,No,,Clarissa Franca Dias Carneiro,2022-04-06,250
87,rayyan-115922833,10.1016/j.ejmech.2019.01.039,Lin Cong,On the role of synthesized hydroxylated chalcones as dual functional amyloid-β aggregation and ferroptosis inhibitors for potential treatment of Alzheimer's disease,European Journal of Medicinal Chemistry,2019,Yes,No,No,No,,Clarissa Franca Dias Carneiro,2022-04-06,"251,253"
89,rayyan-115923044,10.1080/14756366.2018.1491564,Luca Piemontese,Donepezil structure-based hybrids as potential multifunctional anti-Alzheimer’s drug candidates,Journal of Enzyme Inhibition and Medicinal Chemistry,2018,Yes,No,No,No,,Clarissa Franca Dias Carneiro,2022-05-08,254
90,rayyan-115923332, 10.1016/j.ejmech.2018.02.023 ,Asha Hiremathad,Novel Tacrine-Hydroxyphenylbenzimidazole hybrids as potential multitarget drug candidates for Alzheimer's disease,European Journal of Medicinal Chemistry,2018,Yes,No,Not informed,No,,Clarissa Franca Dias Carneiro,2022-05-08,255
91,rayyan-115923385,10.1111/jpi.12470,Vorapin Chinchalongporn,Melatonin ameliorates Aβ42-induced alteration of βAPP-processing secretases via the melatonin receptor through the Pin1/GSK3β/NF-kβ pathway in SH-SY5Y cells,Journal of Pineal Research,2018,No,No,Not informed,No,,Clarissa Franca Dias Carneiro,2022-05-08,256
92,rayyan-115923572,10.1080/15287394.2017.1367133,Ming Zhang,The influence of Schisandrin B on a model of Alzheimer's disease using Î²-amyloid protein AÎ²(1-42)-mediated damage in SH-SY5Y neuronal cell line and underlying mechanisms.,"Journal of Toxicology and Environmental Health, Part A",2017,Yes,No,Not informed,No,,Clarissa Franca Dias Carneiro,2022-05-08,257
93,rayyan-115923635,10.1371/journal.pone.0181480,Laia Montoliu-Gaya,Production of an anti-AÎ² antibody fragment in Pichia pastoris and in vitro and in vivo validation of its therapeutic effect.,Plos One,2017,Yes,No,No,No,,Clarissa Franca Dias Carneiro,2022-05-08,258
94,rayyan-115924189,10.1016/j.bmc.2016.06.057,Takuya Arai,"Design, synthesis, and evaluation of Trolox-conjugated amyloid-Î² C-terminal peptides for therapeutic intervention in an in vitro model of Alzheimer's disease.",Bioorganic & Medicinal Chemistry,2016,Yes,No,Not informed,No,,Clarissa Franca Dias Carneiro,2022-05-08,"259,260,261"
95,rayyan-115924731,10.1093/hmg/ddv130,Jung Yeon Lim,"The pro-domains of neurotrophins, including BDNF, are linked to Alzheimer's disease through a toxic synergy with AÎ².",Human Molecular Genetics,2015,Yes,No,No,No,,Clarissa Franca Dias Carneiro,2022-05-08,"262,275"
96,rayyan-115924996,10.1021/jm501195e,Boris Brus,"Discovery, biological evaluation, and crystal structure of a novel nanomolar selective butyrylcholinesterase inhibitor.",Journal of Medicinal Chemistry,2014,Yes,No,Not informed,No,,Clarissa Franca Dias Carneiro,2022-05-08,263
97,rayyan-115926308,10.1016/j.nbd.2011.07.005,Eun Ji Gong,Morin attenuates tau hyperphosphorylation by inhibiting GSK3Î².,Neurobiology of Disease,2011,Yes,No,Not informed,No,,Clarissa Franca Dias Carneiro,2022-05-08,264
98,rayyan-115925436,10.1007/s10571-013-9984-x ,Emelie Janefjord,"Cannabinoid effects on Î² amyloid fibril and aggregate formation, neuronal and microglial-activated neurotoxicity in vitro.",Celular and Molecular Neurobiology,2013,Yes,No,No,No,,Clarissa Franca Dias Carneiro,2022-05-14,"265,266,267"
99,rayyan-115930730,10.1016/j.ijbiomac.2020.02.041,Ajit Singh,Silymarin encapsulated nanoliquid crystals for improved activity against beta amyloid induced cytotoxicity,International Journal of Biological Macromolecules,2020,Yes,No,No,No,,Clarissa Franca Dias Carneiro,2022-05-14,268
100,rayyan-115930816,10.1002/cmdc.201900612,Anna Maria Santoro,Pyrazolones Activate the Proteasome by Gating Mechanisms and Protect Neuronal Cells from Î²-Amyloid Toxicity,ChemMedChem,2019,Yes,No,Not informed,No,,Clarissa Franca Dias Carneiro,2022-05-14,269
101,rayyan-115931434,10.1016/j.bioorg.2018.10.016,Alessandro Palmioli,bioNMR-based identification of natural anti-AÎ² compounds in Peucedanum ostruthium,Bioorganic Chemistry,2018,Yes,No,No,No,,Clarissa Franca Dias Carneiro,2022-05-14,270
