Article_ID,rayyan-key,doi,first_author,title,journal,year,tests_reversal,sample_size_calculation,conflict_interest,protocol_registration,OBS,Created By,Date,Results
80,rayyan-115922205,10.1016/j.jocn.2019.11.046,Mehmet Ozansoy,Melatonin affects the release of exosomes and tau-content in in vitro amyloid-beta toxicity model.,Journal of clinical neuroscience : official journal of the Neurosurgical Society of           Australasia,2020,Yes,No,No,No,,Giulia Scarcella Cancelliero,2022-02-24,242
81,rayyan-115922523,10.3390/brainsci9080196,Agnese Gugliandolo,α-Tocopherol Modulates Non-Amyloidogenic Pathway and Autophagy in an In Vitro Model of Alzheimer’s Disease: A Transcriptional Study,Brain sciences,2019,Yes,No,No,No,,Giulia Scarcella Cancelliero,2022-02-24,243
82,rayyan-115928224,10.1016/j.febslet.2005.07.057,Mathumai Kanapathipillai,Ectoine and hydroxyectoine inhibit aggregation and neurotoxicity of Alzheimer's ꞵ-amyloid,FEBS letters,2005,Yes,No,Not informed,No,,Giulia Scarcella Cancelliero,2022-02-24,"244,245"
83,rayyan-115925014,10.1016/j.neurobiolaging.2014.07.024,Moonhee Lee ,Activated human microglia stimulate neuroblastoma cells to upregulate production of beta amyloid protein and tau: implications for Alzheimer's disease pathogenesis.,Neurobiology of aging,2015,No,No,No,No,,Giulia Scarcella Cancelliero,2022-02-24,246
84,rayyan-115935519,,Sujeong Jang,"Protein Kinase C-mediated Neuroprotective Action of (-)-epiga-
llocatechin-3-gallate against Aβ1-42-induced Apoptotic Cell Death in SH-SY5Y Neuroblastoma Cells",Korean J. Physiol. Pharmacol.,2007,Yes,No,Not informed,No,,Giulia Scarcella Cancelliero,2022-02-24,"247,248,249"
85,rayyan-115923467,10.1159/000485117,Zhangyang Qi,Palmitic Acid Curcumin Ester Facilitates Protection of Neuroblastoma against Oligomeric Aꞵ40 Insult.,Cellular Physiology and Biochemistry,2017,Yes,No,No,No,,Giulia Scarcella Cancelliero,2022-02-24,"250,251"
86,rayyan-115925864,10.1016/j.bmc.2012.08.001,Yusaku Miyamae,Protective effects of caffeoylquinic acids on the aggregationand neurotoxicity of the 42-residue amyloid ꞵ-protein,Bioorganic & medicinal chemistry,2012,Yes,No,Not informed,No,,Giulia Scarcella Cancelliero,2022-02-24,252
87,rayyan-115927187, 10.1038/aps.2009.25,Zhen-xia QIN,Effects of lysophosphatidylcholine on beta-amyloid-induced neuronal apoptosis.,Acta pharmacologica Sinica,2009,No,No,Not informed,No,,Giulia Scarcella Cancelliero,2022-02-24,253
88,rayyan-115922135,10.1021/acschemneuro.9b00549,Laura M. De Plano ,"Innovative IgG Biomarkers Based on Phage Display Microbial
Amyloid Mimotope for State and Stage Diagnosis in Alzheimer’s
Disease",ACS Chemical neuroscience,2020,Yes,No,Yes,No,,Giulia Scarcella Cancelliero,2022-02-24,"254,255,256"
89,rayyan-115922941,10.1021/acs.jafc.8b05404,Lingshuai Meng,"Anthocyanins extracted from Aronia melanocarpa protect SHSY5Y cells against amyloid-beta (1–42)-induced apoptosis by
regulating Ca2+ homeostasis and inhibiting mitochondrial dysfunction",Journal of agricultural and food chemistry,2018,Yes,No,No,No,,Giulia Scarcella Cancelliero,2022-02-24,"257,258"
90,rayyan-115929708,10.1016/s0306-4522(98)00218-8,Giulio Maria Pasinetti,"CYCLOOXYGENASE-2 EXPRESSION IS INCREASED IN
FRONTAL CORTEX OF ALZHEIMER’S DISEASE BRAIN",Neuroscience,1998,No,No,Not informed,No,,Giulia Scarcella Cancelliero,2022-02-24,259
91,rayyan-115926929,10.2174/156720510791383787,Xavier Fernàndez-Busquets,"Modulation of Amyloid β Peptide1-42 Cytotoxicity and Aggregation in Vitro
by Glucose and Chondroitin Sulfate",Current Alzheimer Research,2010,Yes,No,Not informed,No,,Giulia Scarcella Cancelliero,2022-02-24,"260,261"
92,rayyan-115922621,10.1016/j.ejmech.2019.05.062,Rosa Purgatorio,"Investigating 1,2,3,4,5,6-hexahydroazepino[4,3-b]indole as scaffold of
butyrylcholinesterase-selective inhibitors with additional
neuroprotective activities for Alzheimer's disease",European Journal of Medicinal Chemistry,2019,Yes,No,No,No,,Giulia Scarcella Cancelliero,2022-02-24,262
93,rayyan-115923662,10.1080/13506129.2017.1348347,Laia Montoliu-Gaya,"Towards the improvement in stability of an antiAβ single-chain variable fragment, scFv-h3D6, as a way to enhance its therapeutic potential
",Amyloid,2017,Yes,No,No,No,,Giulia Scarcella Cancelliero,2022-02-24,263
94,rayyan-115925126,10.1016/j.carbpol.2014.03.060,Peipei Wang,A glucan isolated from flowers of Lonicera japonica Thunb. inhibits aggregation and neurotoxicity of Aˇ42,Carbohydrate Polymers,2014,Yes,No,Not informed,No,,Giulia Scarcella Cancelliero,2022-02-24,"264,265"
95,rayyan-115924818,10.1021/cn500323q,Diego Mastroeni,"Novel Antioxidants Protect Mitochondria from the Effects of Oligomeric
Amyloid Beta and Contribute to the Maintenance of Epigenome Function",ACS Chemical Neuroscience,2015,Yes,No,No,No,,Giulia Scarcella Cancelliero,2022-02-24,266
96,rayyan-115934420,10.3109/14756366.2010.529806,Jaroslav Šebestík,"Bifunctional phenolic-choline conjugates as anti-oxidants and
acetylcholinesterase inhibitors",Journal of Enzyme Inhibition and Medicinal Chemistry,2011,Yes,No,Not informed,No,,Giulia Scarcella Cancelliero,2022-02-24,267
97,rayyan-115933981,10.1021/bi300415v,Hozefa Amijee,"The N‑Methylated Peptide SEN304 Powerfully Inhibits Aβ(1−42)
Toxicity by Perturbing Oligomer Formation",Biochemistry,2012,Yes,No,Yes,No,,Giulia Scarcella Cancelliero,2022-02-24,268
