Screening ID,rayyan-key,doi,Status,Motivo para exclusão,Observações gerais do artigo,Quem,Outcomes
111,rayyan-115934997,10.2174/1567205016666190827123222,Excluído,9 - Sem full text,falta escrever para autores para pegar pdf,Clarissa Franca Dias Carneiro,
2,rayyan-115921641,10.1016/j.isci.2020.101823,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,Decisão por consenso (piloto).,Clarissa Franca Dias Carneiro,
3,rayyan-115921648,10.1016/j.nbd.2020.105219,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,Decisão por consenso (piloto).,Clarissa Franca Dias Carneiro,
1,rayyan-115921639,10.3389/fimmu.2020.591571,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,Decisão por consenso (piloto).,Clarissa Franca Dias Carneiro,
4,rayyan-115921650,10.1016/j.ijbiomac.2020.12.030,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,Decisão por consenso (piloto).,Clarissa Franca Dias Carneiro,
7,rayyan-115921663,10.1016/j.exger.2020.111180,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,Decisão por consenso (piloto).,Clarissa Franca Dias Carneiro,
9,rayyan-115936516,10.1046/j.1471-4159.2003.01585.x ,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Clarissa Franca Dias Carneiro,
10,rayyan-115937075,10.1002/(SICI)1097-4547(19991001)58:1<152::AID-JNR15>3.0.CO;2-V,Excluído,2 - Não apresenta dados originais,"É uma revisão, inclui dados de outros artigos que poderiam ser incluídos.",Clarissa Franca Dias Carneiro,
11,rayyan-115935317,10.1038/cdd.2008.49,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Clarissa Franca Dias Carneiro,
12,rayyan-115923310,10.1080/14786419.2018.1448814 ,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Clarissa Franca Dias Carneiro,
13,rayyan-115936461,10.1074/jbc.M213298200,Excluído,4 - Não usa célula SHSY-5Y como modelo,Células SHEP (irmã da SHSY-5Y),Clarissa Franca Dias Carneiro,
