Screening ID,rayyan-key,doi,Status,Motivo para exclusão,Observações gerais do artigo,Quem,Outcomes
10,rayyan-115936283,10.1074/jbc.M313630200,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giovanna Nogueira,
11,rayyan-115923773,10.1523/JNEUROSCI.2385-16.2017,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giovanna Nogueira,
12,rayyan-115922803,10.1021/acschemneuro.9b00015,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giovanna Nogueira,
14,rayyan-115933873,10.4161/auto.23487,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giovanna Nogueira,
15,rayyan-115927378,10.1016/j.ejphar.2008.06.109,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Giovanna Nogueira,
16,rayyan-115923970,10.1016/j.exger.2016.11.009,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Giovanna Nogueira,
17,rayyan-115930024,10.1111/j.1749-6632.1996.tb34412.x,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giovanna Nogueira,
18,rayyan-115937524,10.1046/j.1471-4159.1996.66041374.x,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giovanna Nogueira,
19,rayyan-115921650,10.1016/j.ijbiomac.2020.12.030,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,"Não descreve uso de Ab, trata-se de avaliação de efeitos dos agregados da proteína Tau",Giovanna Nogueira,
20,rayyan-115936035,10.1523/JNEUROSCI.0653-05.2005,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giovanna Nogueira,
21,rayyan-115936453,10.1016/s0891-5849(03)00244-2,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giovanna Nogueira,
22,rayyan-115926214,10.1016/j.neuropharm.2011.10.007,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,Não descreve administração de Ab na célula SHSY,Giovanna Nogueira,
23,rayyan-115927017,10.1016/j.febslet.2009.09.018,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giovanna Nogueira,
24,rayyan-115927557,10.2174/156720207782446315,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,"Artigo reporta uso de SHSY e ensaio de viabilidade celular, mas nenhum dos resultados apresentados corresponde a resultado de viabilidade. Não foi encontrado material suplementar.",Giovanna Nogueira,
27,rayyan-115925833,10.1016/j.neuint.2012.09.005,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giovanna Nogueira,
28,rayyan-115924934,10.1021/bi501003n,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giovanna Nogueira,
29,rayyan-115927738,10.1016/j.brainresbull.2007.01.010,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Giovanna Nogueira,
30,rayyan-115936821,10.1016/s0197-0186(00)00128-5,Excluído,7 - Não inclui uma medida de toxicidade,,Giovanna Nogueira,
31,rayyan-115926441,10.1016/j.biocel.2011.02.009,Excluído,7 - Não inclui uma medida de toxicidade,,Giovanna Nogueira,
32,rayyan-115937675,10.1016/0014-5793(94)80467-2,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giovanna Nogueira,
35,rayyan-115923121,10.3389/fphar.2018.00708,Excluído,7 - Não inclui uma medida de toxicidade,,Giovanna Nogueira,
36,rayyan-115936008,10.1016/j.neuropharm.2005.01.028,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giovanna Nogueira,
41,rayyan-115937216,10.1002/(SICI)1097-4547(19980901)53:5<583::AID-JNR8>3.0.CO;2-5,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Giovanna Nogueira,
44,rayyan-115927640,10.1074/jbc.M705558200,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giovanna Nogueira,
