Screening ID,rayyan-key,doi,Status,Motivo para exclusão,Observações gerais do artigo,Quem,Outcomes
10,rayyan-115922817,10.1016/j.trci.2018.12.003,Excluído,7 - Não inclui uma medida de toxicidade,,Giulia Scarcella Cancelliero,
11,rayyan-115935545,10.1517/17460441.2.9.1273,Excluído,2 - Não apresenta dados originais,,Giulia Scarcella Cancelliero,
12,rayyan-115937195,10.1023/a:1020754807671,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giulia Scarcella Cancelliero,
13,rayyan-115923058,10.1039/C8TB00206A,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Giulia Scarcella Cancelliero,
14,rayyan-115924575,10.1016/j.ejmech.2015.08.052,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Giulia Scarcella Cancelliero,
15,rayyan-115924381,10.1155/2015/153684,Incluído,,,Giulia Scarcella Cancelliero,16
16,rayyan-115923072,10.12659/MSM.908765,Excluído,7 - Não inclui uma medida de toxicidade,,Giulia Scarcella Cancelliero,
17,rayyan-115925578,10.3892/ijmm.2013.1407,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giulia Scarcella Cancelliero,
18,rayyan-115923365,10.1016/j.ejmech.2018.01.055,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Giulia Scarcella Cancelliero,
19,rayyan-115922079,10.1007/s00401-020-02152-8,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giulia Scarcella Cancelliero,
20,rayyan-115935791,10.1016/j.steroids.2006.05.003,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giulia Scarcella Cancelliero,
21,rayyan-115937405,10.1523/JNEUROSCI.17-05-01683.1997,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giulia Scarcella Cancelliero,
22,rayyan-115935504,10.1016/j.neuint.2007.04.002,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Giulia Scarcella Cancelliero,
23,rayyan-115926496,10.3109/14756366.2010.548329,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Giulia Scarcella Cancelliero,
24,rayyan-115936367,10.1002/ana.10761,Excluído,6 - Não inclui um controle adequado,,Giulia Scarcella Cancelliero,
25,rayyan-115924880,10.1016/j.carres.2014.07.020,Incluído,,,Giulia Scarcella Cancelliero,17
26,rayyan-115922800,10.1021/acs.jmedchem.8b01949,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giulia Scarcella Cancelliero,
27,rayyan-115925655,10.1039/c3dt50406a,Incluído,,,Giulia Scarcella Cancelliero,18
