Screening ID,rayyan-key,doi,Status,Motivo para exclusão,Observações gerais do artigo,Quem,Outcomes
10,rayyan-115932122,10.1093/cercor/bhw272,Excluído,6 - Não inclui um controle adequado,,Glaucia Maria Almeida,
11,rayyan-115937391,10.1016/S1385-299X(96)00026-8,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Glaucia Maria Almeida,
12,rayyan-115923577,10.1016/j.bbrc.2017.08.162,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Glaucia Maria Almeida,
13,rayyan-115921648,10.1016/j.nbd.2020.105219,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Glaucia Maria Almeida,
14,rayyan-115924987,10.1007/s12017-014-8328-4,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Glaucia Maria Almeida,
15,rayyan-115932338,10.1016/j.fitote.2016.11.004,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Glaucia Maria Almeida,
16,rayyan-115936758,10.1006/bbrc.2001.4765,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Glaucia Maria Almeida,
17,rayyan-115937474,10.1073/pnas.93.15.8068,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Glaucia Maria Almeida,
18,rayyan-115921792,10.1016/j.brainresbull.2020.09.017,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Glaucia Maria Almeida,
19,rayyan-115932612,International Journal of Pharma and Bio Sciences 7(73):421-429,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,"Pedi artigo pro autor via Research gate, e nao tem doi (?) ai coloquei o nome da revista, e as especificações de pag que ta o artigo",Glaucia Maria Almeida,
20,rayyan-115923247,10.1016/j.intimp.2018.04.012,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Glaucia Maria Almeida,
21,rayyan-115928276,10.1124/mol.105.011197,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Glaucia Maria Almeida,
22,rayyan-115925058,10.1371/journal.pone.0103458,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Glaucia Maria Almeida,
23,rayyan-115927320,10.1016/j.jmb.2008.09.068,Incluído,,,Glaucia Maria Almeida,"16,17,18,19,20"
24,rayyan-115924952,10.1007/s00018-014-1769-y,Incluído,,,Glaucia Maria Almeida,21
25,rayyan-115934486,10.1159/000323264,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Glaucia Maria Almeida,
26,rayyan-115925444,10.1016/j.bbrc.2013.08.088,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Glaucia Maria Almeida,
27,rayyan-115925808,:10.1371/journal.pone.0047261,Excluído,6 - Não inclui um controle adequado,,Glaucia Maria Almeida,
28,rayyan-115925155, 10.1002/ptr.5173,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Glaucia Maria Almeida,
29,rayyan-115936285,10.1016/j.freeradbiomed.2004.01.007,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Glaucia Maria Almeida,
30,rayyan-115925290,10.1021/ic4028282,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Glaucia Maria Almeida,
31,rayyan-115926353,10.1016/j.bmcl.2011.05.019,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Glaucia Maria Almeida,
32,rayyan-115927227,10.1128/MCB.01484-08,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Glaucia Maria Almeida,
33,rayyan-115921804,10.1088/1361-6528/abba58,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Glaucia Maria Almeida,
34,rayyan-115928248,10.1016/j.bmcl.2005.05.078,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Glaucia Maria Almeida,
