Screening ID,rayyan-key,doi,Status,Motivo para exclusão,Observações gerais do artigo,Quem,Outcomes
10,rayyan-115928981,10.1039/b107972g,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Pinheiro,
11,rayyan-115925470,10.1021/cn400146a,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,The results of MTT measures of non-transfected SHSY cells trated with Aß peptide used non-physiological Aß isoforms (Figure 4E).,Nathalia Pinheiro,
12,rayyan-115925333,10.1038/cddis.2013.492,Excluído,4 - Não usa célula SHSY-5Y como modelo,"É um artigo original, mas escrito na forma de correspondência ao editor e com resultados apresentados como dados suplementares.",Nathalia Pinheiro,
13,rayyan-115923222,10.1016/j.bmc.2018.04.044,Excluído,4 - Não usa célula SHSY-5Y como modelo,Contains supplementary material.,Nathalia Pinheiro,
14,rayyan-115930467,10.1016/j.ecoenv.2020.111666,Excluído,7 - Não inclui uma medida de toxicidade,Contains supplementary material.,Nathalia Pinheiro,
15,rayyan-115928838,10.1016/s0006-291x(03)00688-0,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Pinheiro,
16,rayyan-115932075,10.1007/s12035-016-0184-9,Excluído,7 - Não inclui uma medida de toxicidade,"Não desafia células SH-SY5Y com Aß, apesar de usar essa linhagem em outros ensaios de citotoxicidade e desafiar neurônios primários com Aß.",Nathalia Pinheiro,
17,rayyan-115936772,10.1523/jneurosci.21-19-07551.2001,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Pinheiro,
18,rayyan-115926904,10.3109/10520290903389445,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Nathalia Pinheiro,
19,rayyan-115936658,10.1523/jneurosci.22-08-03081.2002,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Pinheiro,
20,rayyan-115936607,10.1074/jbc.M203764200,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Pinheiro,
21,rayyan-115936841,10.1006/excr.2001.5152,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Pinheiro,
22,rayyan-115937302,10.1046/j.1471-4159.1998.70051925.x,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Pinheiro,
23,rayyan-115931577,10.1002/ddr.21544,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Nathalia Pinheiro,
24,rayyan-115937296,10.1046/j.1471-4159.1998.70020736.x,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Nathalia Pinheiro,
25,rayyan-115922286,10.1016/j.aca.2019.10.072,Excluído,4 - Não usa célula SHSY-5Y como modelo,Contains supplementary material.,Nathalia Pinheiro,
26,rayyan-115926249,10.1021/bm2008636,Excluído,7 - Não inclui uma medida de toxicidade,O artigo não apresenta resultados de MTT usando células SH-SY5Y desafiadas com peptídeo Aß; apresenta apenas de células PC12 com esse tratamento (Fig 5c). Contains supplementary materials.,Nathalia Pinheiro,
27,rayyan-115925391,10.1016/j.bbrc.2013.10.045,Excluído,7 - Não inclui uma medida de toxicidade,,Nathalia Pinheiro,
28,rayyan-115926228,10.1074/jbc.M111.274548,Incluído,,,Nathalia Pinheiro,16
29,rayyan-115922456,10.1016/j.ejmech.2019.111707,Incluído,,,Nathalia Pinheiro,17
30,rayyan-115927976,10.1002/jnr.20984,Excluído,7 - Não inclui uma medida de toxicidade,,Nathalia Pinheiro,
31,rayyan-115927927,10.1002/jnr.21039,Incluído,,,Nathalia Pinheiro,"46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62"
32,rayyan-115927119,10.1016/j.nbd.2009.05.016,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Pinheiro,
33,rayyan-115932916,10.1039/c5md00236b,Incluído,,,Nathalia Pinheiro,63
34,rayyan-115933576,10.1080/14786419.2013.790031,Excluído,4 - Não usa célula SHSY-5Y como modelo,Contains supplementary material.,Nathalia Pinheiro,
35,rayyan-115937407,10.1023/A:1027379926976,Excluído,7 - Não inclui uma medida de toxicidade,,Nathalia Pinheiro,
36,rayyan-115921690,10.1016/j.jocn.2020.09.054,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Nathalia Pinheiro,
37,rayyan-115922216,10.3233/JAD-190962,Excluído,7 - Não inclui uma medida de toxicidade,,Nathalia Pinheiro,
38,rayyan-115935990,,Excluído,1 - Não escrito em inglês,The article does not have DOI.,Nathalia Pinheiro,
39,rayyan-115936955,10.1016/S0166-4328(00)00211-4,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Nathalia Pinheiro,
40,rayyan-115926221,10.1016/j.neulet.2011.10.004,Excluído,7 - Não inclui uma medida de toxicidade,,Nathalia Pinheiro,
41,rayyan-115935873,10.1186/1742-2094-3-7,Incluído,,,Nathalia Pinheiro,64
42,rayyan-115933902,10.1007/s00702-012-0852-5,Incluído,,,Nathalia Pinheiro,"65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84"
43,rayyan-115926572,10.1016/j.neurobiolaging.2010.09.020,Incluído,,Contains supplementary material.,Nathalia Pinheiro,"18,19,20,21,22"
44,rayyan-115936668,10.1084/jem.20011797,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Pinheiro,
45,rayyan-115921852,10.1021/acschemneuro.0c00369,Incluído,,This article has been corrected. Contains supplementary material.,Nathalia Pinheiro,"23,24,25"
46,rayyan-115931491,10.1016/j.ijbiomac.2018.10.021,Incluído,,,Nathalia Réges Pinheiro,"26,27,28"
47,rayyan-115934221,10.1111/j.1750-3639.2011.00520.x,Excluído,7 - Não inclui uma medida de toxicidade,,Nathalia Réges Pinheiro,
48,rayyan-115936880,10.1046/j.1471-4159.2001.00090.x,Incluído,,,Nathalia Réges Pinheiro,29
49,rayyan-115931398,10.1016/j.bcp.2018.10.008,Incluído,,,Nathalia Réges Pinheiro,"30,31"
50,rayyan-115933080,10.1007/s12031-014-0433-1,Excluído,6 - Não inclui um controle adequado,O controle experimental para todos os dados de viabilidade celular apresentados são de células SH-SY5Y transfectadas.,Nathalia Réges Pinheiro,
51,rayyan-115933792,10.1021/cn3002015,Incluído,,,Nathalia Réges Pinheiro,"32,33,34,35,36,37,38,39"
52,rayyan-115923725,10.3233/JAD-161245,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Réges Pinheiro,
53,rayyan-115932764,10.1007/s00253-015-7001-7,Incluído,,,Nathalia Réges Pinheiro,"40,41,42,43,44,45"
54,rayyan-115927354,10.1074/jbc.M804722200,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Réges Pinheiro,
55,rayyan-115922308,10.1155/2019/1862437,Incluído,,,Nathalia Réges Pinheiro,85
56,rayyan-115935411,10.1016/j.peptides.2007.12.014,Incluído,,,Nathalia Réges Pinheiro,"86,87"
57,rayyan-115924487,10.1038/cddis.2015.336,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Réges Pinheiro,
58,rayyan-115933198,10.1002/cbic.201402377,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Réges Pinheiro,
59,rayyan-115924481,10.3389/fnins.2015.00430,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Réges Pinheiro,
60,rayyan-115925209,10.1016/j.bbrc.2014.03.038,Excluído,7 - Não inclui uma medida de toxicidade,,Nathalia Réges Pinheiro,
61,rayyan-115937085,10.1023/a:1020912704404,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Nathalia Réges Pinheiro,
62,rayyan-115936784,10.1006/exnr.2001.7719,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Réges Pinheiro,
63,rayyan-115925269,10.3892/ijmm.2014.1632,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Nathalia Réges Pinheiro,
64,rayyan-115928152,10.1016/j.brainres.2005.10.063,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Nathalia Réges Pinheiro,
65,rayyan-115921990,10.1038/s41598-020-66129-z,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Réges Pinheiro,
66,rayyan-115922373,10.1111/febs.15149,Incluído,,,Nathalia Réges Pinheiro,"122,123"
67,rayyan-115926059,10.3233/JAD-2012-110779,Incluído,,,Nathalia Réges Pinheiro,88
68,rayyan-115922478,10.1016/j.bioorg.2019.103258,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Nathalia Réges Pinheiro,
69,rayyan-115922504,10.1016/j.bbrc.2019.08.033,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Nathalia Réges Pinheiro,
70,rayyan-115922056,10.3390/biomedicines8050107,Incluído,,,Nathalia Réges Pinheiro,89
71,rayyan-115935519,,Incluído,,This paper does not have a DOI,Nathalia Réges Pinheiro,"249,250,251,252,253,254"
72,rayyan-115922206,10.1021/acschemneuro.9b00401,Incluído,,,Nathalia Réges Pinheiro,"240,241,242,243,244,245,246,247,248"
73,rayyan-115924838,10.1080/09168451.2014.1002449,Excluído,6 - Não inclui um controle adequado,"As células SH-SY5Y desafiadas com Abeta exógeno parecem  também serem transfectadas, por isso não haveria um controle adequado. 
Na Fig 3A, as células são tratadas com Aß42 exógenos e mede-se a produção de 4-HNE por Western blot. Porém, não foi apresentada uma quantificação de intensidade das bandas no paper. Por isso, não extrairemos esse resultado. ",Nathalia Réges Pinheiro,
