Fig_ID,Article_ID,figure,dep_variable,control_name,treated_name,OBS,Results
242,80,Figure 1B,Cell Viability,Cont,Ab (1-42) ,,"214,215,216"
243,81,Figure 2A,Cell Viability,Vehicle,Ab 40 and Ab 42,,"217,218,219,220"
244,82,Figure 1B,Cell Viability,Not Applicable,Not Applicable,,223
245,83,Figure 3B,MTT reduction,untreated cells,Ab42 10uM,,224
246,84,Figure 3,Cell Viability,CTR,Ab 10uM,,225
247,85,Figure 2,Cell Viability,Control,Ab,,"226,227,228,229,230"
248,86,Figure 3,Cell Viability,Control,Ab,,"231,232"
249,87,Figure 3,Cell Viability,Ctrl,Ab 40 ,,233
250,87,Figure 8,Cell Viability,Ctrl,Ab 40 ,,234
251,88,Figure 3B,Cell Viability,Untreated,Ab,,235
252,89,Figure 9,Cell Viability,Control,Ab only,,236
253,90,Figure 2,Cell Viability,Con,Ab 40 ,,237
254,91,Figure 5A,Cell Viability,Control,Ab 42,,"238,239,240"
255,91,Figure 5C,Cell Viability,Control,Ab 42,,"241,242,243"
256,93,Figure 6B,Cell Viability,Untreated,Ab,,244
257,94,Figure 2,Cell Viability,Control,Ab 1-42,,"245,246,247"
258,95,Figure 1A,Absorbance (% of Control),Control,Ab 1-42,,"248,249,250,251,252,253,254"
259,95,Figure 1C,Absorbance (% of Control),Control,Ab 1-42,,255
260,96,Figure 2A,MTT reduction (% of C),C,Ab 42,,"256,257,258,259,260"
261,96,Figure 6A,MTT reduction (% of C),C,Ab 42,,261
262,97,Figure 2A,Cell Viability,Control,Ab 1-42,,"262,263,264,265,266"
263,97,Figure 2C,Cell Viability,Control,Ab 1-42,,267
264,98,Figure 1A,Cell Viability,Control,Ab 1-42,,"268,269,270,271"
265,98,Figure 1B,Cell Viability,Control,Ab 1-42,,272
266,98,Figure 1C,Cell Viability,Control,Ab 1-42,,273
267,98,Figure S1,Cell Viability,Control,Ab 1-42,,274
268,99,Figure 5A,Viable Cell Number (% of control),0 Ab 1-42,Ab 1-42,,"275,276,277,278,279,280,281,282,283,284,285"
269,100,Figure 5D,Cell Viability,0 ,SOAb 1-42 uM,,"286,287,288,289,290,291"
270,101,Figure 1A,Cell Proliferation,Control,Ab 1-42,,"292,293,294,295"
271,101,Figure 1B,Cell Proliferation,Control,Ab 1-42,,296
272,101,Figure 2C,Cell Proliferation,Control,Ab 1-42,,297
273,101,Figure 3F,Cell Proliferation,Control,Ab 1-42,,298
274,102,Figure 5B,Cell Viability,Control,Ab,,299
275,103,Figure 4A,Relative Cell Viability,Ab-,Ab+,,300
276,104,Figure 1B,MTT reduction (% of untreated cells),Untreated,Oligomers,,301
277,105,Figure 3A,% of survival,Control,Ab 1-40,,302
278,106,Figure 3A,Cell Viability,Control,Ab,,303
279,107,Figure 2A,MTT % of control,Control,oAb,,304
280,107,Figure 2B,MTT % of control,Control,oAb,,305
281,108,FIgure 3A,Cell Viability,0 uM Ab42,X uM Ab42,,"306,307,308"
282,109,Text,,H2O,Ab42,,"309,310"
283,110,Table 1,MTT (Abs at 590 nm),Control,Ab 1-42,,311
284,111,Figure 1A,Cell viability (% vs contol),Control,Ab 1-42v Only,,312
285,112,Figure 2C,Cell Viability,Non-Aβ,Aβ,,313
286,112,Figure 6A,Cell Viability,Non-Aβ,Aβ,,314
287,113,Figure 6D,Viability (% of control),Ab42 -,2 uM Ab,,315
288,114,FIgure 2A,Viability ( of control),Control,Aβ X uM,,"316,317,318"
289,115,Figure 5,Cell Viability (%),Control,Ab42,,319
290,116,Figure 2B,Cell Viability (%),Control,Ab 1-42,,320
291,117,Figure 3C,MTT % of control,Control,Ab 1-42,,321
292,118,Figure 6A,Cell Viability (%),Control,Ab 1-42,,322
293,119,Figure 3,MTT reduction ability (Relative to control),Ct,Ab,,323
294,120,Figure 7,Cell Viability (%),Control,Ab 1-42,,324
295,121,Figure 10a,% of Control,Control,Ab 1-42,,"325,326,327,328"
296,122,FIgure 4A,Cell Viability (%),Empty Cells,Ab42,,329
297,123,FIgure 5,% of Survival,Control,Ab oligomer 1.5uM,,330
298,124,FIgure 7C,MTT reduction (% vs untreated cells),Untreated,Control (Ab),,331
299,125,Figure 4,Cell viability (% of control),Control,Ab 1-42,,332
300,126,Figure 4d,Cell viability rate (%),Control,20 uM Ab,,333
