Fig_ID,Article_ID,figure,dep_variable,control_name,treated_name,OBS,Results
242,80,"1B
",Absorbance at 540nm,No treatment,Amyloid ꞵ Concentrations (uM),,"214,215,216,217"
243,81,1B,Cell viability (% of control),Ctr,Aβ1-42,,218
244,82,4A,Cell viability as a fraction of control growth,Control,Aβ alone,There are 2 different control and treated groups per graphic,"219,220"
245,82,4B,Cell viability as a fraction of control growth,Control,Aβ alone,There are 2 different control and treated groups per graphic,"221,222"
246,83,1B,"% Viability (MTT, SHSY5Y)",CON,Aβ1-42,,"223,224,225,226,227,228,229,230"
247,84,1A,MTT value (% of control),0 (conc. of Aβ1-42 [uM]),conc. of Aβ1-42 (uM),,"231,232,233,234"
248,84,"1B
",MTT value (% of control),con,Aβ 1uM,,235
249,84,1C,MTT value (% of control),con,Aβ 5uM,,236
250,85,3A,Viability (%),DMSO,Aβ,,237
251,85,3B,Viability (%),DMSO,Aβ,,238
252,86,4,Relative cell viability (% of control),-0,+0,,239
253,87,1A,Cell viability,0,Aβ1-42 (umol/L),,"240,241,242,243,244,245,246"
254,88,"3
",% cells viability,100%,Aβ42,,247
255,88,"4A
",% cells viability,100%,Aβ42,,248
256,88,4B,% cells viability,100%,Aβ42,,249
257,89,"2
",Cell viability (% of control),Control,Aβ 1-42 (nM),,"250,251,252,253,254,255,256,257"
258,89,3,Cell viability (% of control),Control,Aβ 1-42,,258
259,90,4C,MTT (% of control),CLT,Aβ,,259
260,91,1A,% viability,100% viability,Aβ1-42 concentration (uM),,"260,261,262,263,264,265,266,267"
261,91,2A,% viability,100% viability,Aβ,,"268,269"
262,92,5,Cell viability (%),cntrl,Aβ,,"270,271"
263,93,3C,% Cell viability,100% viability,0,,272
264,94,5A,Cell viability (%),Blank,Aβ42 (2uM) incubation,,"273,274,275,276"
265,94,5B,Cell viability (%),Blank,Aβ42,,277
266,95,2A,WST-1 activity (% of control),without Aβ1-42,with Aβ1-42 ,,278
267,96,6,MTT reduction ability (% of control),CT,Abeta 1-42,,279
268,97,9,% of MTT reduction (Cell viability),100% viability,0 SEN304 (uM),,280
269,98,1A,Viability (% of blank control),blank control,Aβ control,,281
270,99,6A,Cell viability (%),control,Aβ,,282
271,100,1,Cell viability (as %),100% viability,Aβ1-42 only,,"283,296"
272,101,"5A
",MTT reduction (% of control),100% viability,Abeta 42,,"284,285,286"
273,101,6A,MTT reduction (% of control),100% viability,Abeta 42,,"287,288"
274,102,"8A
",Cell viability rate (%),Control,Aβ,,"289,290,291"
275,102,8B,Cell viability rate (%),Control,20 uM Aβ,,292
276,103,1D,Absorbance (%),CTR,Aβ 1-40,,293
277,104,"1
",proliferation (%),C,Aβ,,294
278,104,2,proliferation (%),C,Aβ,,295
279,106,6B,cell viability rate (%),control,20 uM Aβ,,297
280,107,2B,Cell viability (%),Blank control,Control,esquerda,298
281,107,2B,Cell viability (%),Blank control,Control,direita,299
282,107,4B,Cell viability (%),Blank control,Control,,300
283,108,S7,Percentage of control cells,cells only,cells + 5uM Aβ,,301
284,109,3,Cell viability (%),ctrl,Aβ,,"302,303"
285,110,"2
",Neuronal viability (% vs. control),100% viability,0,,"305,304"
286,110,3A,Neuronal viability (% vs. control),100% viability,0,,"306,307"
287,111,3,Cell viability (%),NC,Aβ1-42,,308
288,112,8A,% cell viability,0,(Aβ) in uM,,"309,310,311,312,313,314,315"
289,112,8B,SHSY5Y cell viability (%),only cells,Aβ (2uM),,316
291,113,2,Cell viability (% of control),con,20/0,,323
292,114,1,Cell viability (%),Control,Aβ,gráfico superior,324
293,115,2C,Cell viability (% of control),control,Aβ42,,325
294,116,table1,% Cell Viability (MTT Assay) ,Control (−),20 uM Aβ1-42,,326
295,117,2A,Cell viability (% of controls),-/-/-/,+/-/-,,327
296,118,1A,Cell viability (% of control),0 (sem Abeta),0,,328
297,118,1B,Cell viability (% of control),0 (sem Abeta),0,,329
298,118,1C,Cell viability (% of control),0 (sem Abeta),0,,330
299,119,3,Cell viability (% of control),control,Aβ 1uM,segundo gráfico,331
300,120,2,Percent control (untreated),untreated (100% viability),Aβ (1-42) dose (uM),gráfico a esquerda,"332,333,334,335,336,337"
301,120,3D,Percent control (untreated),untreated (100% viability),substrate,,"379,380,381,382"
302,120,5A,percent viability,untreated (100% viability),Aβ (1-42),,338
303,120,S8,Percent control (untreated),control,treatment,,"339,340"
304,121,1,Cell viability (%),control,Aβ,,341
305,122,8A,Cell viability (% of control),control,Aβ (1-42),,342
306,123,4A,Cell viability (% of control),-/-/-,+/-/-,,343
307,124,1A,MTT reduction (% of control),0,"[Aβ], uM",,"344,345,346,347,348"
308,124,5A,MTT reduction (% of control),0,uM Aβ1-42,,"349,350,351,352,353"
309,125,2A,MTT reduction (O.D.),control,uM Aβ,,"354,355,356"
310,125,2B,MTT reduction (O.D.),-/-,10/-,,357
311,126,"1A
",Relative viability (% of control),control,Aβ,,"358,359,360,361"
312,126,"
6A",Relative viability (% of control),control,Aβ48h,,362
313,126,8A,Relative viability (% of control),-/-/-,+/-/-,,363
314,127,6B,Cell viability (% of control),control,Aβ1-42,,364
315,128,"1B
",% viability,CTR,Aβ (1-42) 10uM,,"365,366,367,368,369"
316,128,2B,% viability,CTR,Aβ 10 (96h),,370
317,130,4A,MTT reduction (%),CTRL,Aβ,,"371,372"
