Fig_ID,Article_ID,figure,dep_variable,control_name,treated_name,OBS,Results
243,80,Fig. 4.,% cell viability,Control,Abeta,,215
244,81,Fig. 5 (a),% cell viability,control (untreated cells),Abeta oligomer + 3j,Não é apresentada a barra do controle (células não tratadas) ,216
245,81,Fig. 5 (b),% cell viability,control (untreated cells),Abeta fibril + 3j,Não é apresentada a barra do controle (células não tratadas),218
246,82,Fig. 5 b,% cell viability,Control (-/-) ,Abeta (-/-),,219
247,83,Fig. 1 c,Cell survival (%),0 Abeta1-42 uM, Abeta1-42 uM,,"220,221,222,223,224"
248,83,Fig. 1 d,Cell survival (%),Abeta1-42 -/ DMDD uM -,Abeta1-42 +/ DMDD uM -,,225
249,84,Fig. 1. (a),% of control,non-treated cells,Abeta (1-42),"O grafico NÃO mostra os valores correspondentes aos controles, em cada tempo, da curva temporal (células não tratadas) ",226
250,84,Fig. 1. (a),% of control,non-treated cells,Abeta (1-42),"O grafico NÃO mostra os valores correspondentes aos controles, em cada tempo, da curva temporal (células não tratadas) ",227
251,84,Fig. 1. (a),% of control,non-treated cells,Abeta (1-42),"O grafico NÃO mostra os valores correspondentes aos controles, em cada tempo, da curva temporal (células não tratadas) ",228
252,84,Fig. 1. (a),% of control,non-treated cells,Abeta (1-42),"O grafico NÃO mostra os valores correspondentes aos controles, em cada tempo, da curva temporal (células não tratadas) ",229
253,84,Fig. 1. (a),% of control,non-treated cells,Abeta (1-42),"O grafico NÃO mostra os valores correspondentes aos controles, em cada tempo, da curva temporal (células não tratadas) ",230
254,85,Fig. 1,% of cell viability,Control,Beta-amyloid,,231
255,85,Fig. 2,% of cell viability,Control,Beta-amyloid,,232
256,86,Fig. 15,% cell viability,Control,Abeta,,233
257,87,Fig. 2. C,% cell viability,Not informed,Abeta,"O grafico NÃO mostra a barra relativa ao ""controle""",234
259,88,Fig. 2., Cell viability (ratio),DMSO,Abeta,,"235,236,237"
260,89,FIGURE 3 (b), Cell viability (%) control,Control,BSBHp (uM) 0/Abeta40 (10 uM),,238
263,91,Figure 4. C,Cell viability (% ),Control (-),Control (+),,248
264,91,Figure S15.,Cell viability (% ),Control (-),Control (+),,249
265,91,Figure S23.,Cell viability (% ),Control ,Abeta42,,250
266,92,Figure 6.,Cell viability (% of control), Abeta1-42 (uM) - / Test compound (uM) -, Abeta1-42 (uM) + / Test compound (uM) -,,251
267,93,Fig. 2,Cell viability (% of control),"Aß (10 µM) - 3,4,5-tri-CQA (uM) - ","Aß 10 µM (+) 3,4,5-tri-CQA (uM) -",,252
268,94,Fig. 2.A,Cell viability (% ),HEPES,uM Abeta42,,"253,254"
269,94,Fig. 2.C,Cell viability (% ),HEPES,uM Abeta42,,"255,256"
270,94,Fig. 2.E,Cell viability (% ),HEPES,uM Abeta42,,"257,258"
271,94,Fig. 2.G,Cell viability (% ),HEPES,uM Abeta42,,"259,260"
272,95,Fig. 3.,Cell viability (% of control),Control, 20 μM Aβ40,,261
273,96,"Figure 3
",Cell viability (% of control),Control,Aβ,,262
274,97,"Figure 3 (A)
",% of survival ,Control,Aβ1-40,,263
275,97,Figure 3 (B),% of survival ,Control,Pre-formed Aβ1-40 fibrils,,264
276,98,Table 1,% Neuronal survival ,Control (Amyloid-β42-1),Control (Amyloid-β1-42),,265
277,99,Fig. 2. A,Cell Viability (MTT reduction % of control),Aβ42(2uM) - / Rutin (uM) -,Aβ42(2uM) + / Rutin (uM) 0,,266
278,100,Fig. 4. A,Cell Viability (MTT reduction % of control),Control,Aβ 0h,"O grafico NÃO mostra a barra relativa ao ""controle""",267
279,100,Fig. 4. A,Cell Viability (MTT reduction % of control),Control,Aβ 12h,"O grafico NÃO mostra a barra relativa ao ""controle""",268
280,101,Figure 5.,A490,Cells alone,Cells plus Abeta,,269
281,102,"Fig. 4. A
",Cell viability (% of control),Control,"Ab alone 0, 3, 5, 7, 10, 14, 21 time (days)","O grafico NÃO mostra a barra relativa ao ""controle""","270,271,272,273,274,275,276"
