Outcomes ID,Screening ID,Método,Figura,Grupos,Observações gerais da figura ou desfecho
16,14,1.1 - Ensaio de redução de MTT e análogos,Figura 4,Control (1ª Col Branca) x Ab (2uM),
17,15,1.1 - Ensaio de redução de MTT e análogos,Figura 4 B,Diluent (1ª Col) x Ab 40 alone (3ª Col),
18,16,1.1 - Ensaio de redução de MTT e análogos,Figura 6 A,Control (1ª Col) x Ab 42 (2ª Col),
19,17,1.1 - Ensaio de redução de MTT e análogos,Figura 3 A, Media alone (linha pontilhada) x beta-Amyloid 42 1uM (círculo preenchido preto),
20,17,1.1 - Ensaio de redução de MTT e análogos,Figura 3 A, Media alone (linha pontilhada) x beta-Amyloid 42 10uM (círculo preenchido preto),
21,19,1.1 - Ensaio de redução de MTT e análogos,Figura 3 A,Control (1ª Coluna Preta) x Vehicle (2ª Coluna Branca),
22,19,2.1 - Indicadores diretos de morte,Figura 3 C,Control (1ª Coluna Preta) x Vehicle (2ª Coluna Branca),
23,19,3.1 - Níveis de espécies reativas de oxigênio,Figura 3 C,Control (5ª Coluna Preta) x Ab (6ª Coluna Branca) - 10min,
24,19,3.1 - Níveis de espécies reativas de oxigênio,Figura 3 C,Control (9ª Coluna Preta) x Ab (10ª Coluna Branca) - 20min,
25,19,3.1 - Níveis de espécies reativas de oxigênio,Figura 3 C,Control (13ª coluna Preta) x Ab (14ª Coluna Branca) - 30min,
26,19,3.1 - Níveis de espécies reativas de oxigênio,Figura 3 C,Control (17ª coluna Preta) x Ab (18ª Coluna Branca) - 40min,
27,19,3.1 - Níveis de espécies reativas de oxigênio,Figura 3 C,Control (21ª coluna Preta) x Ab (22ª Coluna Branca) - 50min,
28,19,3.1 - Níveis de espécies reativas de oxigênio,Figura 3 C,Control (25ª coluna Preta) x Ab (26ª Coluna Branca) - 60min,
29,21,1.1 - Ensaio de redução de MTT e análogos,Figura 2,Control (1ª Col) x Ab42 (2ª Col),
30,22,1.1 - Ensaio de redução de MTT e análogos,Figura 9 B,C (1ª Col) x Ab (2ª Col),
31,22,1.1 - Ensaio de redução de MTT e análogos,Figura 10 B,NT (1ª Col) x Ab (2ª Col),
32,22,1.1 - Ensaio de redução de MTT e análogos,Figura 10 C,NT (1ª Col) x Ab (2ª Col),
33,22,1.1 - Ensaio de redução de MTT e análogos,Figura 10 D,NT (1ª Col) x Ab (2ª Col),
34,25,1.2 - Ensaio de liberação de LDH,Figura 6 A,Ab 40 pre peak (1ª Col Preta) x Controle (?),
35,25,1.2 - Ensaio de liberação de LDH,Figura 6 A,Ab 40 peak (5ª Col Preta) x Controle (?),
36,25,1.2 - Ensaio de liberação de LDH,Figura 6 A,Ab 40 post peak (9ª Col Preta) x Controle (?),
37,25,1.2 - Ensaio de liberação de LDH,Figura 6 B,Ab 40 pre peak (1ª Col Preta) x Controle (?),
38,25,1.2 - Ensaio de liberação de LDH,Figura 6 B,Ab 40 peak (5ª Col Preta) x Controle (?),
