Outcomes ID,Screening ID,Método,Figura,Grupos,Observações gerais da figura ou desfecho
1,5,1.1 - Ensaio de redução de MTT e análogos,7A,Control vs. 0 PTE (1a e 3a barras),
4,5,1.1 - Ensaio de redução de MTT e análogos,8D,'--- vs. +-- (1a e 2a barras),
6,6,1.1 - Ensaio de redução de MTT e análogos,3E,Control vs. Aβ (1a e 2a barras),
7,8,1.1 - Ensaio de redução de MTT e análogos,"1A, left panel",Control vs. Aβ (1a e 2a barras),
12,8,1.1 - Ensaio de redução de MTT e análogos,4B,barras azuis: Control vs. Aβ (1a e 2a barras azuis),
14,8,1.1 - Ensaio de redução de MTT e análogos,7A,barras azuis: ----- vs. +---- (1a e 2a barras azuis),
16,17,1.1 - Ensaio de redução de MTT e análogos,1B,untreated cells vs. 25uM Abeta,
17,17,1.1 - Ensaio de redução de MTT e análogos,1C,untreated cells vs. 25uM Abeta (cinza claro),
18,17,1.1 - Ensaio de redução de MTT e análogos,1C,untreated cells vs. 25uM Abeta (cinza escuro),
22,21,1.1 - Ensaio de redução de MTT e análogos,4,Control vs. Aβ (1a e 2a barras),
24,24,1.1 - Ensaio de redução de MTT e análogos,3A,0 uM Aβ vs. 1 uM Aβ42 (barra preta vs amarela),
25,24,1.1 - Ensaio de redução de MTT e análogos,3A,0 uM Aβ vs. 10 uM Aβ42 (barra preta vs. vermelha),
26,24,1.1 - Ensaio de redução de MTT e análogos,3A,0 uM Aβ vs. 20 uM Aβ42 (barra preta vs. azul),
29,25,1.1 - Ensaio de redução de MTT e análogos,text (MTT),,"""No significant cell death was observed in cells exposed to Aβ42 in our experimental conditions as evaluated by the MTT assay (13 ± 5% reduction, p = 0.1), or by the alternative MTS assay (12 ± 4% reduction, p = 0.1)."""
30,25,1.1 - Ensaio de redução de MTT e análogos,text (MTS),,"""No significant cell death was observed in cells exposed to Aβ42 in our experimental conditions as evaluated by the MTT assay (13 ± 5% reduction, p = 0.1), or by the alternative MTS assay (12 ± 4% reduction, p = 0.1)."""
34,28,1.1 - Ensaio de redução de MTT e análogos,6,PBS Only vs. -ER (day 0),
35,28,1.1 - Ensaio de redução de MTT e análogos,6,PBS Only vs. -ER (day 1),
36,28,1.1 - Ensaio de redução de MTT e análogos,6,PBS Only vs. -ER (day 2),
37,28,1.1 - Ensaio de redução de MTT e análogos,6,PBS Only vs. -ER (day 3),
38,30,1.1 - Ensaio de redução de MTT e análogos,Suppl. Fig 8a,"Untreated vs. Aβ42 oligomers, synthetic",
39,30,1.1 - Ensaio de redução de MTT e análogos,Suppl. Fig 8a,"Untreated vs. Aβ42 oligomers, recombinant",
40,30,1.1 - Ensaio de redução de MTT e análogos,3a,Untreated vs. Aβ42 oligomers,
41,30,1.1 - Ensaio de redução de MTT e análogos,3a,"Untreated vs. Aβ42 oligomers, 1h 37oC",
43,31,1.1 - Ensaio de redução de MTT e análogos,1C,"Con vs. Aβ, 0h",CCK-8 assay
44,31,1.1 - Ensaio de redução de MTT e análogos,1C,"Con vs. Aβ, 6h",CCK-8 assay
56,37,1.1 - Ensaio de redução de MTT e análogos,6 (top panel),100% vs. small (24h),"controle não é mostrado no gráfico, mas é descrito no texto e normalizado."
57,37,1.1 - Ensaio de redução de MTT e análogos,6 (top panel),100% vs. small (48h),"controle não é mostrado no gráfico, mas é descrito no texto e normalizado."
58,37,1.1 - Ensaio de redução de MTT e análogos,6 (top panel),100% vs. small (72h),"controle não é mostrado no gráfico, mas é descrito no texto e normalizado."
59,37,1.1 - Ensaio de redução de MTT e análogos,6 (top panel),100% vs. medium (24h),"controle não é mostrado no gráfico, mas é descrito no texto e normalizado."
60,37,1.1 - Ensaio de redução de MTT e análogos,6 (top panel),100% vs. medium (48h),"controle não é mostrado no gráfico, mas é descrito no texto e normalizado."
61,37,1.1 - Ensaio de redução de MTT e análogos,6 (top panel),100% vs. medium (72h),"controle não é mostrado no gráfico, mas é descrito no texto e normalizado."
63,37,1.1 - Ensaio de redução de MTT e análogos,6 (top panel),100% vs. large (48h),"controle não é mostrado no gráfico, mas é descrito no texto e normalizado."
62,37,1.1 - Ensaio de redução de MTT e análogos,6 (top panel),100% vs. large (24h),"controle não é mostrado no gráfico, mas é descrito no texto e normalizado."
64,37,1.1 - Ensaio de redução de MTT e análogos,6 (top panel),100% vs. large (72h),"controle não é mostrado no gráfico, mas é descrito no texto e normalizado."
65,38,1.1 - Ensaio de redução de MTT e análogos,9,Control vs. Aβ only,
69,36,1.1 - Ensaio de redução de MTT e análogos,2 ,Control vs. Fibrilar Aβ 1-42 (barras brancas),
70,36,1.1 - Ensaio de redução de MTT e análogos,2 ,Control vs. ADDLs Aβ 1-42 (barras brancas),
71,36,1.1 - Ensaio de redução de MTT e análogos,3,Control vs. Aβ 1-42,
72,43,1.1 - Ensaio de redução de MTT e análogos,"2a (left, -MDC)",No BA vs. 2.5 uM BA,
73,43,1.1 - Ensaio de redução de MTT e análogos,"2a (left, -MDC)",No BA vs. 5 uM BA,
74,43,1.1 - Ensaio de redução de MTT e análogos,"2a (left, -MDC)",No BA vs. 10 uM BA,
77,50,1.1 - Ensaio de redução de MTT e análogos,2a,'----- vs. +---- (1a vs. 2a barra),
78,50,1.1 - Ensaio de redução de MTT e análogos,Suppl. 2D,oAβ 0 vs. 0.1 uM,
79,50,1.1 - Ensaio de redução de MTT e análogos,Suppl. 2D,oAβ 0 vs. 1 uM,
80,54,1.1 - Ensaio de redução de MTT e análogos,3A,Ctrl vs. 38 ,
81,54,1.1 - Ensaio de redução de MTT e análogos,3A,Ctrl vs. 40,
82,54,1.1 - Ensaio de redução de MTT e análogos,3A,Ctrl vs. 42,
83,54,1.1 - Ensaio de redução de MTT e análogos,3A,Ctrl vs. 43,
84,54,1.1 - Ensaio de redução de MTT e análogos,3B,Ctrl vs. 38 ,
85,54,1.1 - Ensaio de redução de MTT e análogos,3B,Ctrl vs. 40,
86,54,1.1 - Ensaio de redução de MTT e análogos,3B,Ctrl vs. 42,
87,54,1.1 - Ensaio de redução de MTT e análogos,3B,Ctrl vs. 43,
