Outcomes ID,Screening ID,Método,Figura,Grupos,Observações gerais da figura ou desfecho
16,16,1.1 - Ensaio de redução de MTT e análogos,Fig. S1b,Aβ 5 μM x 0uM (control),Supplementary figure
17,20,1.1 - Ensaio de redução de MTT e análogos,Fig. 5,Aβ 1 μM x 0uM (control),
18,28,1.1 - Ensaio de redução de MTT e análogos,Fig. 6c,Aβ 25 μM x 0uM (control),
19,30,1.1 - Ensaio de redução de MTT e análogos,Fig. 3a,Aβ 0.125 μM x 0uM (control),"open bars
"
20,30,1.1 - Ensaio de redução de MTT e análogos,Fig. 3a,Aβ 0.25 μM x 0uM (control),"open bars
"
21,30,1.1 - Ensaio de redução de MTT e análogos,Fig. 3a,Aβ 0.5 μM x 0uM (control),"open bars
"
22,30,1.1 - Ensaio de redução de MTT e análogos,Fig. 3a,Aβ 1 μM x 0uM (control),"open bars
"
23,30,1.1 - Ensaio de redução de MTT e análogos,Fig. 3a,Aβ 2 μM x 0uM (control),"open bars
"
24,38,1.1 - Ensaio de redução de MTT e análogos,Fig. 3a,Aβ 0.1 μM x control (100%),
25,38,1.1 - Ensaio de redução de MTT e análogos,Fig. 3a,Aβ 0.5 μM x control (100%),
26,38,1.1 - Ensaio de redução de MTT e análogos,Fig. 3a,Aβ 1 μM x control (100%),
27,38,1.1 - Ensaio de redução de MTT e análogos,Fig. 3a,Aβ 2 μM x control (100%),
28,38,1.1 - Ensaio de redução de MTT e análogos,Fig. 3a,Aβ 5 μM x control (100%),
29,38,1.1 - Ensaio de redução de MTT e análogos,Fig. 4b,Aβ 2 μM x control (100%),
30,38,1.1 - Ensaio de redução de MTT e análogos,Fig. 5a,Aβ 2 μM x control (100%),
31,40,1.1 - Ensaio de redução de MTT e análogos,Fig. 2c,Aβ 40 μM x control (100%),
32,41,1.1 - Ensaio de redução de MTT e análogos,Fig. 8a,Aβ 20 μM x control (100%),
33,41,1.1 - Ensaio de redução de MTT e análogos,Fig. 8a,Aβ 10 μM x control (100%),
34,41,1.1 - Ensaio de redução de MTT e análogos,Fig. 8a,Aβ 20 μM x control (100%),
38,42,1.1 - Ensaio de redução de MTT e análogos,Fig. 5,Aβ 16.6 μM x control (100%),
39,44,1.1 - Ensaio de redução de MTT e análogos,Fig. 6a,Aβ  x control,
40,44,2.2 - Marcadores diretos de apoptose,Fig. 6b,Aβ  x control,
41,44,1.2 - Ensaio de liberação de LDH,Fig. 6c,Aβ  x control,
42,45,1.2 - Ensaio de liberação de LDH,Fig 2a,Aβ 30 μM x no treatment (48h),
43,45,1.2 - Ensaio de liberação de LDH,Fig 2a,Aβ 30 μM x no treatment (72h),
44,45,1.2 - Ensaio de liberação de LDH,Fig 2b,Aβ 30 μM x no treatment (48h),
45,45,1.2 - Ensaio de liberação de LDH,Fig 2b,Aβ 30 μM x no treatment (48h),
46,45,1.2 - Ensaio de liberação de LDH,Fig 3a,Aβ 1 μM x no treatment (48h),"1-42
"
47,45,1.2 - Ensaio de liberação de LDH,Fig 3a,Aβ 5 μM x no treatment (48h),
48,45,1.2 - Ensaio de liberação de LDH,Fig 3a,Aβ 10 μM x no treatment (48h),
49,45,1.2 - Ensaio de liberação de LDH,Fig 3a,Aβ 20 μM x no treatment (48h),
50,45,1.2 - Ensaio de liberação de LDH,Fig 3a,Aβ 30 μM x no treatment (48h),
51,45,1.2 - Ensaio de liberação de LDH,Fig 3a,Aβ 50 μM x no treatment (48h),
59,45,1.2 - Ensaio de liberação de LDH,Fig 3b,Aβ 1 μM x no treatment (48h),"1-40


"
60,45,1.2 - Ensaio de liberação de LDH,Fig 3b,Aβ 5 μM x no treatment (48h),
61,45,1.2 - Ensaio de liberação de LDH,Fig 3b,Aβ 10 μM x no treatment (48h),
62,45,1.2 - Ensaio de liberação de LDH,Fig 3b,Aβ 15 μM x no treatment (48h),
63,45,1.2 - Ensaio de liberação de LDH,Fig 3b,Aβ 20 μM x no treatment (48h),
64,45,1.2 - Ensaio de liberação de LDH,Fig 3b,Aβ 25 μM x no treatment (48h),
67,47,1.1 - Ensaio de redução de MTT e análogos,Fig. 2,Aβ 50 μM x control,
68,47,1.1 - Ensaio de redução de MTT e análogos,Fig. 2,Aβ 100 μM x control,
69,48,1.1 - Ensaio de redução de MTT e análogos,Fig. 2a,Aβ vs untreated cells (Basal),
70,48,1.1 - Ensaio de redução de MTT e análogos,Fig. 2b,Aβ vs untreated cells (Basal),
73,49,1.1 - Ensaio de redução de MTT e análogos,Fig. 1c,Aβ oligomers vs untreated ,
74,52,3.1 - Níveis de espécies reativas de oxigênio,Fig. 2a,Aβ  vs control ,"Open figures in online version

"
75,52,1.1 - Ensaio de redução de MTT e análogos,Fig. 3,Aβ  vs DMSO 0.1% ,
76,53,2.2 - Marcadores diretos de apoptose,Fig. 9,Aβ  + DMSO vs control,
77,54,2.3 - Marcadores de morte celular (outros),Fig. 2,Aβ  vs control ,"Apoptosis line
"
78,54,1.4 - Viabilidade celular (outros),Fig. 1,Aβ  vs control ,Gray bar
79,56,1.1 - Ensaio de redução de MTT e análogos,Fig. 6,Aβ  vs control ,
