Outcomes ID,Screening ID,Método,Figura,Grupos,Observações gerais da figura ou desfecho
16,28,2.2 - Marcadores diretos de apoptose,Figure 6,1st and 2nd bars,
17,29,1.1 - Ensaio de redução de MTT e análogos,Figure 4,1st and 2nd bars,
18,43,1.2 - Ensaio de liberação de LDH,Figure 4,1st and 2nd bars,
19,43,1.2 - Ensaio de liberação de LDH,Figure 4,1st and 3rd bars,
20,43,1.2 - Ensaio de liberação de LDH,Figure 4,1st and 4th bars,
21,43,1.2 - Ensaio de liberação de LDH,Figure 4,1st and 5th bars,
22,43,1.2 - Ensaio de liberação de LDH,Figure 4,1st and 6th bars,
23,45,1.1 - Ensaio de redução de MTT e análogos,Figure S15,1st and 2nd bars,Results presented in supplementary material.
24,45,1.1 - Ensaio de redução de MTT e análogos,Figure S23,1st and 2nd bars,Results presented in supplementary material.
25,45,1.1 - Ensaio de redução de MTT e análogos,Figure 4C,1st and 2nd bars,
26,46,1.1 - Ensaio de redução de MTT e análogos,Figure 1,2nd bar relative to control (100% viability),VC condition might refer to the vehicle of fucosterol (methodology session 3.1)
27,46,2.1 - Indicadores diretos de morte,Figure 2,"Somar e comparar os valores dos quadrantes superiores esquerdo e direito das condições ""Negative Control"" e ""Beta Amyloid""",
28,46,2.2 - Marcadores diretos de apoptose,Figure 2,"Somar e comparar os valores dos quadrantes superior direito e inferior direito das condições ""Negative Control"" e ""Beta Amyloid""",
29,48,1.1 - Ensaio de redução de MTT e análogos,Table 2,"Linhas ""Control"" e ""Abeta 1-42"" e coluna ""MTT', somente dados precedidos de (-) ",
30,49,2.2 - Marcadores diretos de apoptose,Figure 3A,Primeira e segunda barras em cinza do gráfico,
31,49,2.2 - Marcadores diretos de apoptose,Figure 3A,Primeira e terceira barras em cinza do gráfico,
32,51,1.1 - Ensaio de redução de MTT e análogos,Figure 8A,1st point relative to control (100% viability),
33,51,1.1 - Ensaio de redução de MTT e análogos,Figure 8A,2nd point relative to control (100% viability),
34,51,1.1 - Ensaio de redução de MTT e análogos,Figure 8A,3rd point relative to control (100% viability),
35,51,1.1 - Ensaio de redução de MTT e análogos,Figure 8A,4th point relative to control (100% viability),
36,51,1.1 - Ensaio de redução de MTT e análogos,Figure 8A,5th point relative to control (100% viability),
37,51,1.1 - Ensaio de redução de MTT e análogos,Figure 8A,6th point relative to control (100% viability),
38,51,1.1 - Ensaio de redução de MTT e análogos,Figure 8A,7th point relative to control (100% viability),
39,51,1.1 - Ensaio de redução de MTT e análogos,Figure 8B,"""Only cells"" and ""Abeta 2uM""",
40,53,1.1 - Ensaio de redução de MTT e análogos,Figure 5A,"""Abeta1-42 -/  RP-1 0"" and ""Abeta1-42 +/  RP-1 0""",
41,53,3.1 - Níveis de espécies reativas de oxigênio,Figure 6C,"""Abeta1-42 -/  RP-1 0"" and ""Abeta1-42 +/  RP-1 0""",DCFH-DA assay
42,53,3.2 - Dano ao potencial de membrana mitocondrial,Figure 5B,"""Abeta1-42 -/  RP-1 0"" and ""Abeta1-42 +/  RP-1 0""",JC-1
43,53,3.3 - Produtos de estresse oxidativo,Figure 6D,"""Abeta1-42 -/  RP-1 0"" and ""Abeta1-42 +/  RP-1 0""",MDA assay
44,53,2.2 - Marcadores diretos de apoptose,Figure 5C,"""Abeta1-42 -/  RP-1 0"" and ""Abeta1-42 +/  RP-1 0""",Caspase-3 activity
45,53,2.2 - Marcadores diretos de apoptose,Figure 5D,"""Abeta1-42 -/  RP-1 0"" and ""Abeta1-42 +/  RP-1 0""",
46,31,2.2 - Marcadores diretos de apoptose,Figure 4A,1st bar relative to control (100% viability),Caspase-3 activity
47,31,2.2 - Marcadores diretos de apoptose,Figure 4A,2nd bar relative to control (100% viability),Caspase-3 activity
48,31,2.2 - Marcadores diretos de apoptose,Figure 4A,3rd bar relative to control (100% viability),Caspase-3 activity
49,31,2.2 - Marcadores diretos de apoptose,Figure 4A,4th bar relative to control (100% viability),Caspase-3 activity
50,31,2.2 - Marcadores diretos de apoptose,Figure 4A,5th bar relative to control (100% viability),Caspase-3 activity
