Outcomes ID,Screening ID,Método,Figura,Grupos,Observações gerais da figura ou desfecho
16,18,1.1 - Ensaio de redução de MTT e análogos,3b,Control vs. 0 Chemicals (1a e 2a barras),
17,19,1.4 - Viabilidade celular (outros),1F,Control vs. 5uM Abeta1-42 (1o e 2o quadrado vazado),Viabilidade medida pelo ensaio CCK-8 (baseado na atividade da desidrogenase em células vivas)
18,19,1.4 - Viabilidade celular (outros),1F,Control vs. 10uM Abeta1-42 (1o e 3o quadrado vazado),Viabilidade medida pelo ensaio CCK-8 (baseado na atividade da desidrogenase em células vivas)
19,19,1.4 - Viabilidade celular (outros),1F,Control vs. 25uM Abeta1-42 (1o e 4o quadrado vazado),Viabilidade medida pelo ensaio CCK-8 (baseado na atividade da desidrogenase em células vivas)
20,36,1.1 - Ensaio de redução de MTT e análogos,2a,"Control vs. 0,1uM Abeta1-42 (1a e 2a barras)",
21,36,1.1 - Ensaio de redução de MTT e análogos,2a,"Control vs. 0,25uM Abeta1-42 (1a e 3a barras)",
22,36,1.1 - Ensaio de redução de MTT e análogos,2a,Control vs. 1uM Abeta1-42 (1a e 4a barras),
23,36,1.1 - Ensaio de redução de MTT e análogos,2a,Control vs. 5uM Abeta1-42 (1a e 5a barras),
24,36,1.1 - Ensaio de redução de MTT e análogos,2a,Control vs. 10uM Abeta1-42 (1a e 6a barras),
25,36,1.1 - Ensaio de redução de MTT e análogos,2a,Control vs. 15uM Abeta1-42 (1a e 7a barras),
26,39,3.1 - Níveis de espécies reativas de oxigênio,4,"Control vs. 0,5uM Abeta1-40 (2a e 1a barras)",
27,40,1.1 - Ensaio de redução de MTT e análogos,2 SUPPLEMENTARY FIGURE,"Control vs. 0,5uM Abeta1-40 (1a e 3a barras)",
28,40,1.1 - Ensaio de redução de MTT e análogos,2 SUPPLEMENTARY FIGURE,"Control vs. 0,5uM Abeta1-42 (1a e 5a barras)",
29,47,1.1 - Ensaio de redução de MTT e análogos,3(F),Control vs. 10uM Abeta1-40 (1a barra),
30,47,1.1 - Ensaio de redução de MTT e análogos,S5,Buffer(10uM) vs. 0h 10uM Abeta1-40 (2a e 4a barras),Figura do Material suplementar
31,47,1.1 - Ensaio de redução de MTT e análogos,S5,Buffer(10uM) vs. 4h 10uM Abeta1-40 (2a e 6a barras),Figura do Material suplementar
32,47,1.1 - Ensaio de redução de MTT e análogos,S5,Buffer(10uM) vs. 12h 10uM Abeta1-40 (2a e 8a barras),Figura do Material suplementar
33,47,1.1 - Ensaio de redução de MTT e análogos,S5,Buffer(10uM) vs. 24h 10uM Abeta1-40 (2a e 10a barras),Figura do Material suplementar
34,47,1.1 - Ensaio de redução de MTT e análogos,S5,Buffer(40uM) vs. 0h 40uM Abeta1-40 (3a e 5a barras),Figura do Material suplementar
35,47,1.1 - Ensaio de redução de MTT e análogos,S5,Buffer(40uM) vs. 4h 40uM Abeta1-40 (3a e 7a barras),Figura do Material suplementar
