Protocol_ID,Results_ID,Assay,Cell_source,Cell_bank,Cell_authentication,Cell_mycoplasma,Control_description,Abeta_sequence,Abeta_origin,Abeta_species,Abeta_aggregation,Single_exposure,Duration_hours,Concentration_uM,Passage_number,N_cells,N_cells_unit,N_cells_volume,Plate_size,Culture_medium,Medium_supplements,Serum_type,Serum_concentration,Diferentiation_method,Diferentiation_duration_days,Differentiation_medium,Differentiation_serum_type,Differentiation_serum_concentration,Differentiation_supplements,Differentiation_protocol,OBS
201,214,MTT,Cell bank,ATCC,No,No,Medium only,1-42,Unclear,Unclear,Fibers,"Yes, single",24.0,1.000,not mentioned,30000,cells/well,150.0,96,DMEM and Ham's F12,"2 mM L-glutamine, 1.0 mM sodium pyruvate, streptomycin 50 mg/ml",fetal bovine serum ,10%,ATRA,1.0,DMEM/F12 ,Fetal bovine serum,10%,not reported,"""cells were plated and differentiated with RA (100 nM) for 24 hrs""",
204,217,MTT,Cell bank,ATCC,No,No,Medium only,1-42,Unclear,Unclear,Fibers,"Yes, single",24.0,1.000,not mentioned,30000,cells/well,150.0,96,DMEM and Ham's F12,"2 mM L-glutamine, 1.0 mM sodium pyruvate, streptomycin 50 mg/ml",fetal bovine serum ,10%,ATRA,1.0,DMEM/F12 ,Fetal bovine serum,10%,not reported,"""cells were plated and differentiated with RA (100 nM) for 24 hrs""",
205,219,MTT,Cell bank,ATCC,No,No,Medium only,not reported,Unclear,Unclear,Fibers,"Yes, single",24.0,1.000,not mentioned,100000,cells/mL,,96,Minimum Essential Medium (MEM) with Earle’s Balanced Salts,100U/mL penicilin; 100 μg/mL streptomycin,fetal bovine serum ,10%,No differentiation,,,,,,,
206,220,MTT,Cell bank,ATCC,No,No,Medium only,not reported,Unclear,Unclear,Fibers,"Yes, single",24.0,2.000,not mentioned,100000,cells/mL,,96,Minimum Essential Medium (MEM) with Earle’s Balanced Salts,100U/mL penicilin; 100 μg/mL streptomycin,fetal bovine serum ,10%,No differentiation,,,,,,,
207,"221,222",MTT,Cell bank,ATCC,No,No,Medium only,not reported,Unclear,Unclear,Fibers,"Yes, single",24.0,5.000,not mentioned,100000,cells/mL,,96,Minimum Essential Medium (MEM) with Earle’s Balanced Salts,100U/mL penicilin; 100 μg/mL streptomycin,fetal bovine serum ,10%,No differentiation,,,,,,,
208,223,MTT,Cell bank,ATCC,No,No,Unclear,1-42,synthetic,Human,Oligomers,"Yes, single",24.0,25.000,not mentioned,50000,cells/well,100.0,96,1:1 mixture of Eagle's Minimum Essential Medium (EMEM) and Ham’s F12 ,none,fetal bovine serum ,10%,No differentiation,,,,,,,"sobre Abeta aggregation: they mentioned addition of a preparation containing soluble species, but based on the protocol I believe they also added fibers in combination with oligomers"
209,229,MTT,Unclear,,No,No,Unclear,1-42,synthetic,Unclear,Unclear,"Yes, single",72.0,20.000,not mentioned,100000,cells/mL,,96,DMEM & Ham’s F-12, 1% antibiotic solution (penicilin and streptomycin),fetal bovine serum ,10%,No differentiation,,,,,,,"sobre aggregation Abeta: alegam que começam com monomero. Mas a incubacao dura 72h, e a 20uM, entao certamente ao longo do tempo se formam oligomeros e fibras"
210,224,MTT,Unclear,,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,20.000,not mentioned,15000,cells/well,,96,DMEM and Ham’s F12 medium (1:1), 1% penicillin and streptomycin,fetal bovine serum,10%,No differentiation,,,,,,,"sobre aggregation: nao podemos definir se oligomeros ou fibras. MAs certamente nao e monomeros, pois 20uM de Abeta 42 por 24h no meio gera agregados (soluveis e insoluveis) com certeza"
211,230,MTT,Unclear,,No,No,Medium only,1-40,synthetic,Unclear,Fibers,"Yes, single",72.0,20.000,not mentioned,10000,cells/well,100.0,96,1:1 MEM and Ham's F12 ,"1% L-glutamine (3.6 mM), and 1% penicillin/streptomycin", fetal bovine serum,18%,No differentiation,,,,,,,sobre Abeta aggregation: sample used also contains soluble oligomers
212,231,MTT,Unclear,,No,No,Medium only,1-42,synthetic,Unclear,Fibers,"Yes, single",72.0,20.000,not mentioned,10000,cells/well,100.0,96,1:1 MEM and Ham's F12 ,"1% L-glutamine (3.6 mM), and 1% penicillin/streptomycin", fetal bovine serum,18%,No differentiation,,,,,,,sobre Abeta aggregation: sample used also contains soluble oligomers
213,232,MTS,Cell bank,ATCC,No,No,Medium only,1-42,Unclear,Unclear,Oligomers,"Yes, single",48.0,10.000,not mentioned,10000,cells/cm2,,24,RPMI 1640,,no serum,,Other,7.0,RPMI 1640,no serum,0,N2,,"SH-SY5Y cells (ATCC: CRL-2266) were seeded at 1  104
cells/cm2 cultured for 7 DIV in FBS-free RPMI 1640 differentiating
medium containing N2 supplement in order to allow the neuronal
differentiation.
"
217,233,MTT,Unclear,,No,No,Medium only,1-42,synthetic,Unclear,Oligomers,"Yes, single",48.0,1.000,not mentioned,15000,cells/well,100.0,96,DMEM and HAM’s F-12, 1% antibiotic,FBS,10%,No differentiation,,,,,,,antibiotic used is not described
218,234,CCK-8,Cell bank,"Cell Bank of the Chinese Academy of Sciences (Shanghai, China)",No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",12.0,1.000,not mentioned,,,,96,"minimum essential medium and Ham’s modification of
F-12 ",1% penicillin/streptomycin antibiotics,FBS,10%,No differentiation,,,,,,,sobre Abeta aggregation: o peptideo foi agreagdo por 7 dias a 37oC. Entao certamente nao e monomero. Provavelmente uma mistura de oligomers+fibras
