Protocol_ID,Results_ID,Assay,Cell_source,Cell_bank,Cell_authentication,Cell_mycoplasma,Control_description,Abeta_sequence,Abeta_origin,Abeta_species,Abeta_aggregation,Single_exposure,Duration_hours,Concentration_uM,Passage_number,N_cells,N_cells_unit,N_cells_volume,Plate_size,Culture_medium,Medium_supplements,Serum_type,Serum_concentration,Diferentiation_method,Diferentiation_duration_days,Differentiation_medium,Differentiation_serum_type,Differentiation_serum_concentration,Differentiation_supplements,Differentiation_protocol,OBS
201,214,MTT,Donation,,No,No,Unclear,1-42,synthetic,Unclear,Fibers,"Yes, single",24.0,10.000,,250000,cells/ml,,24,,,,,ATRA,8.0,DMEM,FBS,10%,,"The cells were
grown to confluency at 378C for 8 days in Dulbecco’s modified

Eagle’s medium (MEM)/F-12 (1:1) containing phenol red (Sigma-
Aldrich) on 24-well plates (Nunc, Roskilde, Denmark) in a

humidified atmosphere containing 5% CO2. l-Glutamine (4 mM;
Gibco, Budapest, Hungary), penicillin (200 units/ml; Gibco),
streptomycin (200 Ag/ml; Gibco), MEM nonessential amino acids
(Gibco), and 10 AM all-trans retinoic acid (RA; Sigma-Aldrich)
were dissolved in DMSO. The final concentrations of all-trans
retinoic acid and DMSO were 10 AM and 0.5%, respectively, and
10% fetal bovine serum (FBS; Gibco) was added to the medium.
On the first day, the number of nondifferentiated cells in the wells
was 2.5  105 cells/ml. After 8 days of differentiation, the cells
attached to the plate as a monolayer, and cell counting indicated
3  105 cells/cm2 (corresponding to 6.5  105 cells/ml in
suspension).","Usou esses suplementos para diferenciação. Provavelmente, os mesmos para manutenção, porém, só descreveu o procedimento de diferenciação. l-Glutamine (4 mM;
penicillin (200 units/ml; 
streptomycin (200 microg/ml; MEM nonessential amino acids  and 10 MicroM all-trans retinoic acid"
202,217,MTT,Donation,,No,No,Unclear,1-42,synthetic,Unclear,Fibers,"Yes, single",24.0,0.100,,250000,cells/ml,,24,,,,,ATRA,8.0,DMEM,FBS,10%,,"The cells were
grown to confluency at 378C for 8 days in Dulbecco’s modified

Eagle’s medium (MEM)/F-12 (1:1) containing phenol red (Sigma-
Aldrich) on 24-well plates (Nunc, Roskilde, Denmark) in a

humidified atmosphere containing 5% CO2. l-Glutamine (4 mM;
Gibco, Budapest, Hungary), penicillin (200 units/ml; Gibco),
streptomycin (200 Ag/ml; Gibco), MEM nonessential amino acids
(Gibco), and 10 AM all-trans retinoic acid (RA; Sigma-Aldrich)
were dissolved in DMSO. The final concentrations of all-trans
retinoic acid and DMSO were 10 AM and 0.5%, respectively, and
10% fetal bovine serum (FBS; Gibco) was added to the medium.
On the first day, the number of nondifferentiated cells in the wells
was 2.5  105 cells/ml. After 8 days of differentiation, the cells
attached to the plate as a monolayer, and cell counting indicated
3  105 cells/cm2 (corresponding to 6.5  105 cells/ml in
suspension).","Usou esses suplementos para diferenciação. Provavelmente, os mesmos para manutenção, porém, só descreveu o procedimento de diferenciação. l-Glutamine (4 mM;
penicillin (200 units/ml; 
streptomycin (200 microg/ml; MEM nonessential amino acids  and 10 MicroM all-trans retinoic acid"
203,218,MTT,Donation,,No,No,Unclear,1-42,synthetic,Unclear,Fibers,"Yes, single",24.0,1.000,,250000,cells/ml,,24,,,,,ATRA,8.0,DMEM,FBS,10%,,"The cells were
grown to confluency at 378C for 8 days in Dulbecco’s modified

Eagle’s medium (MEM)/F-12 (1:1) containing phenol red (Sigma-
Aldrich) on 24-well plates (Nunc, Roskilde, Denmark) in a

humidified atmosphere containing 5% CO2. l-Glutamine (4 mM;
Gibco, Budapest, Hungary), penicillin (200 units/ml; Gibco),
streptomycin (200 Ag/ml; Gibco), MEM nonessential amino acids
(Gibco), and 10 AM all-trans retinoic acid (RA; Sigma-Aldrich)
were dissolved in DMSO. The final concentrations of all-trans
retinoic acid and DMSO were 10 AM and 0.5%, respectively, and
10% fetal bovine serum (FBS; Gibco) was added to the medium.
On the first day, the number of nondifferentiated cells in the wells
was 2.5  105 cells/ml. After 8 days of differentiation, the cells
attached to the plate as a monolayer, and cell counting indicated
3  105 cells/cm2 (corresponding to 6.5  105 cells/ml in
suspension).","Usou esses suplementos para diferenciação. Provavelmente, os mesmos para manutenção, porém, só descreveu o procedimento de diferenciação. l-Glutamine (4 mM;
penicillin (200 units/ml; 
streptomycin (200 microg/ml; MEM nonessential amino acids  and 10 MicroM all-trans retinoic acid"
204,219,MTT,Donation,,No,No,Unclear,1-42,synthetic,Unclear,Fibers,"Yes, single",24.0,10.000,,250000,cells/ml,,24,,,,,ATRA,8.0,DMEM,FBS,10%,,"The cells were
grown to confluency at 378C for 8 days in Dulbecco’s modified

Eagle’s medium (MEM)/F-12 (1:1) containing phenol red (Sigma-
Aldrich) on 24-well plates (Nunc, Roskilde, Denmark) in a

humidified atmosphere containing 5% CO2. l-Glutamine (4 mM;
Gibco, Budapest, Hungary), penicillin (200 units/ml; Gibco),
streptomycin (200 Ag/ml; Gibco), MEM nonessential amino acids
(Gibco), and 10 AM all-trans retinoic acid (RA; Sigma-Aldrich)
were dissolved in DMSO. The final concentrations of all-trans
retinoic acid and DMSO were 10 AM and 0.5%, respectively, and
10% fetal bovine serum (FBS; Gibco) was added to the medium.
On the first day, the number of nondifferentiated cells in the wells
was 2.5  105 cells/ml. After 8 days of differentiation, the cells
attached to the plate as a monolayer, and cell counting indicated
3  105 cells/cm2 (corresponding to 6.5  105 cells/ml in
suspension).","Usou esses suplementos para diferenciação. Provavelmente, os mesmos para manutenção, porém, só descreveu o procedimento de diferenciação. l-Glutamine (4 mM;
penicillin (200 units/ml; 
streptomycin (200 microg/ml; MEM nonessential amino acids  and 10 MicroM all-trans retinoic acid"
205,220,MTT,Donation,,No,No,Unclear,1-42,synthetic,Unclear,Fibers,"Yes, single",24.0,100.000,,250000,cells/ml,,24,,,,,ATRA,8.0,DMEM,FBS,10%,,"The cells were
grown to confluency at 378C for 8 days in Dulbecco’s modified

Eagle’s medium (MEM)/F-12 (1:1) containing phenol red (Sigma-
Aldrich) on 24-well plates (Nunc, Roskilde, Denmark) in a

humidified atmosphere containing 5% CO2. l-Glutamine (4 mM;
Gibco, Budapest, Hungary), penicillin (200 units/ml; Gibco),
streptomycin (200 Ag/ml; Gibco), MEM nonessential amino acids
(Gibco), and 10 AM all-trans retinoic acid (RA; Sigma-Aldrich)
were dissolved in DMSO. The final concentrations of all-trans
retinoic acid and DMSO were 10 AM and 0.5%, respectively, and
10% fetal bovine serum (FBS; Gibco) was added to the medium.
On the first day, the number of nondifferentiated cells in the wells
was 2.5  105 cells/ml. After 8 days of differentiation, the cells
attached to the plate as a monolayer, and cell counting indicated
3  105 cells/cm2 (corresponding to 6.5  105 cells/ml in
suspension).","Usou esses suplementos para diferenciação. Provavelmente, os mesmos para manutenção, porém, só descreveu o procedimento de diferenciação. l-Glutamine (4 mM;
penicillin (200 units/ml; 
streptomycin (200 microg/ml; MEM nonessential amino acids  and 10 MicroM all-trans retinoic acid"
206,221,MTT,Donation,,No,No,Unclear,1-42,synthetic,Unclear,Fibers,"Yes, single",0.0,10.000,,250000,cells/ml,,24,,,,,ATRA,8.0,DMEM,FBS,10%,,"The cells were
grown to confluency at 378C for 8 days in Dulbecco’s modified

Eagle’s medium (MEM)/F-12 (1:1) containing phenol red (Sigma-
Aldrich) on 24-well plates (Nunc, Roskilde, Denmark) in a

humidified atmosphere containing 5% CO2. l-Glutamine (4 mM;
Gibco, Budapest, Hungary), penicillin (200 units/ml; Gibco),
streptomycin (200 Ag/ml; Gibco), MEM nonessential amino acids
(Gibco), and 10 AM all-trans retinoic acid (RA; Sigma-Aldrich)
were dissolved in DMSO. The final concentrations of all-trans
retinoic acid and DMSO were 10 AM and 0.5%, respectively, and
10% fetal bovine serum (FBS; Gibco) was added to the medium.
On the first day, the number of nondifferentiated cells in the wells
was 2.5  105 cells/ml. After 8 days of differentiation, the cells
attached to the plate as a monolayer, and cell counting indicated
3  105 cells/cm2 (corresponding to 6.5  105 cells/ml in
suspension).","Usou esses suplementos para diferenciação. Provavelmente, os mesmos para manutenção, porém, só descreveu o procedimento de diferenciação. l-Glutamine (4 mM;
penicillin (200 units/ml; 
streptomycin (200 microg/ml; MEM nonessential amino acids  and 10 MicroM all-trans retinoic acid"
207,222,MTT,Donation,,No,No,Unclear,1-42,synthetic,Unclear,Fibers,"Yes, single",0.1,10.000,,250000,cells/ml,,24,,,,,ATRA,8.0,DMEM,FBS,10%,,"The cells were
grown to confluency at 378C for 8 days in Dulbecco’s modified

Eagle’s medium (MEM)/F-12 (1:1) containing phenol red (Sigma-
Aldrich) on 24-well plates (Nunc, Roskilde, Denmark) in a

humidified atmosphere containing 5% CO2. l-Glutamine (4 mM;
Gibco, Budapest, Hungary), penicillin (200 units/ml; Gibco),
streptomycin (200 Ag/ml; Gibco), MEM nonessential amino acids
(Gibco), and 10 AM all-trans retinoic acid (RA; Sigma-Aldrich)
were dissolved in DMSO. The final concentrations of all-trans
retinoic acid and DMSO were 10 AM and 0.5%, respectively, and
10% fetal bovine serum (FBS; Gibco) was added to the medium.
On the first day, the number of nondifferentiated cells in the wells
was 2.5  105 cells/ml. After 8 days of differentiation, the cells
attached to the plate as a monolayer, and cell counting indicated
3  105 cells/cm2 (corresponding to 6.5  105 cells/ml in
suspension).","Neuroblastoma cells were treated with
aggregated Ah 1–42 (10 AM) from 0 to 60 min. After treatment, the cell culture medium, containing Ah, was removed and the cells were washed with cell
culture medium. The living cells were incubated for recovery in culture medium (24 h, 378C and 5% CO2 without Ah)."
208,223,MTT,Donation,,No,No,Unclear,1-42,synthetic,Unclear,Fibers,"Yes, single",0.2,10.000,,250000,cells/ml,,24,,,,,ATRA,8.0,DMEM,FBS,10%,,"The cells were
grown to confluency at 378C for 8 days in Dulbecco’s modified

Eagle’s medium (MEM)/F-12 (1:1) containing phenol red (Sigma-
Aldrich) on 24-well plates (Nunc, Roskilde, Denmark) in a

humidified atmosphere containing 5% CO2. l-Glutamine (4 mM;
Gibco, Budapest, Hungary), penicillin (200 units/ml; Gibco),
streptomycin (200 Ag/ml; Gibco), MEM nonessential amino acids
(Gibco), and 10 AM all-trans retinoic acid (RA; Sigma-Aldrich)
were dissolved in DMSO. The final concentrations of all-trans
retinoic acid and DMSO were 10 AM and 0.5%, respectively, and
10% fetal bovine serum (FBS; Gibco) was added to the medium.
On the first day, the number of nondifferentiated cells in the wells
was 2.5  105 cells/ml. After 8 days of differentiation, the cells
attached to the plate as a monolayer, and cell counting indicated
3  105 cells/cm2 (corresponding to 6.5  105 cells/ml in
suspension).","Neuroblastoma cells were treated with
aggregated Ah 1–42 (10 AM) from 0 to 60 min. After treatment, the cell culture medium, containing Ah, was removed and the cells were washed with cell
culture medium. The living cells were incubated for recovery in culture medium (24 h, 378C and 5% CO2 without Ah)."
209,224,MTT,Donation,,No,No,Unclear,1-42,synthetic,Unclear,Fibers,"Yes, single",0.3,10.000,,250000,cells/ml,,24,,,,,ATRA,8.0,DMEM,FBS,10%,,"The cells were
grown to confluency at 378C for 8 days in Dulbecco’s modified

Eagle’s medium (MEM)/F-12 (1:1) containing phenol red (Sigma-
Aldrich) on 24-well plates (Nunc, Roskilde, Denmark) in a

humidified atmosphere containing 5% CO2. l-Glutamine (4 mM;
Gibco, Budapest, Hungary), penicillin (200 units/ml; Gibco),
streptomycin (200 Ag/ml; Gibco), MEM nonessential amino acids
(Gibco), and 10 AM all-trans retinoic acid (RA; Sigma-Aldrich)
were dissolved in DMSO. The final concentrations of all-trans
retinoic acid and DMSO were 10 AM and 0.5%, respectively, and
10% fetal bovine serum (FBS; Gibco) was added to the medium.
On the first day, the number of nondifferentiated cells in the wells
was 2.5  105 cells/ml. After 8 days of differentiation, the cells
attached to the plate as a monolayer, and cell counting indicated
3  105 cells/cm2 (corresponding to 6.5  105 cells/ml in
suspension).","Neuroblastoma cells were treated with
aggregated Ah 1–42 (10 AM) from 0 to 60 min. After treatment, the cell culture medium, containing Ah, was removed and the cells were washed with cell
culture medium. The living cells were incubated for recovery in culture medium (24 h, 378C and 5% CO2 without Ah)."
210,225,MTT,Donation,,No,No,Unclear,1-42,synthetic,Unclear,Fibers,"Yes, single",0.5,10.000,,250000,cells/ml,,24,,,,,ATRA,8.0,DMEM,FBS,10%,,"The cells were
grown to confluency at 378C for 8 days in Dulbecco’s modified

Eagle’s medium (MEM)/F-12 (1:1) containing phenol red (Sigma-
Aldrich) on 24-well plates (Nunc, Roskilde, Denmark) in a

humidified atmosphere containing 5% CO2. l-Glutamine (4 mM;
Gibco, Budapest, Hungary), penicillin (200 units/ml; Gibco),
streptomycin (200 Ag/ml; Gibco), MEM nonessential amino acids
(Gibco), and 10 AM all-trans retinoic acid (RA; Sigma-Aldrich)
were dissolved in DMSO. The final concentrations of all-trans
retinoic acid and DMSO were 10 AM and 0.5%, respectively, and
10% fetal bovine serum (FBS; Gibco) was added to the medium.
On the first day, the number of nondifferentiated cells in the wells
was 2.5  105 cells/ml. After 8 days of differentiation, the cells
attached to the plate as a monolayer, and cell counting indicated
3  105 cells/cm2 (corresponding to 6.5  105 cells/ml in
suspension).","Neuroblastoma cells were treated with
aggregated Ah 1–42 (10 AM) from 0 to 60 min. After treatment, the cell culture medium, containing Ah, was removed and the cells were washed with cell
culture medium. The living cells were incubated for recovery in culture medium (24 h, 378C and 5% CO2 without Ah)."
