Protocol_ID,Results_ID,Assay,Cell_source,Cell_bank,Cell_authentication,Cell_mycoplasma,Control_description,Abeta_sequence,Abeta_origin,Abeta_species,Abeta_aggregation,Single_exposure,Duration_hours,Concentration_uM,Passage_number,N_cells,N_cells_unit,N_cells_volume,Plate_size,Culture_medium,Medium_supplements,Serum_type,Serum_concentration,Diferentiation_method,Diferentiation_duration_days,Differentiation_medium,Differentiation_serum_type,Differentiation_serum_concentration,Differentiation_supplements,Differentiation_protocol,OBS
201,214,WST,Cell bank,"ATCC, USA",No,No,Unclear,1-42,synthetic,Human,Unclear,"Yes, single",,1.250,,10000,cell/well,,96,Dulbecco’s Modified Eagle’s Medium (DMEM),100U penicilinstreptomycin,heat-inactivated foetal bovine serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,
202,215,WST,Cell bank,"ATCC, USA",No,No,Unclear,1-42,synthetic,Human,Unclear,"Yes, single",,2.500,,10000,cell/well,,96,Dulbecco’s Modified Eagle’s Medium (DMEM),100U penicilinstreptomycin,heat-inactivated foetal bovine serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,
203,216,WST,Cell bank,"ATCC, USA",No,No,Unclear,1-42,synthetic,Human,Unclear,"Yes, single",,5.000,,10000,cell/well,,96,Dulbecco’s Modified Eagle’s Medium (DMEM),100U penicilinstreptomycin,heat-inactivated foetal bovine serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,
204,217,WST,Cell bank,"ATCC, USA",No,No,Unclear,1-42,synthetic,Human,Unclear,"Yes, single",,10.000,,10000,cell/well,,96,Dulbecco’s Modified Eagle’s Medium (DMEM),100U penicilinstreptomycin,heat-inactivated foetal bovine serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,
205,218,MTT,Cell bank,"American Type Cultura Collection (ATCC) (Manassas, VA, USA)",No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,10.000,,,,,96,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12),, fetal bovine serum,10%,ATRA,5.0,Unclear,Unclear,Unclear,10 uM of RA,"In order to induce differentiation, SH-SY5Y cells were exposed to 10 uM of RA (Sigma-Aldrich) for 5 days",
206,219,MTT,Unclear,NA,No,No,Unclear,1-42,recombinant,Human,Unclear,"Yes, single",48.0,25.000,,,,,96, 40% minimal essential medium (MEM) and 40% Ham's modification of F-12,1% L-glutamine (3.6 mM) and 1% penicillin/streptomycin antibiotics, fetal bovine serum,18%,No differentiation,0.0,NA,NA,NA,NA,NA,"plated at a concentration of
100 cells/ul medium per well"
207,220,MTT,Unclear,NA,No,No,Unclear,1-42,recombinant,Human,Unclear,"Yes, single",48.0,25.000,,,,,96, 40% minimal essential medium (MEM) and 40% Ham's modification of F-12,, fetal bovine serum,18%,No differentiation,0.0,NA,NA,NA,NA,NA,"plated at a concentration of
100 cells/ul medium per well"
208,221,MTT,Unclear,NA,No,No,Unclear,1-42,recombinant,Human,Unclear,"Yes, single",48.0,100.000,,,,,96, 40% minimal essential medium (MEM) and 40% Ham's modification of F-12,, fetal bovine serum,18%,No differentiation,0.0,NA,NA,NA,NA,NA,"plated at a concentration of
100 cells/ul medium per well"
209,222,MTT,Unclear,NA,No,No,Unclear,1-42,recombinant,Human,Unclear,"Yes, single",48.0,100.000,,,,,96, 40% minimal essential medium (MEM) and 40% Ham's modification of F-12,, fetal bovine serum,18%,No differentiation,0.0,NA,NA,NA,NA,NA,"plated at a concentration of
100 cells/ul medium per well"
210,223,MTT,Donation,,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",72.0,0.001,,,,,,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12), 100 IU/mL of penicillin and 100 mg/mL of streptomycin,fetal bovine serum,10%,ATRA,4.0,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12),fetal bovine serum,5%,"100 IU/mL penicillin, 100 mg/mL streptomycin and 5 uM retinoic acid  ","To achieve SH-SY5Y cell differentiation, the undifferentiated
cells were treated for 4 days with 5 uM retinoic acid in DMEM/F12
medium containing 5% FBS, 100 IU/mL penicillin, and 100 mg/mL
streptomycin. The RA-including medium was
changed every 2 days.",
211,224,MTT,Donation,,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",72.0,0.010,,,,,,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12), 100 IU/mL of penicillin and 100 mg/mL of streptomycin,fetal bovine serum,10%,ATRA,4.0,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12),fetal bovine serum,5%,"100 IU/mL penicillin, 100 mg/mL streptomycin and 5 uM retinoic acid  ","To achieve SH-SY5Y cell differentiation, the undifferentiated
cells were treated for 4 days with 5 uM retinoic acid in DMEM/F12
medium containing 5% FBS, 100 IU/mL penicillin, and 100 mg/mL
streptomycin. The RA-including medium was
changed every 2 days.",
212,225,MTT,Donation,,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",72.0,0.100,,,,,,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12), 100 IU/mL of penicillin and 100 mg/mL of streptomycin,fetal bovine serum,10%,ATRA,4.0,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12),fetal bovine serum,5%,"100 IU/mL penicillin, 100 mg/mL streptomycin and 5 uM retinoic acid  ","To achieve SH-SY5Y cell differentiation, the undifferentiated
cells were treated for 4 days with 5 uM retinoic acid in DMEM/F12
medium containing 5% FBS, 100 IU/mL penicillin, and 100 mg/mL
streptomycin. The RA-including medium was
changed every 2 days.",
213,226,MTT,Donation,,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",72.0,1.000,,,,,,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12), 100 IU/mL of penicillin and 100 mg/mL of streptomycin,fetal bovine serum,10%,ATRA,4.0,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12),fetal bovine serum,5%,"100 IU/mL penicillin, 100 mg/mL streptomycin and 5 uM retinoic acid  ","To achieve SH-SY5Y cell differentiation, the undifferentiated
cells were treated for 4 days with 5 uM retinoic acid in DMEM/F12
medium containing 5% FBS, 100 IU/mL penicillin, and 100 mg/mL
streptomycin. The RA-including medium was
changed every 2 days.",
214,227,MTT,Donation,,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",72.0,10.000,,,,,,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12), 100 IU/mL of penicillin and 100 mg/mL of streptomycin,fetal bovine serum,10%,ATRA,4.0,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12),fetal bovine serum,5%,"100 IU/mL penicillin, 100 mg/mL streptomycin and 5 uM retinoic acid  ","To achieve SH-SY5Y cell differentiation, the undifferentiated
cells were treated for 4 days with 5 uM retinoic acid in DMEM/F12
medium containing 5% FBS, 100 IU/mL penicillin, and 100 mg/mL
streptomycin. The RA-including medium was
changed every 2 days.",
215,228,MTT,Donation,,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",72.0,100.000,,,,,,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12), 100 IU/mL of penicillin and 100 mg/mL of streptomycin,fetal bovine serum,10%,ATRA,4.0,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12),fetal bovine serum,5%,"100 IU/mL penicillin, 100 mg/mL streptomycin and 5 uM retinoic acid  ","To achieve SH-SY5Y cell differentiation, the undifferentiated
cells were treated for 4 days with 5 uM retinoic acid in DMEM/F12
medium containing 5% FBS, 100 IU/mL penicillin, and 100 mg/mL
streptomycin. The RA-including medium was
changed every 2 days.",
216,229,MTT,Donation,,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",72.0,1000.000,,,,,,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12), 100 IU/mL of penicillin and 100 mg/mL of streptomycin,fetal bovine serum,10%,ATRA,4.0,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12),fetal bovine serum,5%,"100 IU/mL penicillin, 100 mg/mL streptomycin and 5 uM retinoic acid  ","To achieve SH-SY5Y cell differentiation, the undifferentiated
cells were treated for 4 days with 5 uM retinoic acid in DMEM/F12
medium containing 5% FBS, 100 IU/mL penicillin, and 100 mg/mL
streptomycin. The RA-including medium was
changed every 2 days.",
217,230,MTT,Donation,,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",72.0,10000.000,,,,,,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12), 100 IU/mL of penicillin and 100 mg/mL of streptomycin,fetal bovine serum,10%,ATRA,4.0,Dulbecco’s Modified Eagle’s Medium/Nutrient Mixture F-12 Ham (DMEM/F12),fetal bovine serum,5%,"100 IU/mL penicillin, 100 mg/mL streptomycin and 5 uM retinoic acid  ","To achieve SH-SY5Y cell differentiation, the undifferentiated
cells were treated for 4 days with 5 uM retinoic acid in DMEM/F12
medium containing 5% FBS, 100 IU/mL penicillin, and 100 mg/mL
streptomycin. The RA-including medium was
changed every 2 days.",
219,231,MTT,Unclear,NA,No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,1.000,,10000,cells/well,,96,Dulbecco’s Modified Eagle’s Medium (DMEM),1% penicillin-streptomycin,fetal bovine serum,10%,ATRA,5.0,,,,10uM retinoic acid  ,"SH-SY5Y neuroblastoma cells were differen-
tiated for 5 days in the presence of 10μM retinoic acid (RA,
Sigma Chemical Co., St. Louis, MO., USA). ",
220,232,MTT,Unclear,NA,No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,2.500,,10000,cells/well,,96,Dulbecco’s Modified Eagle’s Medium (DMEM),1% penicillin-streptomycin,fetal bovine serum,10%,ATRA,5.0,,,,10uM retinoic acid  ,"SH-SY5Y neuroblastoma cells were differen-
tiated for 5 days in the presence of 10μM retinoic acid (RA,
Sigma Chemical Co., St. Louis, MO., USA). ",
221,233,MTT,Unclear,NA,No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,5.000,,10000,cells/well,,96,Dulbecco’s Modified Eagle’s Medium (DMEM),1% penicillin-streptomycin,fetal bovine serum,10%,ATRA,5.0,,,,10uM retinoic acid  ,"SH-SY5Y neuroblastoma cells were differen-
tiated for 5 days in the presence of 10μM retinoic acid (RA,
Sigma Chemical Co., St. Louis, MO., USA). ",
222,234,MTT,Unclear,NA,No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,10.000,,10000,cells/well,,96,Dulbecco’s Modified Eagle’s Medium (DMEM),1% penicillin-streptomycin,fetal bovine serum,10%,ATRA,5.0,,,,10uM retinoic acid  ,"SH-SY5Y neuroblastoma cells were differen-
tiated for 5 days in the presence of 10μM retinoic acid (RA,
Sigma Chemical Co., St. Louis, MO., USA). ",
223,235,MTT,Unclear,NA,No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,1.000,,10000,cells/well,,96,Dulbecco’s Modified Eagle’s Medium (DMEM),1% penicillin-streptomycin,fetal bovine serum,10%,ATRA,5.0,,,,10uM retinoic acid  ,"SH-SY5Y neuroblastoma cells were differen-
tiated for 5 days in the presence of 10μM retinoic acid (RA,
Sigma Chemical Co., St. Louis, MO., USA). ",
224,236,MTT,Unclear,NA,No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,5.000,,10000,cells/well,,96,Dulbecco’s Modified Eagle’s Medium (DMEM),1% penicillin-streptomycin,fetal bovine serum,10%,ATRA,5.0,,,,10uM retinoic acid  ,"SH-SY5Y neuroblastoma cells were differen-
tiated for 5 days in the presence of 10μM retinoic acid (RA,
Sigma Chemical Co., St. Louis, MO., USA). ",
225,237,MTT,Unclear,NA,No,No,Vehicle,1-40,Unclear,Unclear,Oligomers,"Yes, single",24.0,10.000,,10000,cells/well,,96,Dulbecco’s Modified Eagle’s Medium (DMEM),,fetal bovine serum,,No differentiation,,,,,,,
