Protocol_ID,Results_ID,Assay,Cell_source,Cell_bank,Cell_authentication,Cell_mycoplasma,Control_description,Abeta_sequence,Abeta_origin,Abeta_species,Abeta_aggregation,Single_exposure,Duration_hours,Concentration_uM,Passage_number,N_cells,N_cells_unit,N_cells_volume,Plate_size,Culture_medium,Medium_supplements,Serum_type,Serum_concentration,Diferentiation_method,Diferentiation_duration_days,Differentiation_medium,Differentiation_serum_type,Differentiation_serum_concentration,Differentiation_supplements,Differentiation_protocol,OBS
201,215,MTT,Unclear,,No,No,Unclear,1-42,synthetic,Human,Unclear,"Yes, single",24.0,20.000,Not informed,100000,cells/wells,,96,Not informed,Not informed,Not informed,Not informed,No differentiation,0.0,NA,NA,NA,NA,NA,
203,216,MTT,Cell bank,Korean cell line bank,No,No,Unclear,1-42,Unclear,Human,Oligomers,"Yes, single",24.0,500.000,Not informed,10000,cells/wells,,96,DMEM,"penicillin, streptomycin (1% final concentration)",Fetal Bovine Serum,10% final concentration,ATRA,5.0,DMEM,NA,NA,NA,"cells were differentiated in modified DMEM with all-trans-retinoic acid (final concentration 10
μM). After differentiation the medium was replaced with DMEM (without serum) and 50 ng/ml BDNF",Diferenciação 3~5 days
205,218,MTT,Cell bank,Korean cell line bank,No,No,Unclear,1-42,Unclear,Human,Fibers,"Yes, single",24.0,500.000,Not informed,10000,cells/wells,,96,DMEM,"penicillin, streptomycin (1% final concentration)",Fetal Bovine Serum,10% final concentration,ATRA,5.0,DMEM,NA,NA,NA,"cells were differentiated in modified DMEM with all-trans-retinoic acid (final concentration 10
μM). After differentiation the medium was replaced with DMEM (without serum) and 50 ng/ml BDNF",Diferenciação 3~5 days
206,219,MTT,Cell bank,European Collection of Cell Cultures,No,No,Unclear,1-42,Unclear,Unclear,Oligomers,"Yes, single",24.0,5.000,Not informed,,Not informed,,,DMEM,"L-glutamine (2 mM), 1% non-essential amino acids, 1% penicillin/streptomycin",Fetal Bovine Serum,10% final concentration,No differentiation,0.0,NA,NA,NA,NA,NA,Os campos numéricos que não foram preenchidos é pq não foram informados no artigo
207,220,CCK-8,Cell bank,"Committee on Type Culture Collection of Chinese Academy of Sciences, Shanghai, China",No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,5.000,Not informed,,Not informed,,96,DMEM,"penicillin, streptomycin (1%)",Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,Os campos numéricos que não foram preenchidos é pq não foram informados no artigo
210,221,CCK-8,Cell bank,"Committee on Type Culture Collection of Chinese Academy of Sciences, Shanghai, China",No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,10.000,Not informed,,Not informed,,96,DMEM,"penicillin, streptomycin (1%)",Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,Os campos numéricos que não foram preenchidos é pq não foram informados no artigo
211,222,CCK-8,Cell bank,"Committee on Type Culture Collection of Chinese Academy of Sciences, Shanghai, China",No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,20.000,Not informed,,Not informed,,96,DMEM,"penicillin, streptomycin (1%)",Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,Os campos numéricos que não foram preenchidos é pq não foram informados no artigo
212,223,CCK-8,Cell bank,"Committee on Type Culture Collection of Chinese Academy of Sciences, Shanghai, China",No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,40.000,Not informed,,Not informed,,96,DMEM,"penicillin, streptomycin (1%)",Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,Os campos numéricos que não foram preenchidos é pq não foram informados no artigo
213,224,CCK-8,Cell bank,"Committee on Type Culture Collection of Chinese Academy of Sciences, Shanghai, China",No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,60.000,Not informed,,Not informed,,96,DMEM,"penicillin, streptomycin (1%)",Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,Os campos numéricos que não foram preenchidos é pq não foram informados no artigo
214,225,CCK-8,Cell bank,"Committee on Type Culture Collection of Chinese Academy of Sciences, Shanghai, China",No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,40.000,Not informed,,Not informed,,96,DMEM,"penicillin, streptomycin (1%)",Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,Os campos numéricos que não foram preenchidos é pq não foram informados no artigo
215,226,MTT,Unclear,,No,No,Other,1-42,Unclear,Unclear,Unclear,"Yes, single",2.0,10.000,Not informed,,Not informed,,6,MEM,"2 mM L-glutamine, 100 units/ml penicillin, 100 mg/ml streptomycin",Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"Control description: untreated cells; Abeta(1-42) was dissolved in
serum free MEM media (pH 7.4) at a concentration of
10 ìM and aged for 72 h by incubation at 378C; Os campos numéricos que não foram preenchidos é pq não foram informados no artigo."
216,227,MTT,Unclear,,No,No,Other,1-42,Unclear,Unclear,Unclear,"Yes, single",5.0,10.000,Not informed,,Not informed,,6,MEM,"2 mM L-glutamine, 100 units/ml penicillin, 100 mg/ml streptomycin",Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"Control description: untreated cells; Abeta(1-42) was dissolved in
serum free MEM media (pH 7.4) at a concentration of
10 ìM and aged for 72 h by incubation at 378C; Os campos numéricos que não foram preenchidos é pq não foram informados no artigo."
217,228,MTT,Unclear,,No,No,Other,1-42,Unclear,Unclear,Unclear,"Yes, single",10.0,10.000,Not informed,,Not informed,,6,MEM,"2 mM L-glutamine, 100 units/ml penicillin, 100 mg/ml streptomycin",Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"Control description: untreated cells; Abeta(1-42) was dissolved in
serum free MEM media (pH 7.4) at a concentration of
10 ìM and aged for 72 h by incubation at 378C; Os campos numéricos que não foram preenchidos é pq não foram informados no artigo."
218,229,MTT,Unclear,,No,No,Other,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,10.000,Not informed,,Not informed,,6,MEM,"2 mM L-glutamine, 100 units/ml penicillin, 100 mg/ml streptomycin",Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"Control description: untreated cells; Abeta(1-42) was dissolved in
serum free MEM media (pH 7.4) at a concentration of
10 ìM and aged for 72 h by incubation at 378C; Os campos numéricos que não foram preenchidos é pq não foram informados no artigo."
219,230,MTT,Unclear,,No,No,Other,1-42,Unclear,Unclear,Unclear,"Yes, single",48.0,10.000,Not informed,,Not informed,,6,MEM,"2 mM L-glutamine, 100 units/ml penicillin, 100 mg/ml streptomycin",Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"Control description: untreated cells; Abeta(1-42) was dissolved in
serum free MEM media (pH 7.4) at a concentration of
10 ìM and aged for 72 h by incubation at 378C; Os campos numéricos que não foram preenchidos é pq não foram informados no artigo."
220,231,MTT,Cell bank,"National Centre for Cell Science (NCCS) Pune, India",No,No,Unclear,Not informed,Unclear,Unclear,Unclear,"Yes, single",,,Not informed,,Not informed,,96,DMEM,1% penicillin-streptomycin,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,Os campos numéricos que não foram preenchidos é pq não foram informados no artigo
221,232,MTT,Cell bank,"National Centre for Cell Science (NCCS) Pune, India",No,No,Unclear,Not informed,Unclear,Unclear,Unclear,"Yes, single",,,Not informed,,Not informed,,96,DMEM,1% penicillin-streptomycin,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,Os campos numéricos que não foram preenchidos é pq não foram informados no artigo
222,233,MTT,Unclear,,No,No,Unclear,Not informed,Unclear,Unclear,Unclear,"Yes, single",24.0,20.000,Not informed,100000,cells/wells,,96,Not informed,Not informed,Not informed,Not informed,No differentiation,0.0,NA,NA,NA,NA,NA,"Abeta aggregation: maybe monomers... The stock solution of Aβ (2000 µM) was prepared by 
dissolving the protein in ammonium hydroxide (pH≥9.0)."
223,234,MTT,Cell bank,"American Type Culture  Collection, Manassas, VA, USA",No,No,Unclear,1-42,Unclear,Unclear,Oligomers,"Yes, single",24.0,10.000,6-8,40000,cells/wells,,96,DMEM:F12 (1:1),100 units/ml penicillin and 100 µg/ml streptomycin,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,
224,235,MTT,Cell bank,European Collection of Cell Cultures,No,No,Vehicle, Abeta42,Unclear,Human,Unclear,"Yes, single",24.0,10.000,Not informed,40000,cells/wells,,96,DMEM/F12,GlutaMAX-I,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"After cells had grown to 80% confluence,the medium was replaced with fresh Advanced DMEM/F12
containing 3% FBS for use in experiments"
225,236,MTT,Cell bank,European Collection of Cell Cultures,No,No,Vehicle, Abeta43,Unclear,Human,Unclear,"Yes, single",24.0,10.000,Not informed,40000,cells/wells,,96,DMEM/F12,GlutaMAX-I,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"After cells had grown to 80% confluence,the medium was replaced with fresh Advanced DMEM/F12
containing 3% FBS for use in experiments"
226,237,MTT,Cell bank,European Collection of Cell Cultures,No,No,Vehicle, Abeta40,Unclear,Human,Unclear,"Yes, single",24.0,10.000,Not informed,40000,cells/wells,,96,DMEM/F12,GlutaMAX-I,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"After cells had grown to 80% confluence,the medium was replaced with fresh Advanced DMEM/F12
containing 3% FBS for use in experiments"
227,238,MTT,Cell bank,American Type Culture Collection,No,No,Medium only, Abeta40,Unclear,Unclear,Monomers,"Yes, single",24.0,10.000,Not informed,15000,cells/wells,,96,DMEM/F12,"100 U/ml penicillin,  and 100 μg/ml streptomycin",Fetal Bovine Serum,10%,ATRA,5.0,DMEM/F12,Fetal Bovine Serum,10%,"100 U/ml penicillin,  and 100 μg/ml streptomycin","Cells 
were differentiated with 10 μm of all-trans retinoic acid (RA) 
(Sigma-Aldrich, St. Louis, MO, USA) for 5 days.",
238,248,MTT,Unclear,,No,No,Vehicle, Abeta42,synthetic,Human,Fibers,"Yes, single",24.0,10.000,Not informed,20000,cells/wells,,96,DMEM/ F-12,1% penicillin-streptomycin,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,
239,249,MTT,Unclear,,No,No,Vehicle, Abeta42,synthetic,Human,Fibers,"Yes, single",24.0,10.000,Not informed,20000,cells/wells,,96,DMEM/ F-12,1% penicillin-streptomycin,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,
240,250,MTT,Unclear,,No,No,Unclear, Abeta42,synthetic,Human,Fibers,"Yes, single",24.0,10.000,Not informed,20000,cells/wells,,96,DMEM/ F-12,1% penicillin-streptomycin,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,Comentou neste caso que as células foram with pre-incubated (12 h) Aβ42 
241,251,MTT,Unclear,,No,No,Unclear, Abeta42,Unclear,Unclear,Unclear,"Yes, single",48.0,20.000,Not informed,10000,cells/wells,,96,DMEM,"50 U/mL penicillin, and 50 mg/mL streptomycin",Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"Cell line was obtained from the Procell Life
Science & Technology Co., Ltd. "
242,252,MTT,Cell bank,American Type Culture Collection,No,No,Unclear, Abeta1-42,Unclear,Unclear,Unclear,"Yes, single",72.0,10.000,Not informed,20000,cells/wells,,96,DMEM,"50% F-12; 1% penicillin (5,000 U/mL)— streptomycin (5,000 lg/mL)",Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,
243,253,WST,Cell bank,"American Type Culture Collection, Europe",No,No,Vehicle, Abeta42,Unclear,Unclear,Unclear,"Yes, single",48.0,10.000,Not informed,,Not informed,,96,DMEM,"50 U/ml 119 penicillin, 50 ug/ml streptomycin solution",Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,Os campos numéricos que não foram preenchidos é pq não foram informados no artigo
244,254,WST,Cell bank,"American Type Culture Collection, Europe",No,No,Vehicle, Abeta42,Unclear,Unclear,Unclear,"Yes, single",48.0,20.000,Not informed,,Not informed,,96,DMEM,"50 U/ml 119 penicillin, 50 ug/ml streptomycin solution",Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,Os campos numéricos que não foram preenchidos é pq não foram informados no artigo
245,255,WST,Cell bank,"American Type Culture Collection, Europe",No,No,Vehicle, Abeta42,Unclear,Unclear,Unclear,"Yes, single",48.0,10.000,Not informed,,Not informed,,96,DMEM,"50 U/ml 119 penicillin, 50 ug/ml streptomycin solution",Fetal Bovine Serum,10%,Other,3.0,DMEM,Fetal Bovine Serum*,10%,dbcAMP,"*dbcAMP (N(6),2'-O-dibutyryladenosine 3'
:5' cyclic
monophosphate) treatment was conducted with 2 mM dbcAMP in full media for 2 days and subsequently in serum-free
media containing 2 mM dbcAMP for an additional
day.",Os campos numéricos que não foram preenchidos é pq não foram informados no artigo
246,256,WST,Cell bank,"American Type Culture Collection, Europe",No,No,Vehicle, Abeta42,Unclear,Unclear,Unclear,"Yes, single",48.0,20.000,Not informed,,Not informed,,96,DMEM,"50 U/ml 119 penicillin, 50 ug/ml streptomycin solution",Fetal Bovine Serum,10%,Other,3.0,DMEM,Fetal Bovine Serum*,10%,dbcAMP,"*dbcAMP ((N(6),2'-O-dibutyryladenosine 3'
:5' cyclic
monophosphate) treatment was conducted with 2 mM dbcAMP in full media for 2 days and subsequently in serum-free
media containing 2 mM dbcAMP for an additional
day.",Os campos numéricos que não foram preenchidos é pq não foram informados no artigo
