Results_ID,Fig_ID,control_mean,control_variation,control_n,treated_mean,treated_variation,treated_n,variation,n_definition,OBS_n,OBS_general,Protocol,Date_results
214,242,99.890,6.238,21,57.461,8.319,21,SEM,triplicate,"All MTT assays were performed in triplicate; one measure-
ment contained seven parallels (n = 21).",,201,5/26/2022
217,244,99.981,6.631,21,74.904,7.958,21,SEM,triplicate,"All MTT assays were performed in triplicate; one measure-
ment contained seven parallels (n = 21).",,202,5/26/2022
218,244,99.981,6.631,21,70.871,6.543,21,SEM,triplicate,"All MTT assays were performed in triplicate; one measure-
ment contained seven parallels (n = 21).",,203,5/26/2022
219,244,99.981,6.631,21,52.602,4.598,21,SEM,triplicate,"All MTT assays were performed in triplicate; one measure-
ment contained seven parallels (n = 21).",,204,5/26/2022
220,244,99.981,6.631,21,37.605,10.433,21,SEM,triplicate,"All MTT assays were performed in triplicate; one measure-
ment contained seven parallels (n = 21).",,205,5/26/2022
221,247,99.923,5.960,21,78.131,4.488,21,SEM,triplicate,"All MTT assays were performed in triplicate; one measure-
ment contained seven parallels (n = 21).",,206,5/26/2022
222,247,99.923,5.960,21,72.896,3.679,21,SEM,triplicate,"All MTT assays were performed in triplicate; one measure-
ment contained seven parallels (n = 21).",,207,5/26/2022
223,247,99.923,5.960,21,68.176,5.151,21,SEM,triplicate,"All MTT assays were performed in triplicate; one measure-
ment contained seven parallels (n = 21).",,208,5/26/2022
224,247,99.923,5.960,21,68.092,6.843,21,SEM,triplicate,"All MTT assays were performed in triplicate; one measure-
ment contained seven parallels (n = 21).",,209,5/26/2022
225,247,99.923,5.960,21,60.061,3.385,21,SEM,triplicate,"All MTT assays were performed in triplicate; one measure-
ment contained seven parallels (n = 21).",,210,5/26/2022
226,247,99.923,5.960,21,62.773,7.211,21,SEM,triplicate,"All MTT assays were performed in triplicate; one measure-
ment contained seven parallels (n = 21).",,211,5/26/2022
227,253,100.163,10.663,3,82.280,7.109,3,SEM,,Descreve n como 3-4 ,,212,5/27/2022
228,254,99.956,4.088,3,74.469,8.321,3,SD,triplicate,,,213,5/27/2022
229,255,100.465,2.666,3,67.949,1.422,3,SD,4 replicatas,,,214,5/27/2022
230,256,100.053,0.150,5,66.601,4.484,5,SEM,,,,215,5/27/2022
231,257,1.006,,4,81.000,0.030,4,SEM,duplicata,,,216,5/28/2022
232,258,100.294,8.583,,69.553,9.049,,SD,,"Descreve n > ou igual a 3
Não descreve as replicatas
",,217,5/28/2022
233,259,99.790,1.468,4,77.358,5.031,4,SD,5 replicatas,,,218,5/29/2022
234,260,100.596,,6,88.059,2.687,6,SEM,,,,219,5/29/2022
235,260,100.596,,6,73.134,3.284,6,SEM,,,,220,5/29/2022
236,262,100.822,,8,65.153,2.091,8,SEM,,,,221,5/29/2022
237,263,100.497,1.542,3,57.439,2.863,3,SEM,triplicata,,,222,5/29/2022
238,264,100.327,3.807,6,29.965,7.235,6,SEM,,,,223,5/29/2022
239,265,100.000,4.448,3,56.406,5.516,3,SD,,,,224,5/29/2022
240,266,100.195,4.355,3,66.962,2.787,3,SD,6 replicate wells,,,225,5/29/2022
