Results_ID,Fig_ID,control_mean,control_variation,control_n,treated_mean,treated_variation,treated_n,variation,n_definition,OBS_n,OBS_general,Protocol,Date_results
214,242,100.400,12.180,4,80.250,5.880,4,SEM,experiments,''Results were expressed as mean ± SEM for four experiments in each group.'',,201,10/3/2022
215,242,100.400,12.180,4,64.290,5.880,4,SEM,experiments,''Results were expressed as mean ± SEM for four experiments in each group.'',,202,24/3/2022
216,242,100.400,12.180,4,52.250,4.202,4,SEM,experiments,''Results were expressed as mean ± SEM for four experiments in each group.'',,203,24/3/2022
217,243,100.000,0.000,5,111.900,2.254,5,SEM,independent experiments,"""Data from at least three independent experiments, all experimental points in triplicates, """,,204,24/3/2022
218,243,100.000,0.000,5,88.580,4.066,5,SEM,independent experiments,"""Data from at least three independent experiments, all experimental points in triplicates, """,,205,24/3/2022
219,243,100.000,0.000,3,102.100,4.068,3,SEM,independent experiments,"""Data from at least three independent experiments, all experimental points in triplicates, """,,206,24/3/2022
220,243,100.000,0.000,3,97.420,9.486,3,SEM,independent experiments,"""Data from at least three independent experiments, all experimental points in triplicates, """,,207,24/3/2022
223,244,100.000,0.000,8,54.280,1.615,8,SEM,determinations,''Values are presented as means  SEM of eight determinations'',,208,24/3/2022
224,245,100.000,0.000,4,64.460,3.170,4,SD,independent experiments,"''The reported values are representative of four independent experiments carried out in triplicate.""",,209,24/3/2022
225,246,99.830,5.913,3,62.260,6.261,3,SEM,experiments,"''The reported data are expressed as means ± SEM of at
least three independent experiments.''",,210,25/3/2022
226,247,100.600,2.460,,91.120,4.100,,SEM,NA,NA,,212,25/3/2022
227,247,100.600,2.460,,72.240,4.510,,SEM,NA,NA,,213,25/3/2022
228,247,100.600,2.460,,53.360,3.280,,SEM,NA,NA,,214,25/3/2022
229,247,100.600,2.460,,45.150,8.209,,SEM,NA,NA,,215,25/3/2022
230,247,100.600,2.460,,40.220,11.490,,SEM,NA,NA,,216,25/3/2022
231,248,100.000,0.000,6,38.670,1.141,6,SEM,replicates,Values are expressed as mean ± S.E.M. from six replicates,"The experiments, repeated twice, were carried out in six replicates.",217,28/3/2022
