Results_ID,Fig_ID,control_mean,control_variation,control_n,treated_mean,treated_variation,treated_n,variation,n_definition,OBS_n,OBS_general,Protocol,Date_results
214,242,100.000,,5,95.040,1.239,5,SEM,Independent experiments,"Each point represents the average of five experiments in duplicate ± SE.

The results were represented as percentage of the control cells kept
in the same experimental conditions for the same period.",24h pós Ab42 (small fraction),201,10/2/2022
215,242,100.000,,5,98.050,1.416,5,SEM,Independent experiments,"Each point represents the average of five experiments in duplicate ± SE.

The results were represented as percentage of the control cells kept
in the same experimental conditions for the same period.",48h pós Ab42 (small fraction),202,21/2/2022
216,242,100.000,,5,93.980,0.885,5,SEM,Independent experiments,"Each point represents the average of five experiments in duplicate ± SE.

The results were represented as percentage of the control cells kept
in the same experimental conditions for the same period.",72h pós Ab42 (small fraction),203,21/2/2022
217,242,100.000,,5,87.960,2.124,5,SEM,Independent experiments,"Each point represents the average of five experiments in duplicate ± SE.

The results were represented as percentage of the control cells kept
in the same experimental conditions for the same period.",24h pós Ab42 (medium fraction),204,21/2/2022
218,242,100.000,,5,73.100,2.655,5,SEM,Independent experiments,"Each point represents the average of five experiments in duplicate ± SE.

The results were represented as percentage of the control cells kept
in the same experimental conditions for the same period.",48h pós Ab42 (medium fraction),205,21/2/2022
219,242,100.000,,5,67.080,3.363,5,SEM,Independent experiments,"Each point represents the average of five experiments in duplicate ± SE.

The results were represented as percentage of the control cells kept
in the same experimental conditions for the same period.",72h pós Ab42 (medium fraction),206,23/2/2022
220,242,100.000,,5,65.840,2.301,5,SEM,Independent experiments,"Each point represents the average of five experiments in duplicate ± SE.

The results were represented as percentage of the control cells kept
in the same experimental conditions for the same period.",24h pós Ab42 (large fraction),207,23/2/2022
221,242,100.000,,5,60.000,2.655,5,SEM,Independent experiments,"Each point represents the average of five experiments in duplicate ± SE.

The results were represented as percentage of the control cells kept
in the same experimental conditions for the same period.",48h pós Ab42 (large fraction),208,23/2/2022
222,242,100.000,,5,47.080,4.248,5,SEM,Independent experiments,"Each point represents the average of five experiments in duplicate ± SE.

The results were represented as percentage of the control cells kept
in the same experimental conditions for the same period.",72h pós Ab42 (large fraction),209,23/2/2022
223,243,100.000,4.421,3,32.210,4.421,3,SD,Replicate,Triplicate,No information of number of wells for each condition (control or Ab42 treated),210,23/2/2022
224,243,100.000,5.684,3,29.680,5.053,3,SD,Replicate,Triplicate,,211,24/2/2022
225,244,100.000,,5,63.000,3.900,5,SEM,Five independent sets of studies for cultured SHSY5Y,,,212,24/2/2022
226,245,1.000,0.043,3,0.743,0.036,3,Unclear,Independent experiments,Each experiment was performed in triplicate; the data provided were obtained as the mean of three independent assays.,,213,24/2/2022
227,245,0.991,0.052,3,0.747,0.039,3,Unclear,Independent experiments,Each experiment was performed in triplicate; the data provided were obtained as the mean of three independent assays.,,214,7/3/2022
228,245,0.991,0.045,3,0.740,0.039,3,Unclear,Independent experiments,Each experiment was performed in triplicate; the data provided were obtained as the mean of three independent assays.,,215,11/3/2022
229,245,0.991,0.045,3,0.740,0.039,3,Unclear,Independent experiments,Each experiment was performed in triplicate; the data provided were obtained as the mean of three independent assays.,,216,11/3/2022
230,245,0.994,0.032,3,0.782,0.038,3,Unclear,Independent experiments,Each experiment was performed in triplicate; the data provided were obtained as the mean of three independent assays.,,217,11/3/2022
231,245,0.994,0.032,3,0.789,0.032,3,Unclear,Independent experiments,Each experiment was performed in triplicate; the data provided were obtained as the mean of three independent assays.,,218,11/3/2022
232,246,99.900,2.857,3,64.670,0.952,3,SEM,Independent experiments,Data represent typical results from three independent experiments,,219,11/3/2022
233,247,99.920,2.738,3,87.600,4.106,3,SEM,Independent experiments,Data represent typical results from three independent experiments,,220,11/3/2022
234,247,99.920,2.738,3,63.420,1.369,3,SEM,Independent experiments,Data represent typical results from three independent experiments,,221,11/3/2022
235,248,100.000,0.736,3,55.500,2.209,3,SD,Replicate,All experiments were carried out in triplicate.The results were expressed as mean ± SD.,,222,12/3/2022
236,249,100.000,1.784,3,74.060,3.431,3,SEM,Independent experiments,Three independent experiments.,,223,12/3/2022
237,249,100.000,1.784,3,75.710,2.608,3,SEM,Independent experiments,Three independent experiments.,,224,12/3/2022
238,250,100.000,6.735,3,67.550,3.188,3,SEM,Independent experiments,Three independent experiments.,,225,14/3/2022
239,250,100.000,6.735,3,63.060,4.255,3,SEM,Independent experiments,Three independent experiments.,,226,14/3/2022
240,251,95.210,11.550,3,32.390,1.127,3,SEM,Independent experiments,Three separate experiments,,227,14/3/2022
241,252,100.000,,4,101.100,,4,SD,Independent experiments,Each point represents the mean ± SD from triplicate experiments repeated 4 times (12 observations),,228,16/3/2022
242,252,100.000,,4,98.610,3.064,4,SD,Independent experiments,Each point represents the mean ± SD from triplicate experiments repeated 4 times (12 observations),,229,17/3/2022
243,252,100.000,,4,89.140,3.621,4,SD,Independent experiments,Each point represents the mean ± SD from triplicate experiments repeated 4 times (12 observations),,230,17/3/2022
244,252,100.000,,4,76.600,4.178,4,SD,Independent experiments,Each point represents the mean ± SD from triplicate experiments repeated 4 times (12 observations),,231,17/3/2022
245,252,100.000,,4,50.700,5.571,4,SD,Independent experiments,Each point represents the mean ± SD from triplicate experiments repeated 4 times (12 observations),,232,17/3/2022
246,252,100.000,,4,39.000,5.292,4,SD,Independent experiments,Each point represents the mean ± SD from triplicate experiments repeated 4 times (12 observations),,233,17/3/2022
247,252,100.000,,4,22.280,3.621,4,SD,Independent experiments,Each point represents the mean ± SD from triplicate experiments repeated 4 times (12 observations),,234,17/3/2022
248,253,100.000,,3,58.700,2.800,3,SD,Independent experiments,The data obtained are expressed as mean ± standard deviation (SD) from three independent experiments performed in triplicate,,235,19/3/2022
249,254,100.000,,3,75.510,10.170,3,SD,Independent experiments,Three independent experiments,,236,4/4/2022
250,254,100.000,,3,60.630,9.802,3,SD,Independent experiments,Three independent experiments,,237,4/4/2022
251,255,100.000,,3,50.000,10.000,3,SD,Independent experiments,Three independent experiments,,238,4/4/2022
252,256,100.000,2.412,,59.090,1.447,,SEM,,,,239,4/4/2022
253,257,100.600,1.392,2,58.830,4.177,2,SEM,Independent experiments,Data are means of triplicates of each of two independent experiments ± SEM,,240,5/4/2022
254,257,100.600,1.392,2,51.170,3.133,2,SEM,Independent experiments,Data are means of triplicates of each of two independent experiments ± SEM,,241,5/4/2022
255,257,100.600,1.392,2,45.950,1.741,2,SEM,Independent experiments,Data are means of triplicates of each of two independent experiments ± SEM,,242,5/4/2022
256,257,100.600,1.392,2,40.030,0.348,2,SEM,Independent experiments,Data are means of triplicates of each of two independent experiments ± SEM,,243,5/4/2022
257,257,100.600,1.392,2,18.800,0.348,2,SEM,Independent experiments,Data are means of triplicates of each of two independent experiments ± SEM,,244,5/4/2022
258,258,94.380,1.498,2,53.560,1.873,2,SEM,Independent experiments,Data are means of triplicates of each of two independent experiments ± SEM,,245,5/4/2022
259,259,94.540,1.706,2,45.730,0.683,2,SEM,Independent experiments,Data are means of triplicates of each of two independent experiments ± SEM,,246,5/4/2022
260,260,1.000,,6,0.640,0.020,6,SEM,,,,247,5/4/2022
261,261,100.000,,3,52.000,,3,SD,Independent experiments,"Data are expressed as mean ± SD of three experiments, and each includes triplicate sets.",,248,13/4/2022
262,262,100.000,8.696,3,46.900,7.500,3,SD,Independent experiments,The data presented in this study were obtained from at least 3 independent experiments for each experimental condition,,249,13/4/2022
263,263,1.000,0.144,3,0.954,0.098,3,SD,Independent experiments,All data were presented as mean ± SD from three independent experiments,,250,18/4/2022
264,263,1.000,0.144,3,0.782,0.092,3,SD,Independent experiments,All data were presented as mean ± SD from three independent experiments,,251,27/4/2022
265,263,1.000,0.144,3,0.563,0.080,3,SD,Independent experiments,All data were presented as mean ± SD from three independent experiments,,252,27/4/2022
266,263,1.000,0.144,3,0.437,0.069,3,SD,Independent experiments,All data were presented as mean ± SD from three independent experiments,,253,27/4/2022
267,264,1.000,0.109,3,0.515,0.080,3,SD,Independent experiments,All data were presented as mean ± SD from three independent experiments,,254,27/4/2022
268,265,99.420,,3,97.520,2.216,3,SD,Independent experiments,"All experiments had three biological repetitions, with three technical repetitions.
",,255,9/5/2022
269,265,99.420,,3,96.570,,3,SD,Independent experiments,"All experiments had three biological repetitions, with three technical repetitions.
",,256,9/5/2022
270,265,99.420,,3,95.940,,3,SD,Independent experiments,"All experiments had three biological repetitions, with three technical repetitions.
",,257,9/5/2022
271,265,99.420,,3,95.300,,3,SD,Independent experiments,"All experiments had three biological repetitions, with three technical repetitions.
",,258,9/5/2022
272,265,97.520,2.216,3,88.650,,3,SD,Independent experiments,"All experiments had three biological repetitions, with three technical repetitions.
",,259,9/5/2022
273,265,97.520,2.216,3,83.270,,3,SD,Independent experiments,"All experiments had three biological repetitions, with three technical repetitions.
",,260,9/5/2022
274,265,97.520,2.216,3,81.370,,3,SD,Independent experiments,"All experiments had three biological repetitions, with three technical repetitions.
",,261,9/5/2022
275,265,97.520,2.216,3,79.160,,3,SD,Independent experiments,"All experiments had three biological repetitions, with three technical repetitions.
",,262,9/5/2022
276,265,96.250,,3,75.670,,3,SD,Independent experiments,"All experiments had three biological repetitions, with three technical repetitions.
",,263,9/5/2022
277,265,96.250,,3,63.320,4.116,3,SD,Independent experiments,"All experiments had three biological repetitions, with three technical repetitions.
",,264,9/5/2022
278,265,96.250,,3,55.090,,3,SD,Independent experiments,"All experiments had three biological repetitions, with three technical repetitions.
",,265,9/5/2022
279,265,96.250,,3,50.660,,3,SD,Independent experiments,"All experiments had three biological repetitions, with three technical repetitions.
",,266,9/5/2022
