Results_ID,Fig_ID,control_mean,control_variation,control_n,treated_mean,treated_variation,treated_n,variation,n_definition,OBS_n,OBS_general,Protocol,Date_results
214,242,93.330,2.050,12,96.410,3.077,12,Unclear,number of experiments,,,201,24/2/2022
215,242,93.330,2.050,12,95.380,2.051,12,Unclear,number of experiments,,,202,24/2/2022
216,242,93.330,2.050,12,90.250,3.077,12,Unclear,number of experiments,,,203,24/2/2022
217,242,93.330,2.050,12,88.200,2.564,12,Unclear,number of experiments,,,204,24/2/2022
218,246,94.400,2.061,12,98.000,3.484,12,Unclear,number of experiments,,,205,3/3/2022
219,246,94.400,2.061,12,96.760,2.748,12,Unclear,number of experiments,,,206,3/3/2022
220,246,94.400,2.061,12,61.530,3.471,12,Unclear,number of experiments,,,207,3/3/2022
221,246,94.400,2.061,12,75.540,2.752,12,Unclear,number of experiments,,,208,3/3/2022
222,250,100.500,17.810,3,15.520,3.239,3,SD,replicate,,,209,3/3/2022
223,251,99.860,1.183,6,88.580,4.183,6,SEM,independent experiments,,,210,14/3/2022
224,251,89.310,4.185,6,51.140,1.186,6,SEM,independent experiments,,,211,14/3/2022
225,252,145.700,6.822,3,70.650,6.829,3,Unclear,"number of experimentos, 7 wells per treament (replicate)",,,220,14/3/2022
226,252,101.400,,3,60.410,3.413,3,Unclear,"number of experimentos, 7 wells per treament (replicate)",,,221,14/3/2022
227,252,171.900,9.555,3,61.320,6.826,3,Unclear,"number of experimentos, 7 wells per treament (replicate)",,,222,14/3/2022
228,252,98.180,5.458,3,41.530,3.414,3,Unclear,"number of experimentos, 7 wells per treament (replicate)",,,223,14/3/2022
229,253,100.600,5.000,3,84.440,5.555,3,Unclear,"number of experimentos, 7 wells per treament (replicate)",,,224,14/3/2022
230,253,100.600,5.000,3,62.220,3.889,3,Unclear,"number of experimentos, 7 wells per treament (replicate)",,,225,14/3/2022
231,253,100.600,5.000,3,49.440,5.555,3,Unclear,"number of experimentos, 7 wells per treament (replicate)",,,226,14/3/2022
235,254,100.000,,2,45.550,2.085,2,SD,Independent experiments (triplicate readings),,,230,15/3/2022
236,254,100.000,,2,66.750,5.565,2,SD,Independent experiments (triplicate readings),,,231,15/3/2022
237,255,100.000,,2,58.100,6.479,2,SD,Independent experiments (triplicate readings),,,232,15/3/2022
238,256,100.300,9.836,6,50.160,9.344,6,SEM,replicate,,,233,16/3/2022
239,257,96.200,6.900,,59.260,5.277,,Unclear,,,,234,18/3/2022
240,257,96.200,6.900,,48.710,9.336,,Unclear,,,,235,18/3/2022
241,258,100.000,,4,29.360,1.376,4,SEM,independent experiments in triplicate,,Control not shown in the graph,236,21/3/2022
242,258,100.000,,4,27.520,1.376,4,SEM,independent experiments in triplicate,,Control not shown in the graph,237,21/3/2022
243,259,100.000,,4,24.800,3.089,4,SEM,independent experiments in triplicate,,Control not shown in the graph,238,22/3/2022
244,259,100.000,,4,20.730,4.120,4,SEM,independent experiments in triplicate,,Control not shown in the graph,239,22/3/2022
245,260,100.000,,5,32.790,3.178,5,SEM,independent experiments,,,240,22/3/2022
246,260,100.000,,5,32.000,3.769,5,SEM,independent experiments,,,241,26/3/2022
247,261,100.000,,5,32.050,3.726,5,SEM,independent experiments,,,242,26/3/2022
248,261,100.000,,5,30.230,3.664,5,SEM,independent experiments,,,243,26/3/2022
249,261,100.000,,5,32.160,2.707,5,SEM,independent experiments,,,244,26/3/2022
250,262,100.000,,3,108.500,25.550,3,SD,"independent experiments, where each experiment was performed in triplicate",,,245,27/3/2022
251,262,100.000,,3,98.870,14.800,3,SD,"independent experiments, where each experiment was performed in triplicate",,,246,27/3/2022
