Results_ID,Fig_ID,control_mean,control_variation,control_n,treated_mean,treated_variation,treated_n,variation,n_definition,OBS_n,OBS_general,Protocol,Date_results,Article
214,242,1.001,0.074,3,0.844,0.083,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,201,2/25/2022,
215,242,1.001,0.074,3,0.770,0.024,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,202,2/25/2022,
216,242,1.001,0.074,3,0.761,0.024,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,203,2/25/2022,
217,242,1.001,0.074,3,0.457,0.035,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,204,2/25/2022,
218,242,1.001,0.074,3,0.353,0.015,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,205,2/25/2022,
219,242,1.001,0.074,3,0.350,0.011,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,206,2/25/2022,
220,242,1.001,0.074,3,0.821,0.046,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,207,2/25/2022,
221,242,1.001,0.074,3,0.777,0.039,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,208,2/25/2022,
222,242,1.001,0.074,3,0.722,0.031,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,209,2/25/2022,
223,242,1.001,0.074,3,0.484,0.052,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,210,2/25/2022,
224,242,1.001,0.074,3,0.320,0.024,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,211,2/25/2022,
225,242,1.001,0.074,3,0.312,0.048,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,212,2/25/2022,
226,242,1.001,0.074,3,1.064,0.050,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,213,2/25/2022,
228,242,1.001,0.074,3,0.979,0.037,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,214,2/25/2022,
229,242,1.001,0.074,3,0.953,0.050,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,215,2/25/2022,
230,242,1.001,0.074,3,0.898,0.048,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,216,2/25/2022,
231,242,1.001,0.074,3,0.870,0.022,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,217,2/25/2022,
232,242,1.001,0.074,3,0.861,0.035,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,218,2/25/2022,
233,260,0.998,0.070,3,0.301,0.011,3,SD,independent experiments,Methods section 2.3 and Fig 1 legend. 3 independent experiments performed in triplicate.,,219,2/25/2022,
234,261,100.000,0.000,2,98.550,12.350,2,SD,separate experiments,Fig 2 legend. 2 separate experiments (each done in triplicate).,,220,2/25/2022,
235,261,100.000,0.000,2,75.760,12.630,2,SD,separate experiments,Fig 2 legend. 2 separate experiments (each done in triplicate).,,221,2/25/2022,
236,263,100.000,0.000,6,88.230,2.106,6,SEM,replicates,Fig 6 legend. Values are from 6 replicates,,222,2/28/2022,
237,263,100.000,0.000,6,64.160,1.315,6,SEM,replicates,Fig 6 legend. Values are from 6 replicates,,223,2/28/2022,
238,263,100.000,0.000,6,25.860,2.898,6,SEM,replicates,Fig 6 legend. Values are from 6 replicates,,224,2/28/2022,
239,266,102.000,9.804,,46.080,4.412,,SD,,The number of independent experiments or replicates is not informed in this paper.,,225,2/28/2022,
240,267,99.550,7.778,3,75.440,4.667,3,Unclear,independent experiments,"Fig 2 legend. 3 independent experiments, and for each experiment, six wells were used for every treatment.",,226,2/28/2022,
241,268,99.640,2.440,3,105.600,1.877,3,SEM,independent experiments,3 independent experiments. The number of replicates in each experiment is not informed in this paper.,,227,2/28/2022,
242,268,99.640,2.440,3,99.010,3.755,3,SEM,independent experiments,3 independent experiments. The number of replicates in each experiment is not informed in this paper.,,228,2/28/2022,
243,268,99.640,2.440,3,68.010,6.195,3,SEM,independent experiments,3 independent experiments. The number of replicates in each experiment is not informed in this paper.,,229,2/28/2022,
244,268,99.640,2.440,3,45.640,3.192,3,SEM,independent experiments,3 independent experiments. The number of replicates in each experiment is not informed in this paper.,,230,2/28/2022,
245,272,102.100,7.034,3,47.890,6.735,3,SEM,independent experiments,3 independent experiments. The number of replicates in each experiment is not informed in this paper.,,229,2/28/2022,
246,273,100.100,2.488,3,59.600,1.326,3,SEM,independent experiments,3 independent experiments. The number of replicates in each experiment is not informed in this paper.,,229,2/28/2022,
247,274,99.020,1.420,3,55.860,5.072,3,SEM,independent experiments,3 independent experiments. The number of replicates in each experiment is not informed in this paper.,,229,2/28/2022,
248,275,99.600,0.000,3,94.550,12.850,3,SD,biological replicates,,,231,3/1/2022,
249,275,99.600,0.000,3,90.560,10.490,3,SD,biological replicates,,,232,3/1/2022,
250,275,99.600,0.000,3,66.370,8.917,3,SD,biological replicates,,,233,3/1/2022,
251,278,99.170,0.000,3,66.630,7.826,3,SD,biological replicates,,,233,3/1/2022,
252,279,0.814,0.028,3,0.604,0.022,3,SD,determinations repeated on different occasions,"at least four determinations from each group, repeated at least three times on different occasions.",,234,3/1/2022,
253,279,0.814,0.028,3,0.516,0.025,3,SD,determinations repeated on different occasions,"at least four determinations from each group, repeated at least three times on different occasions.",,235,3/1/2022,
254,279,0.814,0.028,3,0.309,0.020,3,SD,determinations repeated on different occasions,"at least four determinations from each group, repeated at least three times on different occasions.",,236,3/1/2022,
255,279,0.814,0.028,3,0.223,0.029,3,SD,determinations repeated on different occasions,"at least four determinations from each group, repeated at least three times on different occasions.",,237,3/1/2022,
256,279,0.814,0.028,3,0.117,0.033,3,SD,determinations repeated on different occasions,"at least four determinations from each group, repeated at least three times on different occasions.",,238,3/1/2022,
257,279,0.814,0.028,3,0.078,0.032,3,SD,determinations repeated on different occasions,"at least four determinations from each group, repeated at least three times on different occasions.",,239,3/1/2022,
258,285,100.200,2.249,3,95.260,3.066,3,SEM,independent experiments,The data are representative of those obtained in at least three independent experiments.,,240,3/6/2022,
259,285,100.200,2.249,3,81.360,2.658,3,SEM,independent experiments,The data are representative of those obtained in at least three independent experiments.,,241,3/6/2022,
260,285,100.200,2.249,3,80.950,2.862,3,SEM,independent experiments,The data are representative of those obtained in at least three independent experiments.,,242,3/6/2022,
261,285,100.200,2.249,3,78.710,3.884,3,SEM,independent experiments,The data are representative of those obtained in at least three independent experiments.,,243,3/6/2022,
262,285,100.100,2.244,3,103.300,3.879,3,SEM,independent experiments,The data are representative of those obtained in at least three independent experiments.,,240,3/6/2022,
263,285,100.100,2.244,3,99.770,15.510,3,SEM,independent experiments,The data are representative of those obtained in at least three independent experiments.,,241,3/6/2022,
264,285,100.100,2.244,3,82.950,11.630,3,SEM,independent experiments,The data are representative of those obtained in at least three independent experiments.,,242,3/6/2022,
265,285,100.100,2.244,3,85.120,6.534,3,SEM,independent experiments,The data are representative of those obtained in at least three independent experiments.,,243,3/6/2022,
266,293,100.000,3.927,3,94.170,6.676,3,SEM,independent experiments,The data are representative of those obtained in at least three independent experiments.,,244,3/6/2022,
267,293,100.000,3.927,3,78.320,7.068,3,SEM,independent experiments,The data are representative of those obtained in at least three independent experiments.,,245,3/6/2022,
268,293,100.000,3.927,3,93.690,2.552,3,SEM,independent experiments,The data are representative of those obtained in at least three independent experiments.,,246,3/6/2022,
269,293,100.000,3.927,3,73.120,14.530,3,SEM,independent experiments,The data are representative of those obtained in at least three independent experiments.,,247,3/6/2022,
270,293,100.000,3.927,3,85.160,0.785,3,SEM,independent experiments,The data are representative of those obtained in at least three independent experiments.,,248,3/6/2022,
271,293,100.000,3.927,3,75.590,0.983,3,SEM,independent experiments,The data are representative of those obtained in at least three independent experiments.,,246,3/6/2022,
272,299,99.990,2.444,3,71.950,2.445,3,SEM,replicates ,All analyses were performed in at least triplicate ,,249,3/6/2022,
273,299,99.990,2.444,3,64.220,2.632,3,SEM,replicates ,All analyses were performed in at least triplicate ,,250,3/6/2022,
274,299,99.990,2.444,3,51.370,2.443,3,SEM,replicates ,All analyses were performed in at least triplicate ,,251,3/6/2022,
275,299,99.990,2.444,3,43.600,2.444,3,SEM,replicates ,All analyses were performed in at least triplicate ,,252,3/6/2022,
276,303,100.000,0.000,3,27.500,8.251,3,SD,triplicate,,,253,3/6/2022,
277,303,100.000,0.000,3,45.380,3.851,3,SD,triplicate,,,254,3/6/2022,
278,305,100.300,6.269,3,61.120,7.836,3,SD,triplicate,,,255,3/7/2022,
279,305,100.300,6.269,3,44.140,9.403,3,SD,triplicate,,,256,3/7/2022,
280,305,100.300,6.269,3,31.340,10.450,3,SD,triplicate,,,257,3/7/2022,
281,305,100.300,6.269,3,27.160,6.530,3,SD,triplicate,,,258,3/7/2022,
282,305,100.300,6.269,3,21.420,6.269,3,SD,triplicate,,,259,3/7/2022,
283,305,100.600,5.224,3,85.410,8.358,3,SD,triplicate,,,260,3/7/2022,
284,305,100.600,5.224,3,62.690,9.664,3,SD,triplicate,,,261,3/7/2022,
285,305,100.600,5.224,3,42.840,10.710,3,SD,triplicate,,,262,3/7/2022,
286,305,100.600,5.224,3,37.090,7.052,3,SD,triplicate,,,263,3/7/2022,
287,305,100.600,5.224,3,36.310,7.052,3,SD,triplicate,,,264,3/7/2022,
288,315,0.844,0.053,,0.469,0.059,,Unclear,,"The number of replicates is not clear in this paper, nor does the statistical analysis.",,265,3/14/2022,
289,316,0.851,0.053,,0.339,0.086,,Unclear,,"The number of replicates is not clear in this paper, nor does the statistical analysis.",,265,3/14/2022,
290,317,100.500,5.744,4,114.100,11.490,4,SEM,different experiments,,,266,3/14/2022,
291,317,100.500,5.744,4,112.000,4.923,4,SEM,different experiments,,,267,3/14/2022,
292,317,100.500,5.744,4,129.600,13.130,4,SEM,different experiments,,,268,3/14/2022,
293,317,100.500,5.744,4,32.410,3.282,4,SEM,different experiments,,,269,3/14/2022,
294,318,99.800,2.049,24,67.610,1.463,24,SEM,independent experiments,,,270,3/14/2022,
295,318,99.800,2.049,24,69.950,1.756,24,SEM,independent experiments,,,350,3/14/2022,
296,319,100.100,2.049,24,67.910,1.171,24,SEM,independent experiments,,,270,3/14/2022,
297,320,100.100,2.044,24,65.400,1.752,24,SEM,independent experiments,,,350,3/14/2022,
298,321,100.100,6.345,3,84.410,4.690,3,SEM,independent experiments,,,271,4/27/2022,
299,322,99.800,2.934,3,89.570,1.175,3,SD,independent experiments,,,272,4/27/2022,
300,322,99.800,2.934,3,82.960,9.037,3,SD,independent experiments,,,273,5/6/2022,
301,323,100.200,4.199,,100.200,5.949,,,,,The number of experiments or the type of error in bar plot are not described in this paper.,274,5/23/2022,
302,323,100.200,4.199,,100.300,5.598,,,,,The number of experiments or the type of error in bar plot are not described in this paper.,275,5/23/2022,
303,323,100.200,4.199,,100.400,2.800,,,,,The number of experiments or the type of error in bar plot are not described in this paper.,275,5/23/2022,
304,323,100.200,9.446,,85.190,13.640,,,,,The number of experiments or the type of error in bar plot are not described in this paper.,276,5/23/2022,
