"";"Screening.ID";"rayyan.key";"doi";"Status";"Motivo.para.exclusão";"Observações.gerais.do.artigo";"Quem";"Outcomes";"X.U.FEFF.Outcomes.ID";"Método";"Figura";"Grupos";"Observações.gerais.da.figura.ou.desfecho"
"1";12;"rayyan-115935608";"10.1016/j.bbamem.2007.01.009";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Adriano Sebollela";"";NA;NA;NA;NA;NA
"2";13;"rayyan-115937194";"10.1016/s0169-328x(98)00236-8";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Adriano Sebollela";"";NA;NA;NA;NA;NA
"3";14;"rayyan-115929010";"10.2174/0929866043407156";"Excluído";"3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida";"";"Adriano Sebollela";"";NA;NA;NA;NA;NA
"4";15;"rayyan-115933102";"10.1016/j.neuropharm.2015.01.004.";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Adriano Sebollela";"";NA;NA;NA;NA;NA
"5";16;"rayyan-115921831";"10.1021/acsami.0c13223";"Excluído";"3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida";"usa um peptideo menor (FF) baseado na sequencia do Abeta";"Adriano Sebollela";"";NA;NA;NA;NA;NA
"6";17;"rayyan-115931468";"10.1002/jcb.27576";"Excluído";"3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida";"";"Adriano Sebollela";"";NA;NA;NA;NA;NA
"7";18;"rayyan-115924427";"10.1007/s12035-015-9644-x";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Giulia Scarcella Cancelliero";"";NA;NA;NA;NA;NA
"8";19;"rayyan-115933422";"10.3233/JAD-131685";"Incluído";"";"";"Giulia Scarcella Cancelliero";"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31";16;"1.1 - Ensaio de redução de MTT e análogos";"2a";"CT vs. 0.1 Aß (µM)";""
"9";19;"rayyan-115933422";"10.3233/JAD-131685";"Incluído";"";"";"Giulia Scarcella Cancelliero";"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31";17;"1.1 - Ensaio de redução de MTT e análogos";"2a";"CT vs. 0.5 Aß (µM)";""
"10";19;"rayyan-115933422";"10.3233/JAD-131685";"Incluído";"";"";"Giulia Scarcella Cancelliero";"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31";18;"1.1 - Ensaio de redução de MTT e análogos";"2a";"CT vs. 1 Aß (µM)";""
"11";19;"rayyan-115933422";"10.3233/JAD-131685";"Incluído";"";"";"Giulia Scarcella Cancelliero";"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31";19;"2.2 - Marcadores diretos de apoptose";"2c";"CT vs. 0.1 Aß (µM)";"gráfico caspase"
"12";19;"rayyan-115933422";"10.3233/JAD-131685";"Incluído";"";"";"Giulia Scarcella Cancelliero";"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31";20;"2.2 - Marcadores diretos de apoptose";"2c";"CT vs. 0.5 Aß (µM)";"gráfico caspase"
"13";19;"rayyan-115933422";"10.3233/JAD-131685";"Incluído";"";"";"Giulia Scarcella Cancelliero";"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31";21;"2.2 - Marcadores diretos de apoptose";"2c";"CT vs. 1 Aß (µM)";"gráfico caspase"
"14";19;"rayyan-115933422";"10.3233/JAD-131685";"Incluído";"";"";"Giulia Scarcella Cancelliero";"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31";22;"2.3 - Marcadores de morte celular (outros)";"2b";"CT vs. 0.1 Aß (µM)";"gráfico Bcl-2"
"15";19;"rayyan-115933422";"10.3233/JAD-131685";"Incluído";"";"";"Giulia Scarcella Cancelliero";"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31";23;"2.3 - Marcadores de morte celular (outros)";"2b";"CT vs. 0.5 Aß (µM)";"gráfico Bcl-2"
"16";19;"rayyan-115933422";"10.3233/JAD-131685";"Incluído";"";"";"Giulia Scarcella Cancelliero";"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31";24;"2.3 - Marcadores de morte celular (outros)";"2b";"CT vs. 1 Aß (µM)";"gráfico Bcl-2"
"17";19;"rayyan-115933422";"10.3233/JAD-131685";"Incluído";"";"";"Giulia Scarcella Cancelliero";"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31";25;"2.3 - Marcadores de morte celular (outros)";"2b";"CT vs. 0.1 Aß (µM)";"gráfico Bax"
"18";19;"rayyan-115933422";"10.3233/JAD-131685";"Incluído";"";"";"Giulia Scarcella Cancelliero";"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31";26;"2.3 - Marcadores de morte celular (outros)";"2b";"CT vs. 0.5 Aß (µM)";"gráfico Bax"
"19";19;"rayyan-115933422";"10.3233/JAD-131685";"Incluído";"";"";"Giulia Scarcella Cancelliero";"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31";27;"2.3 - Marcadores de morte celular (outros)";"2b";"CT vs. 1 Aß (µM)";"gráfico Bax"
"20";19;"rayyan-115933422";"10.3233/JAD-131685";"Incluído";"";"";"Giulia Scarcella Cancelliero";"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31";28;"1.1 - Ensaio de redução de MTT e análogos";"3a";"CT vs. Aß";""
"21";19;"rayyan-115933422";"10.3233/JAD-131685";"Incluído";"";"";"Giulia Scarcella Cancelliero";"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31";29;"2.3 - Marcadores de morte celular (outros)";"3b";"CT vs. Aß";"gráfico Bax"
"22";19;"rayyan-115933422";"10.3233/JAD-131685";"Incluído";"";"";"Giulia Scarcella Cancelliero";"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31";30;"2.3 - Marcadores de morte celular (outros)";"3b";"CT vs. Aß";"gráfico Bcl-2"
"23";19;"rayyan-115933422";"10.3233/JAD-131685";"Incluído";"";"";"Giulia Scarcella Cancelliero";"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31";31;"2.2 - Marcadores diretos de apoptose";"3c";"CT vs. Aß";"gráfico caspase"
"24";20;"rayyan-115930914";"10.1155/2020/9369815";"Incluído";"";"";"Giulia Scarcella Cancelliero";"32,35,36,37,38,39,40,41,33";32;"2.3 - Marcadores de morte celular (outros)";"1e";"Without lyses vs.  Ø/Aß";"Mean comet tail length (µm)"
"25";20;"rayyan-115930914";"10.1155/2020/9369815";"Incluído";"";"";"Giulia Scarcella Cancelliero";"32,35,36,37,38,39,40,41,33";35;"2.3 - Marcadores de morte celular (outros)";"2b";"Without lyses vs.  Ø/Aß";"Mean comet tail length (µm)"
"26";20;"rayyan-115930914";"10.1155/2020/9369815";"Incluído";"";"";"Giulia Scarcella Cancelliero";"32,35,36,37,38,39,40,41,33";36;"2.3 - Marcadores de morte celular (outros)";"2c";"Without lyses vs.  Ø/Aß";"Mean comet tail length (µm)"
"27";20;"rayyan-115930914";"10.1155/2020/9369815";"Incluído";"";"";"Giulia Scarcella Cancelliero";"32,35,36,37,38,39,40,41,33";37;"2.3 - Marcadores de morte celular (outros)";"2d";"Without lyses vs.  Ø/Aß";"Mean comet tail length (µm)"
"28";20;"rayyan-115930914";"10.1155/2020/9369815";"Incluído";"";"";"Giulia Scarcella Cancelliero";"32,35,36,37,38,39,40,41,33";38;"2.3 - Marcadores de morte celular (outros)";"2e";"Without lyses vs.  Ø/Aß";"Mean comet tail length (µm)"
"29";20;"rayyan-115930914";"10.1155/2020/9369815";"Incluído";"";"";"Giulia Scarcella Cancelliero";"32,35,36,37,38,39,40,41,33";39;"2.3 - Marcadores de morte celular (outros)";"4b";"Without lyses vs.  Ø/Aß";"Mean comet tail length (µm)"
"30";20;"rayyan-115930914";"10.1155/2020/9369815";"Incluído";"";"";"Giulia Scarcella Cancelliero";"32,35,36,37,38,39,40,41,33";40;"2.3 - Marcadores de morte celular (outros)";"4c";"Without lyses vs.  Ø/Aß";"Mean comet tail length (µm)"
"31";20;"rayyan-115930914";"10.1155/2020/9369815";"Incluído";"";"";"Giulia Scarcella Cancelliero";"32,35,36,37,38,39,40,41,33";41;"2.3 - Marcadores de morte celular (outros)";"4d";"Without lyses vs.  Ø/Aß";"Mean comet tail length (µm)"
"32";20;"rayyan-115930914";"10.1155/2020/9369815";"Incluído";"";"";"Giulia Scarcella Cancelliero";"32,35,36,37,38,39,40,41,33";33;"2.3 - Marcadores de morte celular (outros)";"4e";"Without lyses vs.  Ø/Aß";"Mean comet tail length (µm)"
"33";21;"rayyan-115936475";"10.1254/jphs.92.153";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Giulia Scarcella Cancelliero";"";NA;NA;NA;NA;NA
"34";22;"rayyan-115937481";"10.1016/0304-3940(96)12761-0";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Giulia Scarcella Cancelliero";"";NA;NA;NA;NA;NA
"35";23;"rayyan-115925453";"10.1021/la4020459";"Incluído";"";"";"Giulia Scarcella Cancelliero";"42,43,44,45,46,47";42;"1.1 - Ensaio de redução de MTT e análogos";"1a";"0 Aß 0.3 DMSO vs. 1 Aß 0.3 DMSO";""
"36";23;"rayyan-115925453";"10.1021/la4020459";"Incluído";"";"";"Giulia Scarcella Cancelliero";"42,43,44,45,46,47";43;"1.1 - Ensaio de redução de MTT e análogos";"1a";"0 Aß 0.3 DMSO vs. 5 Aß 0.3 DMSO";""
"37";23;"rayyan-115925453";"10.1021/la4020459";"Incluído";"";"";"Giulia Scarcella Cancelliero";"42,43,44,45,46,47";44;"1.1 - Ensaio de redução de MTT e análogos";"1a";"0 Aß 0.3 DMSO vs. 10 Aß 0.3 DMSO";""
"38";23;"rayyan-115925453";"10.1021/la4020459";"Incluído";"";"";"Giulia Scarcella Cancelliero";"42,43,44,45,46,47";45;"1.1 - Ensaio de redução de MTT e análogos";"1a";"0 Aß 0.3 DMSO vs. 20 Aß 0.3 DMSO";""
"39";23;"rayyan-115925453";"10.1021/la4020459";"Incluído";"";"";"Giulia Scarcella Cancelliero";"42,43,44,45,46,47";46;"1.1 - Ensaio de redução de MTT e análogos";"1a";"0 Aß 0.3 DMSO vs. 40 Aß 0.3 DMSO";""
"40";23;"rayyan-115925453";"10.1021/la4020459";"Incluído";"";"";"Giulia Scarcella Cancelliero";"42,43,44,45,46,47";47;"1.1 - Ensaio de redução de MTT e análogos";"1b";"0 Aß 0 curcumin 0.3 DMSO vs. 20 Aß 0 curcumin 0.3 DMSO";""
"41";24;"rayyan-115921976";"10.2174/1567205017666200624201356";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Giulia Scarcella Cancelliero";"";NA;NA;NA;NA;NA
"42";25;"rayyan-115926984";"10.1080/10715760903214454";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Giulia Scarcella Cancelliero";"";NA;NA;NA;NA;NA
"43";26;"rayyan-115923728";"10.1089/ars.2016.6978";"Excluído";"6 - Não inclui um controle adequado";"utiliza células modificadas geneticamente";"Giulia Scarcella Cancelliero";"";NA;NA;NA;NA;NA
"44";NA;NA;NA;NA;NA;NA;NA;NA;48;"";"";"";""
"45";NA;NA;NA;NA;NA;NA;NA;NA;34;"";"";"";""
"46";145;"";"";"";"";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"47";23;"rayyan-115935445";"10.1007/s00109-007-0265-3.";"A discutir";"";"Compara células em diferentes fases do ciclo celular sem um ponto de não diferenciado. 
Parece que fica sem controle para comparação";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"48";10;"rayyan-115922669";"10.1021/acschemneuro.9b00106";"Excluído";"3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"49";11;"rayyan-115921737";"10.1111/acel.13264";"Excluído";"3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"50";12;"rayyan-115934844";"10.1021/bi902134p";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"51";13;"rayyan-115927544";"https://doi.org/10.1529/biophysj.107.119909";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"52";14;"rayyan-115936191";"https://doi.org/10.1124/jpet.104.068189";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"53";15;"rayyan-115921783";"https://pubmed.ncbi.nlm.nih.gov/33010207/";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"54";18;"rayyan-115934549";"10.1111/j.1750-3639.2010.00437.x";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"55";21;"rayyan-115936452";"10.1046/j.1471-4159.2003.01831.x";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"56";22;"rayyan-115936125";"10.1038/sj.cdd.4401528.";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"57";24;"rayyan-115934481";" 10.1007/s00018-010-0561-x.";"Excluído";"6 - Não inclui um controle adequado";"Usa somente células transfectadas";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"58";26;"rayyan-115936350";"doi:10.1016/j.mcn.2003.09.008";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"Usa fragmento 25-35";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"59";27;"rayyan-115927290";"10.1016/j.febslet.2008.11.007";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"60";28;"rayyan-115930089";"10.1038/374647a0";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"61";29;"rayyan-115925343";"10.1007/s10571-013-0006-9";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"62";30;"rayyan-115923413";"10.18632/oncotarget.22777";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"63";32;"rayyan-115922307";"10.1039/c9cp04775a";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"64";33;"rayyan-115924901";"10.1186/s13195-014-0077-y";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"65";36;"rayyan-115929122";"10.3109/13506120108993819";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"66";37;"rayyan-115925236";"10.1016/j.ejmech.2014.02.046";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"67";38;"rayyan-115923379";"10.18632/oncotarget.23119";"Excluído";"8 - Artigo retratado";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"68";40;"rayyan-115924098";" 10.1016/j.jgr.2015.09.004";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"69";41;"rayyan-115924925";"10.1021/jf504544x";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"70";42;"rayyan-115933361";" 10.2174/15672050113106660176";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"71";43;"rayyan-115922419";"10.1177/1533317519883496";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"72";44;"rayyan-115924943";"10.1371/journal.pone.0111492";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"73";47;"rayyan-115928999";" 10.3233/JAD-2001-3602";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"74";49;"rayyan-115935652";"10.1038/sj.cdd.4402033";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
