Article_ID,rayyan-key,doi,first_author,title,journal,year,tests_reversal,sample_size_calculation,conflict_interest,protocol_registration,OBS,Created By,Date,Results
80,rayyan-115933444,10.1074/jbc.M114.564690,Christian Barucker,Nuclear translocation uncovers the amyloid peptide aÎ²42 as a regulator of gene transcription,THE JOURNAL OF BIOLOGICAL CHEMISTRY,2014,No,No,Not informed,No,,Glaucia Maria Almeida,2022-02-10,"242,246"
81,rayyan-115924726,10.1080/09168451.2015.1027655,Akihisa Iida,Protective effects of Nitraria retusa extract and its constituent isorhamnetin against amyloid Î²-induced cytotoxicity and amyloid Î² aggregation.,"Bioscience, biotechnology, and biochemistry",2015,Yes,No,Not informed,No,,Glaucia Maria Almeida,2022-03-03,250
82,rayyan-115923896,10.2174/1567205014666170117104053,Manpreet Bahniwal,High Glucose Enhances Neurotoxicity and Inflammatory Cytokine Secretion by Stimulated Human Astrocytes,Current Alzheimer Research,2017,No,No,No,No,,Glaucia Maria Almeida,2022-03-03,251
83,rayyan-115928677,10.1016/j.brainresbull.2003.09.011,Zsolt Datki,Method for measuring neurotoxicity of aggregating polypeptides with the MTT assay on differentiated neuroblastoma cells.,Brain research bulletin,2003,No,No,Not informed,No,,Glaucia Maria Almeida,2022-03-14,"252,253"
84,rayyan-115927210,10.1016/j.jns.2009.01.024,Balpreet Matharu,Galantamine inhibits beta-amyloid aggregation and cytotoxicity.,Journal of the neurological sciences,2009,Yes,No,No,No,,Glaucia Maria Almeida,2022-03-14,"254,255"
85,rayyan-115923328,10.1038/s41598-018-21933-6,Zhiqiang Jiang,Nanogels of dual inhibitor-modified hyaluronic acid function as a potent inhibitor of amyloid Î²-protein aggregation and cytotoxicity.,Scientific reports,2018,Yes,No,No,No,,Glaucia Maria Almeida,2022-03-16,256
86,rayyan-115926399,10.1007/s00775-011-0783-x,Qingui Bao,The mechanism for heme to prevent AÎ²(1-40) aggregation and its cytotoxicity.,Journal of biological inorganic chemistry,2011,Yes,No,Not informed,No,,Glaucia Maria Almeida,2022-03-16,257
87,rayyan-115922673,10.1021/acs.langmuir.9b00080,Swathi Sudhakar,Rapid Dissolution of Amyloid Î² Fibrils by Silver Nanoplates.,Langmuir : the ACS journal of surfaces and colloids,2019,Yes,No,No,No,,Glaucia Maria Almeida,2022-03-21,"258,259"
88,rayyan-115922369,10.1016/j.ejmech.2019.111880,Aikaterini Pagoni,"Novel anti-Alzheimer phenol-lipoyl hybrids: Synthesis, physico-chemical characterization, and biological evaluation.",European journal of medicinal chemistry,2020,Yes,No,No,No,,Glaucia Maria Almeida,2022-03-24,"260,261"
89,rayyan-115936964, 10.1006/bbrc.2000.3051 10.1006/bbrc.2000.3051,Omar M. A. El-Agnaf,Oligomerization and toxicity of Î²-amyloid-42 implicated in Alzheimer's disease,Biochemical and Biophysical Research Communications,2000,No,No,Not informed,No,,Glaucia Maria Almeida,2022-03-27,262
