Article_ID,rayyan-key,doi,first_author,title,journal,year,tests_reversal,sample_size_calculation,conflict_interest,protocol_registration,OBS,Created By,Date,Results
80,rayyan-115922296,10.1016/j.bioorg.2019.103506,Avanish Tripathi,"Design, synthesis, and biological evaluation of ferulic acid based 1,3,4-oxadiazole hybrids as multifunctional therapeutics for the treatment of Alzheimer's disease.",Bioorganic chemistry,2019,Yes,No,No,No,,Samantha Martins,2022-03-29,243
81,rayyan-115924594,10.1039/c5ob01463h,Kyoungdo Kim,Dicyanovinyl-substituted J147 analogue inhibits oligomerization and fibrillation of Î²-amyloid peptides and protects neuronal cells from Î²-amyloid-induced cytotoxicity.,Organic & biomolecular chemistry,2015,Yes,No,Not informed,No,,Samantha Martins,2022-04-21,"244,245"
82,rayyan-115923216,10.1007/s40263-018-0515-7,Patricia del Cerro,Activation of the Cannabinoid Type 2 Receptor by a Novel Indazole Derivative Normalizes the Survival Pattern of Lymphoblasts from Patients with Late-Onset Alzheimer's Disease.,CNS Drugs,2018,Yes,No,No,"Yes, no link","Ethics Approval All study protocols were approved by the Hospital
Doce de Octubre de Madrid and the Spanish Council of Higher
Research Institutional Advisory Board, and were in accordance with
national and European Union guidelines",Samantha Martins,2022-04-22,246
83,rayyan-115921777,10.1007/s00213-020-05668-9 ,Shunyu Lu,"Protective effect of 2-dodecyl-6-methoxycyclohexa-2, 5-diene-1, 4-dione, isolated from Averrhoa carambola L., against AÎ²1-42-induced apoptosis in SH-SY5Y cells by reversing Bcl-2/Bax ratio.",Psychopharmacology,2020,Yes,No,No,No,,Samantha Martins,2022-04-23,"247,248"
84,rayyan-115936872,10.1097/00001756-200102120-00006,Angel Cedazo-MõÂnguez,Beta-VLDL protects against AÎ²(1-42) and apoE toxicity in human SH-SY5Y neuroblastoma cells,NEUROPHARMACOLOGY AND NEUROTOXICOLOGY,2001,Yes,No,Not informed,No,,Samantha Martins,2022-04-24,"249,250,251,252,253"
85,rayyan-115932016,10.22159/ajpcr.2018.v11s4.31730,FELIX JOE V,Anti-alzheimer activity of tacrine loaded methoxypoly (Ethylene glycol) poly (caprolactone) nanoparticles,Asian Journal of Pharmaceutical and Clinical Research,2018,Yes,No,Not informed,"Yes, no link",The protocol for the animal studies mentioned below was submitted to the animal ethical committee and duly approved. ,Samantha Martins,2022-04-24,"254,255"
86,rayyan-115922013,10.1007/s10822-020-00318-w,Manish Kumar Tripathi,Computational exploration and experimental validation to identify a dual inhibitor of cholinesterase and amyloid-beta for the treatment of Alzheimer's disease.,Journal of Computer-Aided Molecular Design,2020,Yes,No,Not informed,No,,Samantha Martins,2022-04-24,256
87,rayyan-115922691,10.1073/pnas.1820585116,Dylan Shea,α-Sheet secondary structure in amyloidβ-peptidedrives aggregation and toxicity in Alzheimer’s disease, Proceedings of the National Academy of Sciences,2019,Yes,No,No,No,,Samantha Martins,2022-04-24,257
88,rayyan-115933128,10.1016/j.neures.2014.12.003,Pengfei Meng,Carnosic acid attenuates apoptosis induced by amyloid- 1–42 or 1–43 in SH-SY5Y human neuroblastoma cells,Neuroscience Research,2014,Yes,No,No,No,,Samantha Martins,2022-04-24,259
89,rayyan-115932216,10.1111/cbdd.12912,Sourav Kumar,Protective effects of Î²-sheet breaker Î±/Î²-hybrid peptide against amyloid Î²-induced neuronal apoptosis in vitro,Chemical Biology & Drug Design,2016,Yes,No,No,No,,Samantha Martins,2022-04-27,260
90,rayyan-115921864,10.1038/s42003-020-01140-8,Ryan Limbocker,Trodusquemine displaces protein misfolded oligomers from cell membranes and abrogates their cytotoxicity through a generic mechanism,Communications biology,2020,,,,,"Motivo da exclusão: experomento envolve incubação com ab estabilizado por zinco,",Samantha Martins,2022-04-27,
91,rayyan-115921852,10.1021/acschemneuro.0c00369,Lakshmi Pryia Datta,Polyampholyte-Based Synthetic Chaperone Modulate Amyloid Aggregation and Lithium Delivery,ACS chemical neuroscience,2020,Yes,No,Not informed,No,,Samantha Martins,2022-05-02,"263,264,265"
92,rayyan-115922818,10.1021/acschemneuro.8b00699,Hongtao Du,Novel Deoxyvasicinone−Donepezil Hybrids as Potential Multitarget Drug Candidates for Alzheimer’s Disease,ACS chemical neuroscience,2019,Yes,No,Not informed,No,,Samantha Martins,2022-05-04,266
93,rayyan-115926424,10.1007/s10616-011-9341-1,Yusaku Miyamae,"3,4,5-tri-O-caffeoylquinic acid inhibits amyloid b-mediated cellular toxicity on SH-SY5Y cells through the upregulation of PGAM1 and G3PDH",Cytotechnology,2011,Yes,No,Not informed,No,,Samantha Martins,2022-05-04,267
94,rayyan-115922503,10.3233/JAD-190705,Jekaterina Krishtal,Toxicity of Amyloid- Peptides Varies Depending on Differentiation Route of SH-SY5Y Cells,Journal of Alzheimer’s Disease,2019,No,No,Not informed,No,,Samantha Martins,2022-05-04,"268,269,270,271"
95,rayyan-115924534,10.1016/j.ejphar.2015.10.020,Naihao Lu,Inhibitory effect of human serum albumin on Cu-induced Aβ40 aggregation and toxicity,European Journal of Pharmacology,2015,Yes,No,No,No,,Samantha Martins,2022-05-05,272
96,rayyan-115932825, 10.1155/2016/8591656,Lumei Liu,Yi-Zhi-Fang-Dai Formula Protects against A𝛽1−42 Oligomer Induced Cell Damage via Increasing Hsp70 and Grp78 Expression in SH-SY5Y Cells,Evidence-Based Complementary and Alternative Medicine,2016,Yes,No,No,No,,Samantha Martins,2022-05-05,273
97,rayyan-115924519,10.1111/cns.12472,Sheng-Quan Hu,Dimeric bis (heptyl)-Cognitin Blocks Alzheimer’s b-Amyloid Neurotoxicity Via the Inhibition of Ab Fibrils Formation and Disaggregation of Preformed Fibrils,CNS neuroscience & therapeutics,2015,Yes,No,No,No,,Samantha Martins,2022-05-06,"274,275"
98,rayyan-115928074,10.1186/1742-2094-3-7,Clive Bate,Interferon-γ increases neuronal death in response to amyloid-β1-42,Journal of Neuroinflammation,2006,No,No,No,No,,Samantha Martins,2022-05-06,276
99,rayyan-115926052,10.1016/j.neuro.2012.03.003,Shao-weiWang,"Rutin inhibits b-amyloid aggregation and cytotoxicity, attenuates oxidative stress, and decreases the production of nitric oxide and proinflammatory cytokines",NeuroToxicology,2012,Yes,No,No,No,,Samantha Martins,2022-05-12,277
100,rayyan-115926981,10.1016/j.bbrc.2009.10.130,Ying Feng,Ellagic acid promotes Ab42 fibrillization and inhibits Ab42-induced neurotoxicity,Biochemical and Biophysical Research Communications,2009,Yes,No,Not informed,No,,Samantha Martins,2022-05-12,"278,279"
101,rayyan-115932693,10.1021/acs.jmedchem.5b01629,Julia Kaffy,Designed glycopeptidomimetics disrupt proteinprotein interactions mediating amyloid β-peptide  aggregation and restore neuroblastoma cell viability,Journal of Medicinal Chemistry,2016,Yes,No,Not informed,No,,Samantha Martins,2022-05-12,280
102,rayyan-115927099,10.1016/j.bbrc.2009.06.077,Min S. Wang,Cyclodextrins promote protein aggregation posing risks for therapeutic applications,Biochemical and Biophysical Research Communications,2009,Yes,No,Not informed,No,,Samantha Martins,2022-05-13,281
103,rayyan-115925791,10.1371/journal.pone.0048540,Shi-gao Yang,A Peptide Binding to the b-Site of APP Improves Spatial Memory and Attenuates Ab Burden in Alzheimer’s Disease Transgenic Mice,PLOS ONE,2012,Yes,No,Not informed,No,,Samantha Martins,2022-05-14,282
104,rayyan-115924514,10.1080/15287394.2015.1085942,Ming Zhang,The Effect of Schizandrol A-Induced DNA Methylation on SH-SY5YAB 1-40 Altered Neuronal Cell Line: A Potential Use in Alzheimer’s Disease,"Journal of Toxicology and Environmental Health, Part A",2015,Yes,No,Not informed,No,,Samantha Martins,2022-05-14,283
105,rayyan-115925587,10.1039/c3cc40779a,Xiaoping Lv,Exploring the Differences between Mouse mAβ1-42 and Human hAβ1-42 for Alzheimer Disease Related Property and Neuronal Cytotoxicity,Chemical Communications,2013,No,No,Not informed,No,,Samantha Martins,2022-05-15,284
106,rayyan-115922805,10.1186/s12974-019-1429-0,Shengchun Xu,Mesencephalic astrocyte-derived neurotrophic factor (MANF) protects against Aβ toxicity via attenuating Aβ-induced endoplasmic reticulum stress,Journal of Neuroinflammation,2019,Yes,No,No,No,,Samantha Martins,2022-05-18,"285,286,287,289,290"
107,rayyan-115927099,10.1016/j.bbrc.2009.06.077,Min S. Wang,Cyclodextrins promote protein aggregation posing risks for therapeutic applications,Biochemical and Biophysical Research Communications,2009,Yes,No,Not informed,No,"
",Samantha Martins,2022-05-20,291
108,rayyan-115936872,10.1097/00001756-200102120-00006,Angel Cedazo-MõÂnguez,Beta-VLDL protects against Aâ(1-42) and apoE toxicity in human SH-SY5Y neuroblastoma cells,NEUROPHARMACOLOGY AND NEUROTOXICOLOGY,2001,Yes,No,Not informed,No,,Samantha Martins,2022-05-20,292
109,rayyan-115929039,10.1021/bi0156254,Christopher W. Cairo,Affinity-Based Inhibition of â-Amyloid Toxicity,Biochemistry,2002,,,,,Motivo da exclusão: Não foi possível identificar o valor relativo a viabilidade da medida com abeta,Samantha Martins,2022-05-20,
110,rayyan-115922093,10.1080/00207454.2020.1754211,Mehmet Enes Arslan,In vitro neuroprotective effects of farnesene sesquiterpene on alzheimer’s disease model of differentiated neuroblastoma cell line,International Journal of Neuroscience,2020,Yes,No,No,No,,Samantha Martins,2022-05-20,"293,294,295,296"
111,rayyan-115921843,10.1155/2020/8908901,Anna Litwiniuk,The Effects of Alpha-Linolenic Acid on the Secretory Activity of Astrocytes and β Amyloid-Associated Neurodegeneration in Differentiated SH-SY5Y Cells: Alpha-Linolenic Acid Protects the SH-SY5Y cells against β Amyloid Toxicity,Oxidative Medicine and Cellular Longevity,2020,Yes,No,No,No,,Samantha Martins,2022-05-22,"297,298,299"
112,rayyan-115931957,10.21873/invivo.11229,HIROSHI SAKAGAMI,Protection of Differentiating Neuronal Cells from Amyloid β Peptide-induced Injury by Alkaline Extract of Leaves of Sasa senanensis Rehder,in vivo,2018,Yes,No,No,No,,Samantha Martins,2022-05-25,"300,342,343,344,345,346,347,348"
113,rayyan-115925015,10.1016/j.neuroscience.2014.08.013,W. N. YANG,MITOGEN-ACTIVATED PROTEIN KINASE SIGNALING PATHWAYS ARE INVOLVED IN REGULATING a7 NICOTINIC ACETYLCHOLINE RECEPTOR-MEDIATED AMYLOID-b UPTAKE IN SH-SY5Y CELLS,Neuroscience,2014,No,No,No,No,,Samantha Martins,2022-05-26,301
114,rayyan-115926227,10.1371/journal.pone.0025752 ,H. Edward Wong,"Xanthene Food Dye, as a Modulator of Alzheimer’s Disease Amyloid-beta Peptide Aggregation and the Associated Impaired Neuronal Cell Function",PloS one,2011,Yes,No,Not informed,No,,Samantha Martins,2022-05-26,"302,303"
115,rayyan-115931794,10.1016/j.foodchem.2018.01.075,Carlotta Ciaramelli,NMR-driven identification of anti-amyloidogenic compounds in green and roasted coffee extracts,Food Chemistry,2018,Yes,No,No,No,,Samantha Martins,2022-05-28,"304,305,306"
116,rayyan-115934253,doi:10.1042/BJ20110749,Violetta SOURA,Visualization of co-localization in Aβ42-administered neuroblastoma cells reveals lysosome damage and autophagosome accumulation related to cell death,Biochemical Journal,2012,No,No,Not informed,No,,Samantha Martins,2022-05-29,307
117,rayyan-115923890,10.1021/acsomega.6b00397,Baiping Ren,Identification of a New Function of Cardiovascular Disease Drug 3‑Morpholinosydnonimine Hydrochloride as an Amyloid‑β Aggregation Inhibitor,American Chemical Society Omega,2017,Yes,No,No,No,The authors declare no competing financial interest.,Samantha Martins,2022-05-29,308
118,rayyan-115921719,10.1016/j.ijbiomac.2020.11.015,Shuaishuai Xing,Synthesis and bio-evaluation of a novel selective butyrylcholinesterase inhibitor discovered through structure-based virtual screening,International Journal of Biological Macromolecules,2020,Yes,No,No,No,The authors declare no competing financial interest,Samantha Martins,2022-05-29,309
119,rayyan-115923962,10.1016/j.bmc.2016.11.032,Urban Košak,N-Propargylpiperidines with naphthalene-2-carboxamide or naphthalene-2-sulfonamide moieties: Potential multifunctional anti-Alzheimer’s agents,Bioorganic & medicinal chemistry,2016,Yes,No,Not informed,No,,Samantha Martins,2022-05-30,310
120,rayyan-115922018,10.12659/MSMBR.924203,Yujia Zhang,Anti-Alzheimer’s Disease Molecular Mechanism  of Acori Tatarinowii Rhizoma Based on Network  Pharmacology,Medical science monitor basic research,2020,No,No,No,No,,Samantha Martins,2022-05-30,311
121,rayyan-115924524,10.1002/cmdc.201500422,Elena Simoni,Nature-Inspired Multifunctional Ligands: Focusing on Amyloid-Based Molecular Mechanisms of Alzheimer’s Disease,ChemMedChem,2016,Yes,No,Not informed,No,,Samantha Martins,2022-05-30,"312,313"
122,rayyan-115926316,10.1371/journal.pone.0021565,Alberto Granzotto,Resveratrol Acts Not through Anti-Aggregative Pathways but Mainly via Its Scavenging Properties against Ab and Ab-Metal Complexes Toxicity,PloS one,2011,Yes,No,Not informed,No,,Samantha Martins,2022-05-30,314
123,rayyan-115926839,10.3233/JAD-2010-1314,Yazhou Li,GLP-1 Receptor Stimulation Reduces Amyloid-β Peptide Accumulation and Cytotoxicity in Cellular and Animal Models of Alzheimer’s Disease,Journal of Alzheimer's disease ,2010,,,,,"Artigo excluido uma vez que a comparação envolve ensaio com cultured primary rat cortical neurons. No ensaio que foi feito com células SH-SY5Y as mesmas não são desafiadas com o peptídeo beta amilóide e sim, com H2O2..",Samantha Martins,2022-05-30,
124,rayyan-115923408,10.1016/j.neuropharm.2018.01.003,Xiaoli Wu,"SLOH, a carbazole-based fluorophore, mitigates neuropathology and behavioral impairment in the triple-transgenic mouse model of Alzheimer's disease",Neuropharmacology,2018,Yes,No,No,No,,Samantha Martins,2022-05-30,315
125,rayyan-115922812,10.3390/molecules24030587,Rajeshwari Rajeshwari,New Multitarget Hybrids Bearing Tacrine and Phenylbenzothiazole Motifs as Potential Drug Candidates for Alzheimer’s Disease,Molecules ,2019,Yes,No,No,No,,Samantha Martins,2022-05-30,316
126,rayyan-115921669,10.1155/2020/9523758,Kamran Saeed,"Quinovic Acid Impedes Cholesterol Dyshomeostasis, Oxidative Stress, and Neurodegeneration in an Amyloid-β-Induced Mouse Model",Oxidative Medicine and Cellular Longevity,2020,Yes,No,No,No,,Samantha Martins,2022-05-30,317
127,rayyan-115921662,10.1016/j.exger.2020.111187,Qingling Liu,Neuroprotective effects of miR-331-3p through improved cell viability and  inflammatory marker expression: Correlation of serum miR-331-3p levels  with diagnosis and severity of Alzheimer’s disease,Experimental Gerontology ,2020,Yes,No,No,No,,Samantha Martins,2022-05-30,318
128,rayyan-115921828,10.1016/j.brainresbull.2020.08.024,Mithun Singh Rajput,Dimethyl fumarate exerts neuroprotection by modulating calcineurin/  NFAT1 and NFκB dependent BACE1 activity in Aβ1-42 treated  neuroblastoma SH-SY5Y cells,Brain Research Bulletin,2020,Yes,No,No,No,,Samantha Martins,2022-05-31,319
129,rayyan-115928029,10.1007/s10930-006-0009-1,Joseph J. Wakshlag,Effects of Tissue Transglutaminase on b-Amyloid1-42-Induced Apoptosis,The Protein Journal,2006,Yes,No,Not informed,No,,Samantha Martins,2022-05-31,320
130,rayyan-115923843,10.1021/acs.chemrestox.6b00447,Jie Zhao,Nitration of tyrosine residue Y10 of Aβ1-42 significantly inhibits its aggregation  and cytotoxicity,Chemical Research in Toxicology,2017,Yes,No,No,No,,Samantha Martins,2022-06-01,321
131,rayyan-115923711,10.1039/c7fo00267j,Young-Ji Shiao,Echinacoside ameliorates the memory impairment and cholinergic deficit induced by amyloid beta peptides via the inhibition of amyloid deposition and toxicology,Food & Function,2017,Yes,No,No,No,,Samantha Martins,2022-06-01,322
132,rayyan-115923341,10.1002/mnfr.201700890,Ke Du,Epigallocatechin Gallate Reduces Amyloid β-Induced Neurotoxicity via Inhibiting Endoplasmic Reticulum Stress-Mediated Apoptosis,Molecular nutrition & food research,2018,Yes,No,No,No,,Samantha Martins,2022-06-01,"323,324,325"
133,rayyan-115936341,10.1016/s0197-0186(03)00101-3,Fulvio Celsi,Overexpression of superoxide dismutase 1 protects against -amyloid peptide toxicity: effect of estrogen and copper chelators,Neurochemistry International,2004,Yes,No,No,No,,Samantha Martins,2022-06-02,326
134,rayyan-115922456,10.1016/j.ejmech.2019.111707,Avanish Tripathi,"Design and development of molecular hybrids of 2-pyridylpiperazine and 5-phenyl-1,3,4-oxadiazoles as potential multifunctional agents to treat Alzheimer's disease",European journal of medicinal chemistry,2019,Yes,No,Not informed,No,,Samantha Martins,2022-06-02,327
135,rayyan-115924977,10.1371/journal.pone.0109438,Haiqiang Wu,Effects of Secondary Metabolite Extract from Phomopsis occulta on b-Amyloid Aggregation,PloS one,2014,Yes,No,Not informed,No,,Samantha Martins,2022-06-02,"328,329"
136,rayyan-115931327,10.1016/j.bioorg.2019.03.058,Anupamjeet Kaur,Multi-target-directed triazole derivatives as promising agents for the treatment of Alzheimer’s disease,Bioorganic Chemistry,2019,Yes,No,Not informed,No,,Samantha Martins,2022-06-02,330
137,rayyan-115922373,10.1111/febs.15149,Debashree De,Destabilization of b-amyloid aggregates by thrombin derived peptide: plausible role of thrombin in neuroprotection,The FEBS journal,2020,Yes,No,No,No,,Samantha Martins,2022-06-02,331
138,rayyan-115927534,10.1074/jbc.M707983200,Hiroaki Taguchi,Autoantibody-catalyzed Hydrolysis of Amyloid  Peptide,THE JOURNAL OF BIOLOGICAL CHEMISTRY,2007,Yes,No,Not informed,No,,Samantha Martins,2022-06-03,332
139,rayyan-115923930,10.1021/acschemneuro.6b00388,Xiaoli Wu,"Neuroprotective Effect of SLM, a Novel Carbazole-Based Fluorophore, on SH-SY5Y Cell Model and 3xTg-AD Mouse Model of Alzheimer’s Disease",ACS Chemical Neuroscience,2016,Yes,No,No,No,The authors declare no competing financial interest.,Samantha Martins,2022-06-06,333
140,rayyan-115921731,10.1016/j.bmcl.2020.127659,Hongtao Du,Novel deoxyvasicinone and tetrahydro-beta-carboline hybrids as inhibitors  of acetylcholinesterase and amyloid beta aggregation ,Bioorganic & Medicinal Chemistry Letters,2020,Yes,No,No,No,,Samantha Martins,2022-06-07,334
141,rayyan-115932764,10.1007/s00253-015-7001-7,Cuizan Cai,A specific RAGE-binding peptide biopanning from phage display random peptide library that ameliorates symptoms in amyloid β peptide-mediated neuronal disorder,Applied Microbiology and Biotechnology volume,2015,Yes,No,No,No,,Samantha Martins,2022-06-08,335
142,rayyan-115931491,10.1016/j.ijbiomac.2018.10.021,Sook Yee Gan,"Fucosterol exerts protection against amyloid β-induced neurotoxicity, reduces intracellular levels of amyloid β and enhances the mRNA expression of neuroglobin in amyloid β-induced SH-SY5Y cells",International Journal of Biological Macromolecules,2018,Yes,No,No,No,,Samantha Martins,2022-06-09,336
143,rayyan-115931418,10.1016/j.jbiomech.2019.01.046,Qi Gao,Dynamic effect of beta-amyloid 42 on cell mechanics,Journal of Biomechanics,2019,No,No,No,No,,Samantha Martins,2022-06-09,337
144,rayyan-115921714,10.2174/1567205017666201109093848,Alessandra Bigi,Targeting Pathological Amyloid Aggregates with Conformation-Sensitive  Antibodies ,Current Alzheimer Research,2020,Yes,No,No,No,,Samantha Martins,2022-09-04,"338,339,340,341"
145,,,,,,,,,,,,Samantha Martins,2022-10-02,
