Screening ID,rayyan-key,doi,Status,Motivo para exclusão,Observações gerais do artigo,Quem,Outcomes
12,rayyan-115935608,10.1016/j.bbamem.2007.01.009,Excluído,7 - Não inclui uma medida de toxicidade,,Adriano Sebollela,
13,rayyan-115937194,10.1016/s0169-328x(98)00236-8,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Adriano Sebollela,
14,rayyan-115929010,10.2174/0929866043407156,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Adriano Sebollela,
15,rayyan-115933102,10.1016/j.neuropharm.2015.01.004.,Excluído,7 - Não inclui uma medida de toxicidade,,Adriano Sebollela,
16,rayyan-115921831,10.1021/acsami.0c13223,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,usa um peptideo menor (FF) baseado na sequencia do Abeta,Adriano Sebollela,
17,rayyan-115931468,10.1002/jcb.27576,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Adriano Sebollela,
18,rayyan-115924427,10.1007/s12035-015-9644-x,Excluído,7 - Não inclui uma medida de toxicidade,,Giulia Scarcella Cancelliero,
19,rayyan-115933422,10.3233/JAD-131685,Incluído,,,Giulia Scarcella Cancelliero,"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31"
20,rayyan-115930914,10.1155/2020/9369815,Incluído,,,Giulia Scarcella Cancelliero,"32,35,36,37,38,39,40,41,33"
21,rayyan-115936475,10.1254/jphs.92.153,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Giulia Scarcella Cancelliero,
22,rayyan-115937481,10.1016/0304-3940(96)12761-0,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giulia Scarcella Cancelliero,
23,rayyan-115925453,10.1021/la4020459,Incluído,,,Giulia Scarcella Cancelliero,"42,43,44,45,46,47"
24,rayyan-115921976,10.2174/1567205017666200624201356,Excluído,7 - Não inclui uma medida de toxicidade,,Giulia Scarcella Cancelliero,
25,rayyan-115926984,10.1080/10715760903214454,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Giulia Scarcella Cancelliero,
26,rayyan-115923728,10.1089/ars.2016.6978,Excluído,6 - Não inclui um controle adequado,utiliza células modificadas geneticamente,Giulia Scarcella Cancelliero,
