Screening ID,rayyan-key,doi,Status,Motivo para exclusão,Observações gerais do artigo,Quem,Outcomes
145,,,,,,Ana Paula Sampaio,
23,rayyan-115935445,10.1007/s00109-007-0265-3.,A discutir,,"Compara células em diferentes fases do ciclo celular sem um ponto de não diferenciado. 
Parece que fica sem controle para comparação",Ana Paula Sampaio,
10,rayyan-115922669,10.1021/acschemneuro.9b00106,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Ana Paula Sampaio,
11,rayyan-115921737,10.1111/acel.13264,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Ana Paula Sampaio,
12,rayyan-115934844,10.1021/bi902134p,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Ana Paula Sampaio,
13,rayyan-115927544,https://doi.org/10.1529/biophysj.107.119909,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Ana Paula Sampaio,
14,rayyan-115936191,https://doi.org/10.1124/jpet.104.068189,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Ana Paula Sampaio,
15,rayyan-115921783,https://pubmed.ncbi.nlm.nih.gov/33010207/,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Ana Paula Sampaio,
18,rayyan-115934549,10.1111/j.1750-3639.2010.00437.x,Excluído,7 - Não inclui uma medida de toxicidade,,Ana Paula Sampaio,
21,rayyan-115936452,10.1046/j.1471-4159.2003.01831.x,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Ana Paula Sampaio,
22,rayyan-115936125,10.1038/sj.cdd.4401528.,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Ana Paula Sampaio,
24,rayyan-115934481, 10.1007/s00018-010-0561-x.,Excluído,6 - Não inclui um controle adequado,Usa somente células transfectadas,Ana Paula Sampaio,
26,rayyan-115936350,doi:10.1016/j.mcn.2003.09.008,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,Usa fragmento 25-35,Ana Paula Sampaio,
27,rayyan-115927290,10.1016/j.febslet.2008.11.007,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Ana Paula Sampaio,
28,rayyan-115930089,10.1038/374647a0,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Ana Paula Sampaio,
29,rayyan-115925343,10.1007/s10571-013-0006-9,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Ana Paula Sampaio,
30,rayyan-115923413,10.18632/oncotarget.22777,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Ana Paula Sampaio,
32,rayyan-115922307,10.1039/c9cp04775a,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Ana Paula Sampaio,
33,rayyan-115924901,10.1186/s13195-014-0077-y,Excluído,7 - Não inclui uma medida de toxicidade,,Ana Paula Sampaio,
36,rayyan-115929122,10.3109/13506120108993819,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Ana Paula Sampaio,
37,rayyan-115925236,10.1016/j.ejmech.2014.02.046,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Ana Paula Sampaio,
38,rayyan-115923379,10.18632/oncotarget.23119,Excluído,8 - Artigo retratado,,Ana Paula Sampaio,
40,rayyan-115924098, 10.1016/j.jgr.2015.09.004,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Ana Paula Sampaio,
41,rayyan-115924925,10.1021/jf504544x,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Ana Paula Sampaio,
42,rayyan-115933361, 10.2174/15672050113106660176,Excluído,7 - Não inclui uma medida de toxicidade,,Ana Paula Sampaio,
43,rayyan-115922419,10.1177/1533317519883496,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Ana Paula Sampaio,
44,rayyan-115924943,10.1371/journal.pone.0111492,Excluído,7 - Não inclui uma medida de toxicidade,,Ana Paula Sampaio,
47,rayyan-115928999, 10.3233/JAD-2001-3602,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Ana Paula Sampaio,
49,rayyan-115935652,10.1038/sj.cdd.4402033,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Ana Paula Sampaio,
50,rayyan-115922121,10.18632/aging.102985,A discutir,,"Não descreve qual abeta utiliza, se 1-40, 1-42. Incluído na lista de contato aos autores.",Ana Paula Sampaio,
52,rayyan-115926610,10.1016/j.neuint.2010.09.011,Excluído,6 - Não inclui um controle adequado,,Ana Paula Sampaio,
54,rayyan-115923290,10.1109/TNB.2018.2800723.,Excluído,7 - Não inclui uma medida de toxicidade,,Ana Paula Sampaio,
55,rayyan-115923703, 10.1038/s41598-017-01798-x,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Ana Paula Sampaio,
