Screening ID,rayyan-key,doi,Status,Motivo para exclusão,Observações gerais do artigo,Quem,Outcomes
10,rayyan-115931948,10.3389/fnagi.2018.00007,Incluído,,"Os autores fazem o tratamento de SH-Sy5y tratada com ácido retinoico (RA-SH-Sy5y) com diferentes formas do Aβ (mono, oligômero e fibrilar), bem como com diferentes isoformas (Aβ1-40 e Aβ1-42). O controle é RA-SH-Sy5y.",Antônio Felix,"228,229,230,231,232,233"
11,rayyan-115929112,10.1074/jbc.M110009200,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Antônio Felix,
12,rayyan-115937601,10.1016/0014-5793(95)00061-d,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Antônio Felix,
13,rayyan-115936102,10.1523/JNEUROSCI.2381-04.2005,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Antônio Felix,
14,rayyan-115925864,10.1016/j.bmc.2012.08.001,Incluído,,,Antônio Felix,16
15,rayyan-115927534,10.1074/jbc.M707983200,Incluído,,,Antônio Felix,17
16,rayyan-115927546,10.1016/j.biocel.2007.10.014,Incluído,,,Antônio Felix,18
17,rayyan-115934634,10.1007/s13206-011-5402-y,Incluído,,,Antônio Felix,"19,20"
18,rayyan-115928417,10.1111/j.1471-4159.2004.02816.x,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Antônio Felix,
19,rayyan-115926308,10.1016/j.nbd.2011.07.005,Incluído,,,Antônio Felix,"21,22,23,24,25,26,27,28"
20,rayyan-115926289,10.3233/JAD-2011-110698,Excluído,6 - Não inclui um controle adequado,"Apesar de não estar claro no gráfico, as células SH-SY5Y são tratadas não só com beta-amiloide mas também com meio proveniente de cultura de micróglia.",Antônio Felix,
21,rayyan-115936074,10.1016/j.bbrc.2005.01.030,Incluído,,O autor faz sua cultura e experimentação com SH-SY5Y tratada com ácido retinoico. ,Antônio Felix,29
22,rayyan-115928153,10.1038/sj.cdd.4401818,Incluído,,,Antônio Felix,"30,31,32,33"
23,rayyan-115926226,10.1038/sj.cdd.4401818,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Antônio Felix,
24,rayyan-115936114,10.1385/JMN:25:2:141,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Antônio Felix,
25,rayyan-115926842,10.1002/btpr.396,Incluído,,"Durante a análise, o autor normaliza os resultados obtidos em relação ao controle com PBS e não apresenta uma barra do controle. Perguntar se isto pode ser um problema, já que não temos o valor real do controle e o autor o considerou como 100%.",Antônio Felix,"34,35,36,37,38,39"
26,rayyan-115930594,10.1016/j.biopha.2020.110439,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Antônio Felix,
27,rayyan-115931841,10.1016/j.ejphar.2018.02.047,Incluído,,,Antônio Felix,"40,41"
28,rayyan-115931175,NA,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Antônio Felix,
29,rayyan-115923436,10.1155/2017/7601486,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Antônio Felix,
30,rayyan-115927299,10.3233/jad-2008-15306,Excluído,6 - Não inclui um controle adequado,,Antônio Felix,
31,rayyan-115932727,10.1016/j.neuropharm.2015.09.005,Excluído,4 - Não usa célula SHSY-5Y como modelo,O autor utiliza a linhagem modificada geneticamente.,Antônio Felix,
32,rayyan-115937468,10.1046/j.1471-4159.1996.67030978.x,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Antônio Felix,
33,rayyan-115926954,PMID: 19956428,Excluído,7 - Não inclui uma medida de toxicidade,,Antônio Felix,
34,rayyan-115927974,10.1002/biof.5520250111,Incluído,,,Antônio Felix,"42,43,44"
35,rayyan-115923844,10.1021/acsami.7b01886,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Antônio Felix,
36,rayyan-115934235,10.1074/jbc.M111.323626,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Antônio Felix,
37,rayyan-115928713,10.1097/00001756-200311140-00018,Excluído,6 - Não inclui um controle adequado,,Antônio Felix,
38,rayyan-115923782,10.1016/j.abb.2017.04.005,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Antônio Felix,
39,rayyan-115929103,PMID: 11848621,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Antônio Felix,
40,rayyan-115922913,10.1139/cjpp-2018-0299,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Antônio Felix,
41,rayyan-115935518,10.1089/ars.2007.1797,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Antônio Felix,
42,rayyan-115929527,10.1111/j.1600-079x.1999.tb00619.x,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Antônio Felix,
43,rayyan-115924079,10.1016/j.jinorgbio.2016.09.007,Excluído,6 - Não inclui um controle adequado,,Antônio Felix,
44,rayyan-115924539,10.1248/bpb.b15-00459,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Antônio Felix,
45,rayyan-115923585,10.1007/s11011-017-0093-2,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Antônio Felix,
46,rayyan-115922503,10.3233/JAD-190705,Incluído,,,Antônio Felix,"47,48,49,50"
47,rayyan-115922375,10.1080/15287394.2019.1684007,Incluído,,,Antônio Felix,51
48,rayyan-115922449,10.3892/etm.2019.7855,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Antônio Felix,
49,rayyan-115922044,10.1038/s41598-020-65147-1,Incluído,,,Antônio Felix,"52,53,54"
50,rayyan-115924514,10.1080/15287394.2015.1085942,Incluído,,,Antônio Felix,55
51,rayyan-115926052,PMID 22445961,Incluído,,,Antônio Felix,"56,57,58"
53,rayyan-115922480,10.1002/jbt.22393,Incluído,,,Antônio Felix,"60,61,62,63"
54,rayyan-115925810,PMCID: PMC3466490,Incluído,,,Antônio Felix,"64,65"
55,rayyan-115924304,10.1016/j.brainres.2016.04.011,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Antônio Felix,
56,rayyan-115930960,10.1007/s10571-020-01012-z,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Antônio Felix,
57,rayyan-115928348,10.1074/jbc.M500997200,Excluído,7 - Não inclui uma medida de toxicidade,,Antônio Felix,
58,rayyan-115923385,10.1111/jpi.12470,Incluído,,,Antônio Felix,"66,67,68,69"
59,rayyan-115924688,10.3109/10799893.2015.1006331,Incluído,,,Antônio Felix,"70,71,72"
60,rayyan-115923364,10.1016/j.bbamem.2018.01.024,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Antônio Felix,
61,rayyan-115936392,10.1016/j.bbrc.2003.09.100,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Antônio Felix,
62,rayyan-115923101,PMID: 30043735,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Antônio Felix,
63,rayyan-115923760,10.1007/s12035-017-0527-1,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Antônio Felix,
64,rayyan-115925160,10.3892/ijmm.2014.1780,Excluído,7 - Não inclui uma medida de toxicidade,,Antônio Felix,
65,rayyan-115925099,10.3892/mmr.2014.2351,Incluído,,,Antônio Felix,"74,75,76,77,78,79,80"
66,rayyan-115924202,10.1186/s12868-016-0280-9,Incluído,,,Antônio Felix,"81,82,83,84"
67,rayyan-115922597,10.1038/s41598-019-45509-0,Excluído,7 - Não inclui uma medida de toxicidade,,Antônio Felix,
68,rayyan-115925730,10.3969/j.issn.1673-5374.2013.01.005,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Antônio Felix,
69,rayyan-115931423,10.1016/j.jcis.2018.12.093,Incluído,,,Antônio Felix,"86,87,88,89,90,91,92"
70,rayyan-115927248,10.1016/j.bmc.2008.12.047,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Antônio Felix,
71,rayyan-115924958,PMID: 25318543,Incluído,,,Antônio Felix,"93,94"
72,rayyan-115922005,10.1016/j.neurobiolaging.2020.04.012,Incluído,,,Antônio Felix,95
73,rayyan-115921950,10.1007/s12031-020-01621-9,Incluído,,,Antônio Felix,"96,97,98,99,100"
74,rayyan-115926522,10.1016/j.neuint.2010.12.017,Incluído,,,Antônio Felix,"101,102,103,104"
75,rayyan-115924813,10.1002/jnr.23565,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Antônio Felix,
78,rayyan-115922020,10.1007/s12031-020-01600-0,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Antônio Felix,
79,rayyan-115924231,10.1038/srep27738,Incluído,,,Antônio Felix,"105,106,107,108,109,110"
80,rayyan-115937253,PMID: 12671312,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Antônio Felix,
81,rayyan-115925972,10.3233/JAD-2012-120046,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Antônio Felix,
82,rayyan-115922140,10.1007/s11064-020-03011-4,Incluído,,,Antônio Felix,"111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135"
83,rayyan-115931892,10.1016/j.phytol.2018.02.002,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Antônio Felix,
84,rayyan-115931279,10.18178/ijpmbs.8.3.100-105,Incluído,,,Antônio Felix,137
85,rayyan-115924751,10.1074/jbc.M114.610931,Incluído,,,Antônio Felix,"138,139,140,141,142"
86,rayyan-115927195,10.1002/cmdc.200800414,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Antônio Felix,
87,rayyan-115925375,10.3109/10799893.2013.848891,Excluído,7 - Não inclui uma medida de toxicidade,,Antônio Felix,
88,rayyan-115935868,10.1111/j.1460-9568.2006.04722.x,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Antônio Felix,
89,rayyan-115927798,10.1111/j.1471-4159.2006.04444.x,Excluído,7 - Não inclui uma medida de toxicidade,,Antônio Felix,
90,rayyan-115932088,10.1016/j.colsurfb.2017.08.020,Incluído,,,Antônio Felix,"143,144,145,146,147"
91,rayyan-115922871,10.3390/ijms20010125,Incluído,,,Antônio Felix,"148,149,150,151,152,153,154,155,156"
92,rayyan-115921973,10.3892/mmr.2020.11253,Incluído,,,Antônio Felix,157
93,rayyan-115925722,10.1016/j.jconrel.2012.12.022,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Antônio Felix,
94,rayyan-115922942,10.1016/j.bbadis.2018.10.037,Incluído,,,Antônio Felix,"158,159,160,161,162,163"
95,rayyan-115921845,10.1016/j.bmc.2020.115676,Incluído,,,Antônio Felix,164
