Screening ID,rayyan-key,doi,Status,Motivo para exclusão,Observações gerais do artigo,Quem,Outcomes
10,rayyan-115932536,10.1016/j.npep.2016.06.005,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Samantha Martins,
11,rayyan-115937236,10.1097/00005072-199807000-00008,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Samantha Martins,
12,rayyan-115922033,10.1016/j.bioorg.2020.103917,Excluído,7 - Não inclui uma medida de toxicidade,Não inclui medida de toxicidade causada pelo peptídeo beta amilóide. Investiga apenas efeitos citotóxicos dos compostos em estudo nas células SH-SY5Y.,Samantha Martins,
13,rayyan-115923516,10.3389/fncel.2017.00281,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Samantha Martins,
14,rayyan-115928060,10.1111/j.1460-9568.2006.04722.x,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Samantha Martins,
15,rayyan-115928764,10.1002/jnr.10703,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Samantha Martins,
16,rayyan-115926291,10.1002/jnr.22725,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Samantha Martins,
17,rayyan-115931955,10.1016/j.lfs.2017.10.041,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,Células SH-SY5Y superexpressando a forma sueca mutante de APP humana; ,Samantha Martins,
18,rayyan-115932224,10.1016/j.phytol.2017.04.035,Incluído,,Short Communication,Samantha Martins,16
19,rayyan-115926736,10.1016/j.neuint.2010.06.021,Incluído,,Usa Abeta 25-35 e Abeta 1-42,Samantha Martins,"17,18,19"
20,rayyan-115936635,10.1016/S0304-3940(02)00305-1,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Samantha Martins,
21,rayyan-115921641,10.1016/j.isci.2020.101823,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Samantha Martins,
22,rayyan-115932496,10.3390/ijms17111809,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Samantha Martins,
23,rayyan-115936028,10.1016/j.mcn.2005.02.012,Excluído,4 - Não usa célula SHSY-5Y como modelo,Usa células SHSY-5Y geneticamente modificadas. Mitocôndrias/DNA mitocondrial (mtDNA) de plaquetas de pacientes DA e pacientes controle (sem a doença) são transferidas para células SHSY-5Y esgotadas de mtDNA endógeno (Rho0 células),Samantha Martins,
24,rayyan-115926398,10.1016/j.neurobiolaging.2011.03.007,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Samantha Martins,
25,rayyan-115930773,10.1080/14786419.2018.1496429,Excluído,7 - Não inclui uma medida de toxicidade,"Não inclui uma medida de toxicidade envolvendo o peptídeo beta-amilóide.
",Samantha Martins,
26,rayyan-115934487,10.1159/000323468,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,Usou abeta 25-35,Samantha Martins,
27,rayyan-115937589,10.1038/374647a0,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Samantha Martins,
