Fig_ID,Article_ID,figure,dep_variable,control_name,treated_name,OBS,Results
242,80,Figure 1B,% cell viability,ctr,Abeta 1-42 1 microM,,214
243,80,Figure 1C,% cells viability 24h,ctr,Abeta 1-42 1 microM,"looks like control is the same as comparison above. But since it is different experiment, I prefer assuming the controls are also different
",217
244,81,Figure 1A,"Cell viability, % of None",None,Aβ μmol/L,"atençao! houve um erro de digitação no 'treated name' dessa figura. Onde se le (no artigo) ""Aβ 5 μmol/L""; na verdade deveria ser ""Aβ μmol/L""","219,220,221"
245,81,Figure 1B,"Cell viability, % of None",None,control (Aβ 5 μmol/L),,222
246,82,Figure 1B,% Viability,untreated cells,25 μM Aβ,,223
247,83,Figure 8,% Cell viability,Control,Aβ,,229
248,84,Figure 2B,% cell survival,C,0,'0' in the treated name refers to no addition of a neuroprotective compound,224
249,85,Figure 4a,cell viability (MTT reduction % of control),none,A-beta40 alone,"a barra do controle nao esta no grafico, mas os dados do tratamento com Abeta estao em % de controle (entao controle = 100%)",230
250,85,Figure 4b,cell viability (MTT reduction % of control),none,A-beta42 alone,"a barra do controle nao esta no grafico, mas os dados do tratamento com Abeta estao em % de controle (entao controle = 100%)",231
251,86,Figure 1b,x-fold over control,none,oligo. Abeta 48h,"a barra do controle nao esta no grafico, mas os dados do tratamento com Abeta estao em % de controle (entao controle = 100%)",232
252,87,Figure 2,viability (% of control),control,Aβ,,233
253,88,Supp Figure 2F,cell viability (%),0,Aβ ( μM),nesse grafico foram testadas 7 concentraçoes de Abeta e 4 tempos,"234,236,237,238,239,240,241,242,243,244,245,246,247,248,249,251,252,253,254,255,256,257,258,259,260,261,262,263"
255,88,Supp Figure 2G,cell viability (%),control,20 μM Aβ,apenas barras vermelhas na asuencia da molecula neuroprotetora,264
256,89,Figure 1,relative survival rate of cells,control group,Aβ-42 group,apenas 2 primeiras barras no graf,265
257,90,Figure 8a,cell viability ,cont,Aβ42 concentration (μM),so barras pretas,"266,267,268,269,270,271"
258,91,Figure 1a,cell inhibition rate (%),WT group,Aβ1-42 treatment ,"eu extrai barras rosas vs barras pretas. As barras azuis (DMSO) poderiam ate ser um controle melhor, mas como esta idêntico as barras pretas, nao faz diferença ","272,273"
259,92,Figure 6,cell viability % of control,cell only,1,"as condiçoes com Abeta sao nomeadas de 1 a 4. Somente a condição 1 deve foi extraida, pois as 2-4 contem co-tratamento",280
260,93,figure 1B,neuronal viability (% vs control),0,time (h),"sao 5 time points (1, 3, 6, 15, 24h) na presença de Abeta","281,282,283,284,285"
261,93,Figure 1b,neuronal viability (% vs control),0,time (h),"sao 5 time points (1, 3, 6, 15, 24h) na presença de Abeta","286,287,288,289,290"
262,93,Figure 2,neuronal viability (% vs control),sem barra de controle nessa fig,0 (GUO conc uM),"GUO e a droga neuroprotetora testada. Entao nosso interesse e no ponto ""0"" se m droga (mas com Abeta)","291,292,293"
263,94,Figure6A,Reduction (% of Veh),Veh,Aβ,so 2 primeiras barras,294
264,94,Figure 6C,Reduction (% of Veh),Veh,Aβ,so 2 primeiras barras,295
265,95,Figure 4,MTT reduction (% of control),control,Aβ1-42,so 2 primeiras barras,296
266,96,Figure 6A,viability (% of control),control,Aβ1-42,so 2 primeiras barras (pretas),297
267,97,Figure 2a,MTT reduction (% vs untreated cells),untreated,Aβ42,so 2 primeiras barras da condição 'basal',298
268,97,Figure 2b,MTT reduction (% vs untreated cells),untreated,Aβ42,so 2 primeiras barras da condição 'basal',299
269,98,Figure 2b,cell viability (%),Aβ1-42 -,Aβ1-42 +,barras branca (control) e cinza (+abeta),300
270,99,Figure 2b,Absorbance,Con,Aβ1-42,so 2 primeiras barras,301
271,99,Supp Figure 3a,Absorbance,Aβ1-42 -,Aβ1-42 +,so 2 primeiras barras,302
