Fig_ID,Article_ID,figure,dep_variable,control_name,treated_name,OBS,Results
242,80,Fig 2(second graph),cell viability (%),0uM (Aβ),1uM (Aβ),,214
243,80,Fig 2(second graph),cell viability (%),0uM (Aβ),2uM (Aβ),,215
244,80,Fig 2(second graph),cell viability (%),0uM (Aβ),4uM (Aβ),,216
245,80,Fig 2(second graph),cell viability (%),0uM (Aβ),8uM (Aβ),,217
246,80,Fig 2(second graph),cell viability (%),0uM (Aβ),12uM (Aβ),,218
247,80,Fig 2(second graph),cell viability (%),0uM (Aβ),16uM (Aβ),,219
248,80,Fig 2(second graph),cell viability (%),0uM (Aβ),24uM (Aβ),,220
249,81,Fig 1,cell viability (%),0uM (Aβ),1.5uM (Aβ),,221
250,81,Fig 1,cell viability (%),0uM (Aβ),10uM (Aβ),,222
251,81,Fig 1,cell viability (%),0uM (Aβ),12.5uM (Aβ),,223
252,81,Fig 1,cell viability (%),0uM (Aβ),15uM (Aβ),,224
253,81,Fig 1,cell viability (%),0uM (Aβ),20uM (Aβ),,225
254,82,Fig 3,cell viability (%),0uM (Aβ),2.5uM (Aβ),,226
255,83,Fig 5a,cell viability (%),0uM (Aβ),0.5uM (Aβ),,227
256,83,Fig 5a,cell viability (%),0uM (Aβ),1uM (Aβ),,228
257,83,Fig 5a,cell viability (%),0uM (Aβ),5uM (Aβ),,229
258,83,Fig 5a,cell viability (%),0uM (Aβ),10uM (Aβ),,230
259,83,Fig 5a,cell viability (%),0uM (Aβ),20uM (Aβ),,231
260,83,Fig 5c,cell viability (%),0uM (Aβ),10uM (Aβ),,232
261,84,Fig 3d,cell viability (%),0uM (Aβ),0.1uM (Aβ),,233
262,84,Fig 3d,cell viability (%),0uM (Aβ),0.25uM (Aβ),,234
263,84,Fig 3d,cell viability (%),0uM (Aβ),0.5uM (Aβ),,235
264,84,Fig 3d,cell viability (%),0uM (Aβ),1uM (Aβ),,236
265,84,Fig 3d,cell viability (%),0uM (Aβ),2.5uM (Aβ),,237
266,84,Fig 3d,cell viability (%),0uM (Aβ),5uM (Aβ),,238
267,84,Fig 3d,cell viability (%),0uM (Aβ),10uM (Aβ),,239
268,85,Fig 2a,MTT reduction (% vs untreated cells),untreated cells,0.5h 1uM (Aβ1-42) D,differentiated,240
269,85,Fig 2a,MTT reduction (% vs untreated cells),untreated cells,3h 1uM (Aβ1-42) D,differentiated,241
270,85,Fig 2a,MTT reduction (% vs untreated cells),untreated cells,6h 1uM (Aβ1-42) D,differentiated,242
271,85,Fig 2a,MTT reduction (% vs untreated cells),untreated cells,24h 1uM (Aβ1-42) D,differentiated,243
272,85,Fig 2a,MTT reduction (% vs untreated cells),untreated cells,0.5h 1uM (Aβ1-42) UD,undifferentiated,244
273,85,Fig 2a,MTT reduction (% vs untreated cells),untreated cells,3h 1uM (Aβ1-42) UD,undifferentiated,245
274,85,Fig 2a,MTT reduction (% vs untreated cells),untreated cells,6h 1uM (Aβ1-42) UD,undifferentiated,246
275,85,Fig 2a,MTT reduction (% vs untreated cells),untreated cells,24h 1uM (Aβ1-42) UD,undifferentiated,247
276,85,"Fig 2b
",MTT reduction (% vs untreated cells),untreated cells,0.01uM (Aβ1-42) D,differentiated,248
277,85,"Fig 2b
",MTT reduction (% vs untreated cells),untreated cells,0.1uM (Aβ1-42) D,differentiated,249
278,85,"Fig 2b
",MTT reduction (% vs untreated cells),untreated cells,1uM (Aβ1-42) D,differentiated,250
279,85,"Fig 2b
",MTT reduction (% vs untreated cells),untreated cells,10uM (Aβ1-42) D,differentiated,251
280,85,"Fig 2b
",MTT reduction (% vs untreated cells),untreated cells,0.01uM (Aβ1-42) UD,undifferentiated,252
281,85,"Fig 2b
",MTT reduction (% vs untreated cells),untreated cells,0.1uM (Aβ1-42) UD,undifferentiated,253
282,85,"Fig 2b
",MTT reduction (% vs untreated cells),untreated cells,1uM (Aβ1-42) UD,undifferentiated,254
283,85,"Fig 2b
",MTT reduction (% vs untreated cells),untreated cells,10uM (Aβ1-42) UD,undifferentiated,255
284,85,"Fig 3b
",MTT reduction (% vs untreated cells),untreated cells,1uM (Aβ1-42) D,differentiated,256
285,85,"Fig 3b
",MTT reduction (% vs untreated cells),untreated cells,1uM (Aβ1-42) UD,undifferentiated,257
286,85,"Fig 3b
",MTT reduction (% vs untreated cells),untreated cells,1uM (Aβ1-40) D,differentiated,258
287,85,"Fig 3b
",MTT reduction (% vs untreated cells),untreated cells,1uM (Aβ1-40) UD,undifferentiated,259
288,86,Fig 7a,MTT reduction (% vs untreated cells),untreated cells,3.125uM (Aβ1-40),"fresh
",260
289,86,Fig 7a,MTT reduction (% vs untreated cells),untreated cells,6.25uM (Aβ1-40),"fresh
",261
290,86,Fig 7a,MTT reduction (% vs untreated cells),untreated cells,12.5uM (Aβ1-40),"fresh
",262
291,86,Fig 7a,MTT reduction (% vs untreated cells),untreated cells,25uM (Aβ1-40),"fresh
",263
292,86,"Fig 7b
",MTT reduction (% vs untreated cells),untreated cells,3.125uM (Aβ1-40),aged,264
