Outcomes ID,Screening ID,Método,Figura,Grupos,Observações gerais da figura ou desfecho
16,16,1.1 - Ensaio de redução de MTT e análogos,15,ab1-42 (25microM +) x test compound (microM -),
17,17,1.1 - Ensaio de redução de MTT e análogos,5B,Control  x Sham (Abeta 2 microM) 24 h,
18,17,1.1 - Ensaio de redução de MTT e análogos,5C,Control x Sham (ABeta 2 microM) 48 h,
19,17,2.3 - Marcadores de morte celular (outros),5D,Control  x Sham (Abeta 2 microM) 24 h,DNA fragmentation using an ELISA kit Cell Death Detection ELISA kit (Cat.# 11544675001
20,17,2.3 - Marcadores de morte celular (outros),5E,Control  x Sham (Abeta 2 microM) 24 h,DNA fragmentation using an ELISA kit Cell Death Detection ELISA kit (Cat.# 11544675001
21,19,1.1 - Ensaio de redução de MTT e análogos,S1,untreated x 25microM 5h,
22,19,1.1 - Ensaio de redução de MTT e análogos,S1,untreated x 10microM 24h,
23,19,1.1 - Ensaio de redução de MTT e análogos,S1,untreated x 25microM 24h,
24,20,1.1 - Ensaio de redução de MTT e análogos,1A,untreated x amyloid 5 h,
25,20,1.1 - Ensaio de redução de MTT e análogos,1A,untreated x amyloid 24 h,
26,20,1.1 - Ensaio de redução de MTT e análogos,3A,Control x amyloid ,Não apresenta estatística
27,25,1.1 - Ensaio de redução de MTT e análogos,3,Barras brancas (0) AB42- EGCG- MEO-W-F1+ X AB42+ EGCG- MEO-W-F1+,
28,31,1.1 - Ensaio de redução de MTT e análogos,4,AB 0 (comparado 100% controle),
29,34,3.1 - Níveis de espécies reativas de oxigênio,3C,Control x Abeta,
30,34,1.1 - Ensaio de redução de MTT e análogos,4C,Abeta 3microMolar - X Abeta 3microMolar +,
31,35,2.1 - Indicadores diretos de morte,2,CNT X Ab 1-42,
32,35,2.2 - Marcadores diretos de apoptose,4Apoptosis,CNT X Ab 1-42,
33,35,2.1 - Indicadores diretos de morte,4Necrosis,CNT X Ab 1-42,
34,39,1.1 - Ensaio de redução de MTT e análogos,2A,Non-treated X 1mcroMolar AB 1-42,
35,45,1.1 - Ensaio de redução de MTT e análogos,1C,Control X Ab1-42 (2.0 microM),
36,46,1.1 - Ensaio de redução de MTT e análogos,1,Control x Ab,
37,48,1.1 - Ensaio de redução de MTT e análogos,4D,Veh X Veh WT-ab42,
38,48,1.1 - Ensaio de redução de MTT e análogos,4E,Veh X ab42 toxic dimer,
39,51,1.1 - Ensaio de redução de MTT e análogos,3A,Control X Ab1-40,
40,51,1.1 - Ensaio de redução de MTT e análogos,3B,Control X pre-formed Ab1-40 fibrils,
41,51,2.2 - Marcadores diretos de apoptose,4B,Control X Ab1-40 fibrils,
42,51,3.1 - Níveis de espécies reativas de oxigênio,5B,Control X Ab1-40 fibrils,
