Outcomes ID,Screening ID,Método,Figura,Grupos,Observações gerais da figura ou desfecho
16,13,1.1 - Ensaio de redução de MTT e análogos,Figure 4,Control e Ab,mean ± SEM of three separate experiments /// necessário abrir arquivo suplementar para informações sobre Ab/ensaios
18,25,3.1 - Níveis de espécies reativas de oxigênio,Figure 6,Gráficos B e C - CTRL e Abeta (não transfectados ou negative control)),"N=4, *p < 0.05, **p < 0.01"
19,25,2.2 - Marcadores diretos de apoptose,Figure 6,Gráfico G - CTRL e Abeta (Mock),
20,26,1.1 - Ensaio de redução de MTT e análogos,Figure 5,Gráfico A,Vertical bars represent cell viability ± SD (%) relative to the control (untreated cells).
21,33,1.1 - Ensaio de redução de MTT e análogos,Figure 4,Control (- -) e Abeta42 (+ -), mean ± SD of five independent experiments
22,34,1.1 - Ensaio de redução de MTT e análogos,Figure 4,Gráficos A e B - Control e Abeta alone,
23,37,1.2 - Ensaio de liberação de LDH,Figure 3A,AbO -/PrPc - e AbO+/PrPc - (barras brancas),Existem resultados adicionais que avaliam citotoxicidade (e outros) frente ao estímulo com AbOs comparando a célula SHSY5Y expressando PrPc (uso de vetor viral) e respectivo controle.
24,37,1.4 - Viabilidade celular (outros),Figure 3B,AbO -/PrPc - e AbO+/PrPc - (barras brancas),
25,37,2.2 - Marcadores diretos de apoptose,Figure 3D,AbO -/PrPc - e AbO+/PrPc - (barras brancas),
26,38,1.2 - Ensaio de liberação de LDH,Figure 3,"Abeta (T0, 6h, 1 dia, 2 dias, 4 dias e 7 dias) VS linha tracejada (controle -  Line at 100% indicates baseline LDH levels of cells incubated with buffer after 2 days)",
27,39,1.1 - Ensaio de redução de MTT e análogos,Figure 1a,"AbetaO (2, 5, 10, 24 or 48 h) - % viabilidade em rel a controle","Data represent the mean
of at least 3 triplicate experiments  s.e.m"
28,39,1.1 - Ensaio de redução de MTT e análogos,Figure 2a,"AbetaO (2, 5, 10, 24 or 48 h) - % viabilidade em rel a controle",
29,40,1.1 - Ensaio de redução de MTT e análogos,Figure 6B,Control e AbO 20uM,
30,43,1.1 - Ensaio de redução de MTT e análogos,Figure 4C,CTL e Ab,
31,45,1.1 - Ensaio de redução de MTT e análogos,Table 1,Control (-) e 20uM Ab,
32,45,1.2 - Ensaio de liberação de LDH,Table 1,Control (-) e 20uM Ab,
33,45,2.2 - Marcadores diretos de apoptose,Figure 5,(-) control e Ab1-42 20uM,"São 4 grupos comparando essas 2 condições: Living cells, early apoptosis, late apoptosis e necrosis"
34,45,3.4 - Estresse oxidativo (outros),Table 2,(-) control e Ab1-42 20uM,Duas medidas comparando essas duas condições: total antioxidant capacity e total oxidative status
35,45,3.4 - Estresse oxidativo (outros),Table 3,(-) control e Ab1-42 20uM,Duas medidas comparando essas duas condições: total antioxidant capacity e total oxidative status
36,46,1.1 - Ensaio de redução de MTT e análogos,Figure 9,,
37,46,1.2 - Ensaio de liberação de LDH,Figure 10,,
38,47,1.1 - Ensaio de redução de MTT e análogos,Figure 7a ,SHSY-5Y Viability by MTS,
39,47,1.2 - Ensaio de liberação de LDH,Figure 7a ,SHSY-5Y LDH release ,
40,47,1.1 - Ensaio de redução de MTT e análogos,Figure 7c,'+Ab42(no SPE) by MTS (barra cinza claro),
41,47,1.2 - Ensaio de liberação de LDH,Figure 7c,LDH release - 0 SPE100 (Barra preta) ,
42,49,1.1 - Ensaio de redução de MTT e análogos,Figure 3,Control e Ab42 10uM (only),
43,49,1.1 - Ensaio de redução de MTT e análogos,Figure 4,Control e Ab42 10uM (only),
44,50,1.1 - Ensaio de redução de MTT e análogos,Figure 1B,"Control e AbO (1E-3/0,01/0,1/1/10/100/1000/10000ng/mL)  ",
45,51,1.1 - Ensaio de redução de MTT e análogos,Figure 1A,"Control e AbO 1-42 (0,1/1/5/10uM)","Uso também da forma ""scrambled"" do peptídeo Abeta para dosagem de toxicidade. Será necessário incluir?"
46,51,2.2 - Marcadores diretos de apoptose,Figure 1C e 1D,Control e AbO 1-42 (5/10uM),
47,51,1.1 - Ensaio de redução de MTT e análogos,Figure 2,Control e AbO 1-42 (10uM),
48,51,2.2 - Marcadores diretos de apoptose,Figure 3B e 3C,Control e AbO 1-42,Cleaved caspase/b actina e Cleaved caspase/total caspase
49,51,2.2 - Marcadores diretos de apoptose,"Figure 4C, D, E e F",Control e AbO 1-42,
50,57,2.3 - Marcadores de morte celular (outros),Figure 2E,Control (-/-/-/-) e AbO 1-42 (+/-/-/-),LIVE/DEAD staining
51,57,2.3 - Marcadores de morte celular (outros),Figure 3E,Control (-) e AbO 1-42 (+),LIVE/DEAD staining
52,57,2.2 - Marcadores diretos de apoptose,Figure 3G,Control (-/-) e AbO 1-42 (+/-),Cleaved caspase 3
53,57,2.3 - Marcadores de morte celular (outros),Figure 4B,Control (-/-) e AbO 1-42 (+/-),LIVE/DEAD staining
54,57,2.2 - Marcadores diretos de apoptose,Figure 4D,Control (-/-) e AbO 1-42 (+/-),Cleaved caspase 3
55,58,1.1 - Ensaio de redução de MTT e análogos,Figure 5B,Control (-/-) e AbO 5uM (-/-),White bar and Black bar
56,59,1.1 - Ensaio de redução de MTT e análogos,Figure 3C,CTL e  Ab42,
57,60,1.1 - Ensaio de redução de MTT e análogos,Figure 7,Control e 10uM Ab42,
58,60,1.1 - Ensaio de redução de MTT e análogos,Figure 8,Control e Ab1–42 (0.1uM),Blue Bars
63,60,1.1 - Ensaio de redução de MTT e análogos,Figure 8,Control e Ab1–42 (1uM),
65,60,1.1 - Ensaio de redução de MTT e análogos,Figure 8,Control e Ab1–42 (10uM),
64,60,1.1 - Ensaio de redução de MTT e análogos,Figure 8,Control e Ab1–42 (100uM),
59,60,1.4 - Viabilidade celular (outros),Figure 8,Control e Ab1–42 (0.1uM),Red bars
60,60,1.4 - Viabilidade celular (outros),Figure 8,Control e Ab1–42 (1uM),
61,60,1.4 - Viabilidade celular (outros),Figure 8,Control e Ab1–42 (10uM),
62,60,1.4 - Viabilidade celular (outros),Figure 8,Control e Ab1–42 (100uM),
66,60,1.1 - Ensaio de redução de MTT e análogos,Figure 9,Control (0') e 2',Blue bars
67,60,1.1 - Ensaio de redução de MTT e análogos,Figure 9,Control (0') e 5',
68,60,1.1 - Ensaio de redução de MTT e análogos,Figure 9,Control (0') e 10',
69,60,1.1 - Ensaio de redução de MTT e análogos,Figure 9,Control (0') e 20',
70,60,1.1 - Ensaio de redução de MTT e análogos,Figure 9,Control (0') e 30',
71,60,1.1 - Ensaio de redução de MTT e análogos,Figure 9,Control (0') e 60',
73,60,1.4 - Viabilidade celular (outros),Figure 9,Control (0') e 2',Red bars
74,60,1.4 - Viabilidade celular (outros),Figure 9,Control (0') e 5',
75,60,1.4 - Viabilidade celular (outros),Figure 9,Control (0') e 10',
76,60,1.4 - Viabilidade celular (outros),Figure 9,Control (0') e 20',
77,60,1.4 - Viabilidade celular (outros),Figure 9,Control (0') e 30',
78,60,1.4 - Viabilidade celular (outros),Figure 9,Control (0') e 60',
