Outcomes ID,Screening ID,Método,Figura,Grupos,Observações gerais da figura ou desfecho
16,15,1.1 - Ensaio de redução de MTT e análogos,figura 2,control vs. Aβ(1-42),
17,25,1.4 - Viabilidade celular (outros),figura 5,no treatment vs. Aβ,
18,27,1.1 - Ensaio de redução de MTT e análogos,figura 6,ct vs. Aβ,
19,39,1.1 - Ensaio de redução de MTT e análogos,figura 2b,- vs. 5,
20,39,1.1 - Ensaio de redução de MTT e análogos,figura 2b,- vs. 10,
21,39,1.1 - Ensaio de redução de MTT e análogos,figura 2b,- vs. 20,
22,39,1.1 - Ensaio de redução de MTT e análogos,figura 2b,- vs. 30,
23,39,1.1 - Ensaio de redução de MTT e análogos,figura 2b,-- vs. +-,
24,41,1.1 - Ensaio de redução de MTT e análogos,figura 4,CT vs.  Aβ1-42,
25,43,1.1 - Ensaio de redução de MTT e análogos,figura 3e,control vs. A-beta,
26,44,1.1 - Ensaio de redução de MTT e análogos,figura 5,cells alone vs. cells plus Abeta,
27,44,1.2 - Ensaio de liberação de LDH,figura s19,cells alone vs. cells plus Abeta,
28,46,1.1 - Ensaio de redução de MTT e análogos,figura 1b,Ctr vs. Aβ1-42 1µM,
29,46,1.1 - Ensaio de redução de MTT e análogos,figura 1c,Ctr vs. Aβ1-42 1µM,
30,46,3.3 - Produtos de estresse oxidativo,figura 4b,Ctr vs. Aβ1-42 1µM,
31,46,3.1 - Níveis de espécies reativas de oxigênio,figura 4c,Ctr vs. Aβ1-42 1µM,
32,47,3.1 - Níveis de espécies reativas de oxigênio,figura 7b,Control vs. Aβ,
33,47,1.1 - Ensaio de redução de MTT e análogos,figura 8c,Control vs. Aβ,
34,47,3.1 - Níveis de espécies reativas de oxigênio,figura s10,Control vs. Aβ,
35,49,1.2 - Ensaio de liberação de LDH,figura 5b,control (no Aβ) vs. 0,
36,53,1.1 - Ensaio de redução de MTT e análogos,figura 7a,control vs. Aβ1-42 (2µM),
37,53,3.1 - Níveis de espécies reativas de oxigênio,figura 7b,control vs. Aβ1-42 (2µM),
38,53,2.2 - Marcadores diretos de apoptose,figura 7c,control vs. Aβ1-42 (2µM),
39,36,1.1 - Ensaio de redução de MTT e análogos,figura 1a,100% viability vs. 1 (Aβ1-42 concentration (µM),undifferentiated cells
40,36,1.1 - Ensaio de redução de MTT e análogos,figura 1a,100% viability vs. 5 (Aβ1-42 concentration (µM),undifferentiated cells
41,36,1.1 - Ensaio de redução de MTT e análogos,figura 1a,100% viability vs. 10 (Aβ1-42 concentration (µM),undifferentiated cells
42,36,1.1 - Ensaio de redução de MTT e análogos,figura 1a,100% viability vs. 15 (Aβ1-42 concentration (µM),undifferentiated cells
43,36,1.1 - Ensaio de redução de MTT e análogos,figura 1a,100% viability vs. 1 (Aβ1-42 concentration (µM),differentiated cells
44,36,1.1 - Ensaio de redução de MTT e análogos,figura 1a,100% viability vs. 5 (Aβ1-42 concentration (µM),differentiated cells
45,36,1.1 - Ensaio de redução de MTT e análogos,figura 1a,100% viability vs. 10 (Aβ1-42 concentration (µM),differentiated cells
46,36,1.1 - Ensaio de redução de MTT e análogos,figura 1a,100% viability vs. 15 (Aβ1-42 concentration (µM),differentiated cells
47,36,1.1 - Ensaio de redução de MTT e análogos,figura 2a,100% viability vs. Aβto,
48,36,1.1 - Ensaio de redução de MTT e análogos,figura 2a,100% viability vs. Aβ,
49,36,2.1 - Indicadores diretos de morte,figura 4,control vs. Aβ,
50,45,1.1 - Ensaio de redução de MTT e análogos,figura 6,control vs. Aβ1-42 (Aβ incubated with Sal B for 3 days),
51,45,1.1 - Ensaio de redução de MTT e análogos,figura 6,control vs. Aβ1-42 (preformed Aβ with Sal B),
52,45,1.1 - Ensaio de redução de MTT e análogos,figura 6,control vs. Aβ1-42 (Aβ incubated with Sal B for 7 days),
53,50,1.1 - Ensaio de redução de MTT e análogos,figura 2b,control vs. Aβ1-42,
54,42,1.4 - Viabilidade celular (outros),figura 5,100% viability vs. Aβ1-42 (PRE),
55,42,1.4 - Viabilidade celular (outros),figura 5,100% viability vs. Aβ1-42 (CO),
56,42,1.4 - Viabilidade celular (outros),figura 5,100% viability vs. Aβ1-42 (POST),
57,56,1.4 - Viabilidade celular (outros),figura 2,control vs. Aβ1-42 (1µM),
58,57,1.1 - Ensaio de redução de MTT e análogos,figura 6a,100 viability vs. +Aβ (-),
59,57,1.1 - Ensaio de redução de MTT e análogos,figura S10,100 viability vs. +Aβ (-),
60,57,1.1 - Ensaio de redução de MTT e análogos,figura S11,100 viability vs. +Aβ (-),
61,58,1.1 - Ensaio de redução de MTT e análogos,figura 2,ctrl- vs. Aβ,MTT (gráfico de cima)
