Protocol_ID,Results_ID,Assay,Cell_source,Cell_bank,Cell_authentication,Cell_mycoplasma,Control_description,Abeta_sequence,Abeta_origin,Abeta_species,Abeta_aggregation,Single_exposure,Duration_hours,Concentration_uM,Passage_number,N_cells,N_cells_unit,N_cells_volume,Plate_size,Culture_medium,Medium_supplements,Serum_type,Serum_concentration,Diferentiation_method,Diferentiation_duration_days,Differentiation_medium,Differentiation_serum_type,Differentiation_serum_concentration,Differentiation_supplements,Differentiation_protocol,OBS
201,214,MTT,Cell bank,NA,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,5.000,NA,,NA,,96,EMEM + Ham’s F-12 (1:1),"2mM Glutamine, 1% Non-Essential Amino Acids (NEAA), Penicillin (10 U/ml) and streptomycin (10 U/ml GIBCO Life Technology, Grand Island, NY)",FBS,10%,No differentiation,,No differentiation,No differentiation,No differentiation,No differentiation,No differentiation,MTT reduction assay when compared to untreated cells.
202,215,MTT,Cell bank,NA,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,10.000,NA,,NA,,96,EMEM + Ham’s F-12 (1:1),"2mM Glutamine, 1% Non-Essential Amino Acids (NEAA), Penicillin (10 U/ml) and streptomycin (10 U/ml GIBCO Life Technology, Grand Island, NY)",FBS,10%,No differentiation,,No differentiation,No differentiation,No differentiation,No differentiation,No differentiation,MTT reduction assay when compared to untreated cells.
203,216,MTT,Cell bank,NA,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,20.000,NA,,NA,,96,EMEM + Ham’s F-12 (1:1),"2mM Glutamine, 1% Non-Essential Amino Acids (NEAA), Penicillin (10 U/ml) and streptomycin (10 U/ml GIBCO Life Technology, Grand Island, NY)",FBS,10%,No differentiation,,No differentiation,No differentiation,No differentiation,No differentiation,No differentiation,MTT reduction assay when compared to untreated cells.
204,217,WST,Cell bank,ATCC,No,No,Vehicle,1-40,recombinant,Human,Monomers,"Yes, single",48.0,20.000,NA,,NA,,,DMEM,1X Penicillin/Streptomycin,FBS,10%,ATRA plus,6.0,DMEN,FBS,10%,BDNF at the final concentration of 50 ng/ml was applied in DMEM without serum for 2 days,"A differentiation protocol from Ref. [25, 26] with several changes was applied. The cells were seeded onto microtiter plates (Greiner Bio-one) coated with poly-L-lysine to allow neurite outgrowth and differentiation. Cells were grown for 1 day prior to differentiation. The next day, 10 μM RA in DMEM with 10% FBS was applied; the medium with RA was changed every day. After a 4-day incubation with RA, BDNF at the final concentration of 50 ng/ml was applied in DMEM without serum for 2 days. After 6 days of differentiation the cells were used for the experiments.",
205,218,WST,Cell bank,ATCC,No,No,Vehicle,1-40,recombinant,Human,Monomers,"Yes, single",48.0,20.000,NA,,NA,,,DMEM,1X Penicillin/Streptomycin,FBS,10%,ATRA plus,6.0,DMEN,FBS,10%,BDNF at the final concentration of 50 ng/ml was applied in DMEM without serum for 2 days,"A differentiation protocol from Ref. [25, 26] with several changes was applied. The cells were seeded onto microtiter plates (Greiner Bio-one) coated with poly-L-lysine to allow neurite outgrowth and differentiation. Cells were grown for 1 day prior to differentiation. The next day, 10 μM RA in DMEM with 10% FBS was applied; the medium with RA was changed every day. After a 4-day incubation with RA, BDNF at the final concentration of 50 ng/ml was applied in DMEM without serum for 2 days. After 6 days of differentiation the cells were used for the experiments.",
206,219,WST,Cell bank,ATCC,No,No,Vehicle,1-42,recombinant,Human,Monomers,"Yes, single",72.0,20.000,NA,,NA,,,DMEM,1X Penicillin/Streptomycin,FBS,10%,ATRA plus,6.0,DMEN,FBS,10%,BDNF at the final concentration of 50 ng/ml was applied in DMEM without serum for 2 days,"A differentiation protocol from Ref. [25, 26] with several changes was applied. The cells were seeded onto microtiter plates (Greiner Bio-one) coated with poly-L-lysine to allow neurite outgrowth and differentiation. Cells were grown for 1 day prior to differentiation. The next day, 10 μM RA in DMEM with 10% FBS was applied; the medium with RA was changed every day. After a 4-day incubation with RA, BDNF at the final concentration of 50 ng/ml was applied in DMEM without serum for 2 days. After 6 days of differentiation the cells were used for the experiments.",
207,220,WST,Cell bank,ATCC,No,No,Vehicle,1-42,recombinant,Human,Monomers,"Yes, single",72.0,20.000,NA,,NA,,,DMEM,1X Penicillin/Streptomycin,FBS,10%,ATRA plus,6.0,DMEN,FBS,10%,BDNF at the final concentration of 50 ng/ml was applied in DMEM without serum for 2 days,"A differentiation protocol from Ref. [25, 26] with several changes was applied. The cells were seeded onto microtiter plates (Greiner Bio-one) coated with poly-L-lysine to allow neurite outgrowth and differentiation. Cells were grown for 1 day prior to differentiation. The next day, 10 μM RA in DMEM with 10% FBS was applied; the medium with RA was changed every day. After a 4-day incubation with RA, BDNF at the final concentration of 50 ng/ml was applied in DMEM without serum for 2 days. After 6 days of differentiation the cells were used for the experiments.",
208,223,MTT,Cell bank,ATCC,No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,25.000,NA,,NA,,,DMEM,1% antibiotics,FBS,10%,No differentiation,,No differentiation,No differentiation,No differentiation,No differentiation,No differentiation,
209,224,MTT,Cell bank,ATCC,No,No,Medium only,1-42,Unclear,Unclear,Oligomers,"Yes, single",24.0,10.000,Until 20,,NA,,96,DMEM F-12 Ham,"25 mM Hepes and NaHCO3 (1:1), 1.0 mM L-glutamine, and antibiotics.",FBS,10%,No differentiation,,No differentiation,No differentiation,No differentiation,No differentiation,No differentiation,
210,225,MTT,Cell bank,European Collection of Cell Cultures,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,10.000,NA,25000,cells/well,,96,EMEM + Ham’s F-12 (1:1),"glutamine (2mM), penicillin/streptomycin, non-essential aminoacids",FBS,10%,No differentiation,,No differentiation,No differentiation,No differentiation,No differentiation,No differentiation,
