Protocol_ID,Results_ID,Assay,Cell_source,Cell_bank,Cell_authentication,Cell_mycoplasma,Control_description,Abeta_sequence,Abeta_origin,Abeta_species,Abeta_aggregation,Single_exposure,Duration_hours,Concentration_uM,Passage_number,N_cells,N_cells_unit,N_cells_volume,Plate_size,Culture_medium,Medium_supplements,Serum_type,Serum_concentration,Diferentiation_method,Diferentiation_duration_days,Differentiation_medium,Differentiation_serum_type,Differentiation_serum_concentration,Differentiation_supplements,Differentiation_protocol,OBS
201,214,MTT,Cell bank,Korean Cell Bank,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,5.000,Unclear,10000,cells/well,,96,DMEM,,fetal bovine serum,10%,No differentiation,,,,,,,
202,"215,216",MTT,Cell bank,ATCC,No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,10.000,Unclear,50000,cells/well,,96,DMEM,glutamine (2mM) and gentamicin (40ug/mL),heat-inactivated fetal calf serum,10%,No differentiation,,,,,,,
203,"217,219",MTT,Cell bank,American Type Tissue Culture,No,No,Vehicle,1-42,Unclear,Unclear,Unclear,"Yes, single",48.0,5.000,Unclear,,,,,DMEM/F12,100 U/mL penicilin and 100 ug/ml streptomycin,heat-inactivated fetal bovine serum,10%,No differentiation,,,,,,,
204,218,MTT,Cell bank,American Type Tissue Culture,No,No,Vehicle,1-42,Unclear,Unclear,Monomers,"Yes, single",48.0,5.000,Unclear,,,,,DMEM/F12,100 U/mL penicilin and 100 ug/ml streptomycin,heat-inactivated fetal bovine serum,10%,No differentiation,,,,,,,
205,220,WST,Unclear,,No,No,Medium only,1-42,Unclear,Human,Fibers,"Yes, single",24.0,16.600,Unclear,6000,cells/well,,96,DMEM/F12,"1% antibiotic-antifungal (streptomycin, penicilin)",fetal bovine serum,10%,No differentiation,,,,,,,
206,221,MTT,Cell bank,Pasteur Institute of Iran,No,No,Unclear,1-42,recombinant,Human,Unclear,"Yes, single",24.0,20.000,Unclear,5000,cells/well,,96,DMEM/F12,"penicilin (100 units/ml), streptomycin (100 ug/ml)",FBS,10%,No differentiation,,,,,,,Abeta preparation is described as a mixture of all aggregation states.
207,222,MTT,Cell bank,"ATCC (Virginia, USA)",No,No,Medium only,1-42,Unclear,Unclear,Oligomers,"Yes, single",24.0,1.000,Unclear,200000,cells,2000.0,,EMEM/F12 (1:1),,fetal bovine serum,10%,ATRA,1.0,,,,,"""and differentiated with RA [retinoic acid] (100 nM) for 24 h.""",
208,223,MTS,Cell bank,"American Tissue Culture Collection (ATCC, Germany)",No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",,1.000,Unclear,,,,,Minimum Essential Medium,"Glutamax, 1% penicilin-streptomycin, 2mM glutamine",FCS,10%,ATRA plus,10.0,,FCS,1%,,"""50 mM retinoic
acid (Sigma-Aldrich) in 1% FCS medium for 5 days, followed
by 20 ng/ml nerve growth factor (NGF; Bio-Techne, Wiesbaden,
Germany) for a further 5 days.""",
209,"224,226",MTS,Unclear,,No,No,Vehicle,1-42,Unclear,Unclear,Unclear,"Yes, single",48.0,10.000,Unclear,20000,cells/100uL/well,,96,DMEM/F12,1% non-essential amino acids and 1% penicillin/streptomycin,fetal bovine serum,10%,No differentiation,,,,,,,
211,227,MTT,Unclear,,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,1.000,Unclear,120000,cells/mL,,,DMEM,"50 U/ml penicilin, 50 ug/ml streptomycin",heat-inactivated calf serum,10%,No differentiation,,,,,,,
212,228,MTT,Cell bank,ATCC,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,1.000,Unclear,120000,cells/mL,,,DMEM,"50 U/ml penicilin, 50 ug/ml streptomycin",heat-inactivated calf serum,10%,No differentiation,,,,,,,
213,229,MTT,Unclear,,No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,0.100,Unclear,30000,cells/well,,96,Eagle's MEM and F12 (Nutrient Mixture F-12 (Ham's)) (1:1),100 U/ml penicilin/streptomycin,FBS,10%,No differentiation,,,,,,,
214,230,MTT,Unclear,,No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,0.500,Unclear,30000,cells/well,,96,Eagle's MEM and F12 (Nutrient Mixture F-12 (Ham's)) (1:1),100 U/ml penicilin/streptomycin,FBS,10%,No differentiation,,,,,,,
215,231,MTT,Unclear,,No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,1.000,Unclear,30000,cells/well,,96,Eagle's MEM and F12 (Nutrient Mixture F-12 (Ham's)) (1:1),100 U/ml penicilin/streptomycin,FBS,10%,No differentiation,,,,,,,
216,232,MTT,Unclear,,No,No,Unclear,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,2.000,Unclear,30000,cells/well,,96,Eagle's MEM and F12 (Nutrient Mixture F-12 (Ham's)) (1:1),100 U/ml penicilin/streptomycin,FBS,10%,No differentiation,,,,,,,
217,233,MTT,Cell bank,cell resource center in the Institute of Basic Medical Sciences (IBMS) of the Chinese Academy of Medical Sciences (CAMS),No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,10.000,Unclear,,,,96,RPMI 1640,"100 U/ml penicilin, 100 U/ml streptomycin",newborn calf serum,10%,No differentiation,,,,,,,
218,234,EZ4U,Unclear,,No,No,Vehicle,1-42,synthetic,Unclear,Oligomers,"Yes, single",48.0,10.000,Unclear,10000,cells/well,,96,DMEM/F12 (1:1),"GlutaMAX, 1% MEM non-essencial aminoacids, 1% mix of antibiotics: penicilin, streptomycin, and antifungal amphotericin",fetal bovine serum,10%,No differentiation,,,,,,,
219,235,WST-8,Cell bank,"ATCC (Manassas, VA, USA)",No,No,Vehicle,1-42,Unclear,Unclear,Oligomers,"Yes, single",48.0,1.250,Unclear,10000,cells/100 uL/ well,,96,DMEM/F12 (1:1),"1% non-essencial MEM aminoacid, 0.5% penicilin (50units/ml)-streptomycin (50ug/ml) solution",fetal bovine serum,15%,No differentiation,,,,,,,
220,236,WST-8,Cell bank,"ATCC (Manassas, VA, USA)",No,No,Vehicle,1-42,Unclear,Unclear,Oligomers,"Yes, single",48.0,2.500,Unclear,10000,cells/100 uL/ well,,96,DMEM/F12 (1:1),"1% non-essencial MEM aminoacid, 0.5% penicilin (50units/ml)-streptomycin (50ug/ml) solution",fetal bovine serum,15%,No differentiation,,,,,,,
221,237,WST-8,Cell bank,"ATCC (Manassas, VA, USA)",No,No,Vehicle,1-42,Unclear,Unclear,Oligomers,"Yes, single",48.0,5.000,Unclear,10000,cells/100 uL/ well,,96,DMEM/F12 (1:1),"1% non-essencial MEM aminoacid, 0.5% penicilin (50units/ml)-streptomycin (50ug/ml) solution",fetal bovine serum,15%,No differentiation,,,,,,,
222,"238,240,241",WST-8,Cell bank,"ATCC (Manassas, VA, USA)",No,No,Vehicle,1-42,Unclear,Unclear,Oligomers,"Yes, single",48.0,10.000,Unclear,10000,cells/100 uL/ well,,96,DMEM/F12 (1:1),"1% non-essencial MEM aminoacid, 0.5% penicilin (50units/ml)-streptomycin (50ug/ml) solution",fetal bovine serum,15%,No differentiation,,,,,,,
223,239,WST-8,Cell bank,"ATCC (Manassas, VA, USA)",No,No,Vehicle,1-42,Unclear,Unclear,Oligomers,"Yes, single",48.0,20.000,Unclear,10000,cells/100 uL/ well,,96,DMEM/F12 (1:1),"1% non-essencial MEM aminoacid, 0.5% penicilin (50units/ml)-streptomycin (50ug/ml) solution",fetal bovine serum,15%,No differentiation,,,,,,,
224,242,MTT,Cell bank,European Collection (ECACC),No,No,Unclear,1-42,Unclear,Unclear,Oligomers,"Yes, single",,0.025,Unclear,,,,24,MEM and Nutrient Mixture Ham's F12,"1% (v/v) penicilin/streptomycin, 1% (v/v) non-essencial aminoacids",fetal bovine serum,10%,No differentiation,,,,,,,"Duration of Abeta exposure: described as 48-60h; differentiation: some experiments are explicitly describing non-differentiated or differentiated, but this one is unclear; Before exposure to Abeta, cells were cultured in various concentrations (reducing) of FBS: ""Twenty four hours after plating,
cells were washed and maintained in 0.5% (v/v) FBS-containing
medium for 18 h. After that cells were replaced with 0.2% (v/v)
FBS-containing medium and then incubated further 48–72 h in
the presence of Aβ1–42 oligomers"""
225,243,MTT,Cell bank,European Collection (ECACC),No,No,Unclear,1-42,Unclear,Unclear,Oligomers,"Yes, single",,0.100,Unclear,,,,24,MEM and Nutrient Mixture Ham's F12,"1% (v/v) penicilin/streptomycin, 1% (v/v) non-essencial aminoacids",fetal bovine serum,10%,No differentiation,,,,,,,"Duration of Abeta exposure: described as 48-60h; differentiation: some experiments are explicitly describing non-differentiated or differentiated, but this one is unclear; Before exposure to Abeta, cells were cultured in various concentrations (reducing) of FBS: ""Twenty four hours after plating,
cells were washed and maintained in 0.5% (v/v) FBS-containing
medium for 18 h. After that cells were replaced with 0.2% (v/v)
FBS-containing medium and then incubated further 48–72 h in
the presence of Aβ1–42 oligomers"""
226,244,MTT,Cell bank,European Collection (ECACC),No,No,Unclear,1-42,Unclear,Unclear,Oligomers,"Yes, single",,1.000,Unclear,,,,24,MEM and Nutrient Mixture Ham's F12,"1% (v/v) penicilin/streptomycin, 1% (v/v) non-essencial aminoacids",fetal bovine serum,10%,No differentiation,,,,,,,"Duration of Abeta exposure: described as 48-60h; differentiation: some experiments are explicitly describing non-differentiated or differentiated, but this one is unclear; Before exposure to Abeta, cells were cultured in various concentrations (reducing) of FBS: ""Twenty four hours after plating,
cells were washed and maintained in 0.5% (v/v) FBS-containing
medium for 18 h. After that cells were replaced with 0.2% (v/v)
FBS-containing medium and then incubated further 48–72 h in
the presence of Aβ1–42 oligomers"""
227,245,MTS,Cell bank,"ATCC (Manassas, VA, USA)",No,No,Vehicle,1-42,Unclear,Unclear,Unclear,"Yes, single",48.0,5.000,Unclear,20000,cells/well,,96,DMEM,"2mM L-glutamine, 50 U/ml penicilin, 50 ug/ml streptomycin",fetal bovine serum,10%,No differentiation,,,,,,,"""Prior to cell treatment,
the complete medium was replaced with reduced-serum medium (2%
fetal bovine serum)."" - exposure to Abeta was also in the serum-reduced culture medium"
228,246,MTT,Cell bank,"ATCC (Manassas, VA, USA)",No,No,Vehicle,1-42,synthetic,Unclear,Oligomers,"Yes, single",24.0,10.000,Unclear,,,,24,RPMI 1640,2 mM glutamine,fetal bovine serum,10%,No differentiation,,,,,,,exposure to Abeta under serum reduced condition (1% FBS)
229,247,MTT,Cell bank,"ATCC (Manassas, VA, USA)",No,No,Vehicle,1-42,Unclear,Human,Unclear,"Yes, single",24.0,0.100,Unclear,20000,cells/well,,96,RPMI 1640,"1% non-essential aminoacids, 1% penicilin/streptomycin",fetal calf serum,10%,No differentiation,,,,,,,
230,248,MTT,Cell bank,"ATCC (Manassas, VA, USA)",No,No,Vehicle,1-42,Unclear,Human,Unclear,"Yes, single",24.0,0.500,Unclear,20000,cells/well,,96,RPMI 1640,"1% non-essential aminoacids, 1% penicilin/streptomycin",fetal calf serum,10%,No differentiation,,,,,,,
231,249,MTT,Cell bank,"ATCC (Manassas, VA, USA)",No,No,Vehicle,1-42,Unclear,Human,Unclear,"Yes, single",24.0,1.000,Unclear,20000,cells/well,,96,RPMI 1640,"1% non-essential aminoacids, 1% penicilin/streptomycin",fetal calf serum,10%,No differentiation,,,,,,,
232,"250,252,253",MTT,Cell bank,"ATCC (Manassas, VA, USA)",No,No,Vehicle,1-42,Unclear,Human,Unclear,"Yes, single",24.0,2.000,Unclear,20000,cells/well,,96,RPMI 1640,"1% non-essential aminoacids, 1% penicilin/streptomycin",fetal calf serum,10%,No differentiation,,,,,,,
233,251,MTT,Cell bank,"ATCC (Manassas, VA, USA)",No,No,Vehicle,1-42,Unclear,Human,Unclear,"Yes, single",24.0,5.000,Unclear,20000,cells/well,,96,RPMI 1640,"1% non-essential aminoacids, 1% penicilin/streptomycin",fetal calf serum,10%,No differentiation,,,,,,,
234,254,MTT,Unclear,,No,No,Vehicle,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,2.000,Unclear,20000,cells/well,,96,RPMI,1% streptomycin,fetal bovine serum,10%,No differentiation,,,,,,,
235,255,MTT,Unclear,,No,No,Medium only,1-42,Unclear,Unclear,Oligomers,"Yes, single",24.0,2.000,Unclear,30000,cells/well,,96,DMEM,"penicilin (50U/mL), streptomycin (50ug/ml)",fetal bovine serum,10%,ATRA,5.0,DMEM,fetal bovine serum,0.5%,"antibiotics, retinoic acid 10uM","To allow
differentiation to a neuronal like phenotype, prior to treatments,
the cell cultures were split in 48-well plates at a density of 30×
103 cells/well, using the same environmental conditions in DMEM
medium with only 0.5% (v/v) fetal bovine serum (FBS), plus
antibiotics, supplemented with retinoic acid 10 μM, and maintained
until differentiated phenotype is clearly morphologically
observed (3–5) days.","Duration of differentiation is given as a range (3-5 days), I extracted the maximum value"
236,256,MTT,Unclear,,No,No,Vehicle,1-42,synthetic,Unclear,Oligomers,"Yes, single",24.0,10.000,Unclear,105,cell/ml,,96,DMEM,"L-glutamine (5mM), penicillin/streptomycin (10,000 U)",heat-inactivated fetal calf serum,10%,No differentiation,,,,,,,
237,257,MTT,Unclear,,No,No,Vehicle,1-42,synthetic,Unclear,Monomers,"Yes, single",48.0,30000.000,Unclear,5000,cells/well,,96,,,,,No differentiation,,,,,,,"cell culture is not described, but there is mention to the suppliers of DMEM and FBS (buth two cell lines are used in "
238,258,MTT,Unclear,,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",48.0,25.000,Unclear,20000,cells/well,,96,,,,,No differentiation,,,,,,,
239,259,MTT,Cell bank,American Type Culture Collection (ATCC),No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",72.0,2.000,Unclear,,,,96,DMEM/F12 (1:1),MEM non-essential aminoacids,fetal bovine serum,15%,No differentiation,,,,,,,
240,260,WST-1,Unclear,,No,No,Medium only,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,10.000,Unclear,30000,cells/well,,48,RPMI-1640,"2 mM glutamine, standard antibiotics (100 U/ml Penicillin, 100 μg/ml Streptomycin)",fetal calf serum,2%,No differentiation,,,,,,,
241,261,MTT,Cell bank,European Collection (ECACC),No,No,Unclear,1-42,Unclear,Unclear,Oligomers,"Yes, single",,0.025,Unclear,,,,24,MEM/F12,"1% (v/v) penicilin/streptomycin, 1% (v/v) non-essencial aminoacids",fetal bovine serum,10%,No differentiation,,,,,,,duration of exposure is described as 48-60 hours
