Protocol_ID,Results_ID,Assay,Cell_source,Cell_bank,Cell_authentication,Cell_mycoplasma,Control_description,Abeta_sequence,Abeta_origin,Abeta_species,Abeta_aggregation,Single_exposure,Duration_hours,Concentration_uM,Passage_number,N_cells,N_cells_unit,N_cells_volume,Plate_size,Culture_medium,Medium_supplements,Serum_type,Serum_concentration,Diferentiation_method,Diferentiation_duration_days,Differentiation_medium,Differentiation_serum_type,Differentiation_serum_concentration,Differentiation_supplements,Differentiation_protocol,OBS
201,214,MTT,Unclear,,No,No,Vehicle,1-42,synthetic,Unclear,Oligomers,"Yes, single",24.0,0.100,,,,,,"DMEM, 10% FBS, 2mmol/L glutamina, 100U/mL penicilina e 100ug/mL streptomicina ",,Fetal Bovine Serum,10%,No differentiation,,,,,,,FB serum reduced to 2% for experiments.
202,215,MTT,Unclear,,No,No,Vehicle,1-42,synthetic,Unclear,Oligomers,"Yes, single",48.0,0.100,,,,,,"DMEM, 10% FBS, 2mmol/L glutamina, 100U/mL penicilina e 100ug/mL streptomicina ",,Fetal Bovine Serum,10%,No differentiation,,,,,,,FB serum reduced to 2% for experiments.
203,216,MTT,Unclear,,No,No,Vehicle,1-42,synthetic,Unclear,Oligomers,"Yes, single",72.0,0.100,,,,,,"DMEM, 10% FBS, 2mmol/L glutamina, 100U/mL penicilina e 100ug/mL streptomicina ",,Fetal Bovine Serum,10%,No differentiation,,,,,,,FB serum reduced to 2% for experiments.
204,217,MTT,Unclear,,No,No,Vehicle,1-42,synthetic,Unclear,Oligomers,"Yes, single",24.0,0.100,,,,,,"DMEM, 10% FBS, 2mmol/L glutamina, 100U/mL penicilina e 100ug/mL streptomicina ",,Fetal Bovine Serum,10%,No differentiation,,,,,,,FB serum reduced to 2% for experiments.
205,218,MTT,Unclear,,No,No,Vehicle,1-42,synthetic,Unclear,Oligomers,"Yes, single",48.0,0.100,,,,,,"DMEM, 10% FBS, 2mmol/L glutamina, 100U/mL penicilina e 100ug/mL streptomicina ",,Fetal Bovine Serum,10%,No differentiation,,,,,,,FB serum reduced to 2% for experiments.
206,219,MTT,Unclear,,No,No,Vehicle,1-42,synthetic,Unclear,Oligomers,"Yes, single",72.0,0.100,,,,,,"DMEM, 10% FBS, 2mmol/L glutamina, 100U/mL penicilina e 100ug/mL streptomicina ",,Fetal Bovine Serum,10%,No differentiation,,,,,,,FB serum reduced to 2% for experiments.
207,220,MTT,Unclear,,No,No,Vehicle,1-42,synthetic,Unclear,Oligomers,"Yes, single",24.0,0.100,,,,,,"DMEM, 10% FBS, 2mmol/L glutamina, 100U/mL penicilina e 100ug/mL streptomicina ",,Fetal Bovine Serum,10%,No differentiation,,,,,,,FB serum reduced to 2% for experiments.
208,221,MTT,Unclear,,No,No,Vehicle,1-42,synthetic,Unclear,Oligomers,"Yes, single",48.0,0.100,,,,,,"DMEM, 10% FBS, 2mmol/L glutamina, 100U/mL penicilina e 100ug/mL streptomicina ",,Fetal Bovine Serum,10%,No differentiation,,,,,,,FB serum reduced to 2% for experiments.
209,222,MTT,Unclear,,No,No,Vehicle,1-42,synthetic,Unclear,Oligomers,"Yes, single",72.0,0.100,,,,,,"DMEM, 10% FBS, 2mmol/L glutamina, 100U/mL penicilina e 100ug/mL streptomicina ",,Fetal Bovine Serum,10%,No differentiation,,,,,,,FB serum reduced to 2% for experiments.
210,223,MTT,Cell bank,NCCS,No,No,Medium only,1-42,synthetic,Unclear,Fibers,"Yes, single",24.0,25.000,The cells were routinely subcultured once every 4 days,10000,cells per well,,96,"DMEM-F12 comprising 20% (v/v) FBS, 100 units/mL penicillin, and 100 μg/mL streptomycin",,Fetal Bovine Serum,20%,No differentiation,,,,,,,Cell Bank:  NCCS
211,224,MTT,Cell bank,NCCS,No,No,Medium only,1-42,synthetic,Unclear,Fibers,"Yes, single",24.0,25.000,The cells were routinely subcultured once every 4 days,10000,cells per well,,96,"DMEM-F12 comprising 20% (v/v) FBS, 100 units/mL penicillin, and 100 μg/mL streptomycin",,Fetal Bovine Serum,20%,No differentiation,,,,,,,Cell Bank:  NCCS
212,225,MTT,Cell bank,ATCC,No,No,Vehicle,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,5.000,"The vial of cells was first thawed at 37◦C, then transferred to a 75 cm2 culture flask containing 12.15 mL of culture medium and cultured for 1 to 2 weeks.  When the cells became confluent, they were dissociated using trypsin-EDTA and sub-cultured at a density of 10^5 cells/well.  The culture medium was changed twice a week.",100000,cells per well,,96,Unclear,,Unclear,Unclear,No differentiation,,,,,,,"Possible medium components are described in 2.1 - materials and chemicals: minimum essential medium (MEM), Dulbecco’s modified Eaglemedium with high glucose (DMEM), glucose-free DMEM, penicillin, streptomycin, fetal bovine serum(FBS),  Ham’s  F12  medium,  0.5%  trypsin,  0.53  M  ethylenediaminetetraacetic  acid  (trypsin-EDTA)and trypan blue) "
213,226,MTT,Unclear,,No,No,Unclear,1-42,synthetic,Unclear,Oligomers,"Yes, single",24.0,1.000,,,,,,Unclear,,Unclear,Unclear,ATRA,6.0,Unclear,Unclear,Unclear,Unclear,,SH-SY5Y cells were differentiated with 10μM retinoic acid
