Protocol_ID,Results_ID,Assay,Cell_source,Cell_bank,Cell_authentication,Cell_mycoplasma,Control_description,Abeta_sequence,Abeta_origin,Abeta_species,Abeta_aggregation,Single_exposure,Duration_hours,Concentration_uM,Passage_number,N_cells,N_cells_unit,N_cells_volume,Plate_size,Culture_medium,Medium_supplements,Serum_type,Serum_concentration,Diferentiation_method,Diferentiation_duration_days,Differentiation_medium,Differentiation_serum_type,Differentiation_serum_concentration,Differentiation_supplements,Differentiation_protocol,OBS
201,214,MTT,Cell bank,DSMZ (ACC 209 and ACC 305),No,No,Vehicle,1-38,synthetic,Unclear,Monomers,"Yes, single",12.0,1.000,,,,,,,,,,No differentiation,,,,,,,
202,215,MTT,Cell bank,DSMZ (ACC 209 and ACC 305),No,No,Vehicle,1-40,synthetic,Unclear,Monomers,"Yes, single",12.0,1.000,,,,,,,,,,No differentiation,,,,,,,
203,216,MTT,Cell bank,DSMZ (ACC 209 and ACC 305),No,No,Vehicle,1-42,synthetic,Unclear,Monomers,"Yes, single",12.0,1.000,,,,,,,,,,No differentiation,,,,,,,
204,217,MTT,Cell bank,DSMZ (ACC 209 and ACC 305),No,No,Vehicle,1-43,synthetic,Unclear,Monomers,"Yes, single",12.0,1.000,,,,,,,,,,No differentiation,,,,,,,
205,218,MTT,Cell bank,DSMZ (ACC 209 and ACC 305),No,No,Vehicle,1-38,synthetic,Unclear,Monomers,"Yes, single",12.0,2.500,,,,,,,,,,No differentiation,,,,,,,
206,219,MTT,Cell bank,DSMZ (ACC 209 and ACC 305),No,No,Vehicle,1-40,synthetic,Unclear,Monomers,"Yes, single",12.0,2.500,,,,,,,,,,No differentiation,,,,,,,
207,220,MTT,Cell bank,DSMZ (ACC 209 and ACC 305),No,No,Vehicle,1-42,synthetic,Unclear,Monomers,"Yes, single",12.0,2.500,,,,,,,,,,No differentiation,,,,,,,
208,221,MTT,Cell bank,DSMZ (ACC 209 and ACC 305),No,No,Vehicle,1-43,synthetic,Unclear,Monomers,"Yes, single",12.0,2.500,,,,,,,,,,No differentiation,,,,,,,
209,222,WST,Unclear,,No,No,Vehicle,1-40,synthetic,Human,Unclear,"Yes, single",120.0,10.000,,15000,cells/well,,96,,,,,No differentiation,,,,,,,BD BioCoat™ Human Fibronectin Cellware 96-well plates
210,223,MTT,Unclear,,No,No,Medium only,1-42,synthetic,Unclear,Fibers,"Yes, single",72.0,5.000,,20000,cells/mL,300.0,24,DMEM,"with penicillin, streptomycin; 5.5mM Glucose",FBS,5% or 10 %,ATRA,8.0,DMEM-F12 media,FBS,1%,10 µM ATRA,"Cells were plated at a concentration of
0.2 million cells/ml in 0.3 ml of F5 media in sterile 24-well
plates coated with 0.1 mg/ml poly-L-lysine (Day 0). On
Days 1 and 4, media on SH-SY5Y cells were replaced with
0.4 ml of DMEM-F12 media containing 1% FBS (F1 media)
and 10 μM retinoic acid. On Day 7, media were switched to
0.4 ml of F1 low glucose media containing 10 μM retinoic
acid. 
",
211,224,MTT,Unclear,,No,No,Medium only,1-42,synthetic,Unclear,Fibers,"Yes, single",72.0,5.000,,20000,cells/mL,300.0,24,DMEM,"with penicillin, streptomycin; 30.5 mM Glucose",FBS,5% or 10 %,ATRA,8.0,DMEM-F12 media,FBS,1%,"10 µM ATRA, 30.5 mM glucose","Cells were plated at a concentration of
0.2 million cells/ml in 0.3 ml of F5 media in sterile 24-well
plates coated with 0.1 mg/ml poly-L-lysine (Day 0). On
Days 1 and 4, media on SH-SY5Y cells were replaced with
0.4 ml of DMEM-F12 media containing 1% FBS (F1 media)
and 10 μM retinoic acid. On Day 7, media were switched to
0.4 ml of F1 low glucose media containing 10 μM retinoic
acid. Finally, on Day 8, glucose solution was added to some
wells to achieve a concentration of 30.5 mM glucose in respective
wells. 
",
220,225,MTT,Donation,,No,No,Vehicle,1-42,synthetic,Unclear,Unclear,"Yes, single",24.0,20.000,,30000,cells/well,,96,DMEM:F12,"l-Glutamine (4 mM; Gibco, Europe), penicillin (200 units/ml; Gibco), streptomycin (200 g/ml; Gibco), MEM non-essential amino acids (100×; Gibco)",FBS,10%,No differentiation,,,,,,,aggregated peptides; synthesized in the solid phase in our laboratory; the synthesis method was reported earlier
221,226,MTT,Donation,,No,No,Vehicle,1-42,synthetic,Unclear,Unclear,"Yes, single",24.0,20.000,,25000,cells/mL,,24,DMEM:F12,"l-Glutamine (4 mM; Gibco, Europe), penicillin (200 units/ml; Gibco), streptomycin (200 g/ml; Gibco), MEM non-essential amino acids (100×; Gibco)",FBS,10%,ATRA plus,8.0,DMEM-F12 media,FBS,10%,"10 µM ATRA, 0.5% DMSO","cells were grown for 8 days on 24-well plates, and
cell differentiation was initiated by the addition of 10 M
RA dissolved in cell culture medium containing 0.5%
DMSO. On the first day, the number of non-differentiated
cells in the wells was 2.5 × 105 cells/ml in suspension.
After 8 days of differentiation, the cells were bound as a
monolayer to the plate, and cell counting gave a number
of 3 × 105 cells/cm2 (corresponding to 6.5 × 105 cells/ml
in suspension). Fig. 1 shows the confluent monolayer of
the cells (Fig. 1C) with long neurites (Fig. 1D).",aggregated peptides; synthesized in the solid phase in our laboratory; the synthesis method was reported earlier
222,227,MTT,Donation,,No,No,Vehicle,1-42,synthetic,Unclear,Unclear,"Yes, single",48.0,20.000,,30000,cells/well,,96,DMEM:F12,"l-Glutamine (4 mM; Gibco, Europe), penicillin (200 units/ml; Gibco), streptomycin (200 g/ml; Gibco), MEM non-essential amino acids (100×; Gibco)",FBS,10%,No differentiation,,,,,,,aggregated peptides; synthesized in the solid phase in our laboratory; the synthesis method was reported earlier
223,228,MTT,Donation,,No,No,Vehicle,1-42,synthetic,Unclear,Unclear,"Yes, single",48.0,20.000,,25000,cells/mL,,24,DMEM:F12,"l-Glutamine (4 mM; Gibco, Europe), penicillin (200 units/ml; Gibco), streptomycin (200 g/ml; Gibco), MEM non-essential amino acids (100×; Gibco)",FBS,10%,ATRA plus,8.0,DMEM-F12 media,FBS,10%,"10 µM ATRA, 0.5% DMSO","cells were grown for 8 days on 24-well plates, and
cell differentiation was initiated by the addition of 10 M
RA dissolved in cell culture medium containing 0.5%
DMSO. On the first day, the number of non-differentiated
cells in the wells was 2.5 × 105 cells/ml in suspension.
After 8 days of differentiation, the cells were bound as a
monolayer to the plate, and cell counting gave a number
of 3 × 105 cells/cm2 (corresponding to 6.5 × 105 cells/ml
in suspension). Fig. 1 shows the confluent monolayer of
the cells (Fig. 1C) with long neurites (Fig. 1D).",aggregated peptides; synthesized in the solid phase in our laboratory; the synthesis method was reported earlier
