Protocol_ID,Results_ID,Assay,Cell_source,Cell_bank,Cell_authentication,Cell_mycoplasma,Control_description,Abeta_sequence,Abeta_origin,Abeta_species,Abeta_aggregation,Single_exposure,Duration_hours,Concentration_uM,Passage_number,N_cells,N_cells_unit,N_cells_volume,Plate_size,Culture_medium,Medium_supplements,Serum_type,Serum_concentration,Diferentiation_method,Diferentiation_duration_days,Differentiation_medium,Differentiation_serum_type,Differentiation_serum_concentration,Differentiation_supplements,Differentiation_protocol,OBS
201,214,MTT,Unclear,,No,No,Vehicle,1-42,Unclear,Unclear,Unclear,"Yes, single",24.0,100.000,"Human neuroblastoma SH-SY5Y cells were routinely cultured in DMEM medium containing 10% fetal bovine serum, 100 µg/mL penicillin and streptomycin.",80000,cells/mL,,96,DMEM medium containing 10% fetal bovine serum,100µg/mL penicillin and streptomycin,Serum free Optium™ medium,Not reported,No differentiation,,,,,,,
202,221,WST,Donation,,No,No,Vehicle,1-42,synthetic,Unclear,Monomers,"Yes, single",48.0,20.000,"After 24–48 h of culturing, the cells (which had reached approximately 80% confluence) were washed three times with a culture medium and thereafter incubated for 48 h in Dulbecco's MEM medium without serum in the presence of different concentrations of Aβ1–42",10000,cells/well,200.0,96,"1:1(v/v) mixture of DMEM medium and Ham's F-12 nutrient mixture supplemented with 15% fetal bovine serum, 1% non-essential MEM amino acid",1% penicillin (5000 μg/ml)-streptomycin (5000 IU/ml) solution,OPTI-MEM Gibco BRL,Not reported,No differentiation,,,,,,,"For this experiment, cell attachment was required; hence, the plates were pretreated overnight with 50 μg/ml fibronectin, which was refined from human plasma (Wako Pure Chemical Industries, Ltd.)."
203,226,MTT,Cell bank,"American Type Tissue Culture (Manassas, VA, USA)",No,No,Medium only,1-42,synthetic,Human,Oligomers,"Yes, single",48.0,100.000,"Cells were trypsinized and seeded onto 12-well plates with 2 × 105 cells/well. After the cells attached, they were rinsed once with PBS and the media was replaced with phenol red-free and serum-free DMEM.",300000,cells/well,,6,DMEM,"12% heat-inactivated FBS, 100 U/mL penicillin and 100 μg/mL streptomycin",Phenol red-free and serum-free DMEM,Not reported,No differentiation,,,,,,,
204,227,MTT,Cell bank,"American Type Tissue Culture (Manassas, VA, USA)",No,No,Medium only,1-40,synthetic,Human,Oligomers,"Yes, single",24.0,50.000, The medium was changed after 48 h (Zheng et al. 2012). The cells were plated in 96-well plates at a density 5 × 103 cells/well in 100 μl of medium,5000,cells/well,100.0,96,DMEM/F-12 medium,"2 mM L-glutamine, 10% heat-inactivated fetal bovine serum (FBS; Gibco, USA), 1.5 g/L sodium bicarbonate, 0.1 mM nonessential amino acids, and 1.0 mM sodium pyruvate, 50 U/ml penicillin, 50 μg/ml streptomycin",DMSO,Not reported,ATRA,5.0,DMEM/F-12 medium,"all-trans retinoic acid (Sigma-Aldrich, St. Louis, MO, USA)",10uM,"2 mM L-glutamine, 10% heat-inactivated fetal bovine serum (FBS; Gibco, USA), 1.5 g/L sodium bicarbonate, 0.1 mM nonessential amino acids, and 1.0 mM sodium pyruvate, 50 U/ml penicillin, 50 μg/ml streptomycin","For differentiation, cells were treated with 10 μM all-trans retinoic acid (Sigma-Aldrich, St. Louis, MO, USA) for 5 days. The medium was changed after 48 h (Zheng et al. 2012).",
205,233,MTT,Donation,,No,No,Vehicle,1-42,synthetic,Unclear,Oligomers,"Yes, single",24.0,100.000,"After overnight seeding of SH-SY5Y cells in 6-well plates (106/well) (Invitrogen), the SH-SY5Y cells were treated with varying doses (0.1, 0.25, 0.5, 1, 2.5, 5, 10 μM) of oligomer form of Aβ42",20000,cells/well,,96,Dulbecco's modified Eagle's medium,10% fetal bovine serum and 2 mM l-glutamine and 1% penicillin/streptomycin,Not reported,Not reported,No differentiation,,,,,,,
206,240,MTT,Cell bank,"A.T.C.C., Manassas, VA",No,No,Vehicle,1-42,Unclear,Unclear,Oligomers,"Yes, single",24.0,200.000,Grown until 80% confluence for a maximum of 20 passages,2000000,cells,200.0,96,DMEM F-12 Ham with 25 mM HEPES and NaHCO3,10% FBS 1.0 mM glutamine and antibiotics,PBS,100 μL per well,ATRA,10.0,DMSO (0.01% v/v),retinoic acid (RA),10 μM ,,Neuronal differentiation was induced by adding to the culture media 10 μM retinoic acid (RA) dissolved in DMSO (0.01% v/v) that was renewed every two days. ,
207,244,MTT,Cell bank,"A.T.C.C., Manassas, VA",No,No,Vehicle,1-42,Unclear,Unclear,Oligomers,"Yes, single",24.0,200.000,Grown until 80% confluence for a maximum of 20 passages,2000000,cells,200.0,96,DMEM F-12 Ham with 25 mM HEPES and NaHCO3,10% FBS 1.0 mM glutamine and antibiotics,PBS,100 μL per well,No differentiation,,,,,,,
208,258,MTT,Cell bank,"A.T.C.C., Manassas, VA",No,No,Vehicle,1-40,Unclear,Unclear,Oligomers,"Yes, single",24.0,200.000,Grown until 80% confluence for a maximum of 20 passages,2000000,cells,200.0,96,DMEM F-12 Ham with 25 mM HEPES and NaHCO3,10% FBS 1.0 mM glutamine and antibiotics,PBS,100 μL per well,ATRA,10.0,DMSO (0.01% v/v),retinoic acid (RA),10 μM ,,Neuronal differentiation was induced by adding to the culture media 10 μM retinoic acid (RA) dissolved in DMSO (0.01% v/v) that was renewed every two days. ,
209,259,MTT,Cell bank,"A.T.C.C., Manassas, VA",No,No,Vehicle,1-40,Unclear,Unclear,Oligomers,"Yes, single",24.0,200.000,Grown until 80% confluence for a maximum of 20 passages,2000000,cells,200.0,96,DMEM F-12 Ham with 25 mM HEPES and NaHCO3,10% FBS 1.0 mM glutamine and antibiotics,PBS,100 μL per well,No differentiation,,,,,,,
210,260,MTT,Cell bank,"European Collection of Cell Cultures, Porton Down, U.K.",No,No,Vehicle,1-40,Unclear,Unclear,Oligomers,"Yes, single",24.0,100.000,Cells were used for a maximum of 20 passages.,15000,cells/well,100.0,96,Dulbecco's MEM/Nutrient Mix F-12 (1:1),"1% penicillin-streptomycin, 15% fetal calf serum, 1% minimal essential medium amino acid supplement, and 2 mM freshly prepared glutamine",OPTI-MEM (Gibco BRL),100 μL per well,No differentiation,,,,,,,"fresh

"
