Protocol_ID,Results_ID,Assay,Cell_source,Cell_bank,Cell_authentication,Cell_mycoplasma,Control_description,Abeta_sequence,Abeta_origin,Abeta_species,Abeta_aggregation,Single_exposure,Duration_hours,Concentration_uM,Passage_number,N_cells,N_cells_unit,N_cells_volume,Plate_size,Culture_medium,Medium_supplements,Serum_type,Serum_concentration,Diferentiation_method,Diferentiation_duration_days,Differentiation_medium,Differentiation_serum_type,Differentiation_serum_concentration,Differentiation_supplements,Differentiation_protocol,OBS
201,214,MTT,Cell bank,"European Collection of Authenticated Cell Cultures (Porton Down, UK)",No,No,Vehicle,1-42,synthetic,Human,Monomers,"Yes, single",24.0,0.500,Not informed,40000,cells/well,100.0,96,DMEM/F12 containing GlutaMAX-I,,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"SH-SY5Y human neuroblastoma cells (ECACC No. 94030304). Once the cells were 80% confluent, they were used forexperimental purpose; immediately, the medium was replacedwith fresh Advanced DMEM/F12 containing GlutaMAXTM-I supple-mented with 3% FBS. The MTT reagent (15 uL) was then added per well, and the cells were incubated for an additional 4 h. The formazan crystalswere solubilized by adding 100 L/well of solubilizer (10% sodiumdodecyl sulphate (SDS), 3.2 mM HCl) and the plates were placedovernight at 37◦C. The absorbance (A570) of the resulting coloredsolution was measured with a microplate reader (iMark, Bio-Rad)."
202,215,MTT,Cell bank,"European Collection of Authenticated Cell Cultures (Porton Down, UK)",No,No,Vehicle,1-42,synthetic,Human,Monomers,"Yes, single",24.0,1.000,Not informed,40000,cells/well,100.0,96,DMEM/F12 containing GlutaMAX-I,,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"SH-SY5Y human neuroblastoma cells (ECACC No. 94030304). Once the cells were 80% confluent, they were used forexperimental purpose; immediately, the medium was replacedwith fresh Advanced DMEM/F12 containing GlutaMAXTM-I supple-mented with 3% FBS. The MTT reagent (15 uL) was then added per well, and the cells were incubated for an additional 4 h. The formazan crystalswere solubilized by adding 100 L/well of solubilizer (10% sodiumdodecyl sulphate (SDS), 3.2 mM HCl) and the plates were placedovernight at 37◦C. The absorbance (A570) of the resulting coloredsolution was measured with a microplate reader (iMark, Bio-Rad)."
203,216,MTT,Cell bank,"European Collection of Authenticated Cell Cultures (Porton Down, UK)",No,No,Vehicle,1-42,synthetic,Human,Monomers,"Yes, single",24.0,2.000,Not informed,40000,cells/well,100.0,96,DMEM/F12 containing GlutaMAX-I,,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"SH-SY5Y human neuroblastoma cells (ECACC No. 94030304). Once the cells were 80% confluent, they were used forexperimental purpose; immediately, the medium was replacedwith fresh Advanced DMEM/F12 containing GlutaMAXTM-I supple-mented with 3% FBS. The MTT reagent (15 uL) was then added per well, and the cells were incubated for an additional 4 h. The formazan crystalswere solubilized by adding 100 L/well of solubilizer (10% sodiumdodecyl sulphate (SDS), 3.2 mM HCl) and the plates were placedovernight at 37◦C. The absorbance (A570) of the resulting coloredsolution was measured with a microplate reader (iMark, Bio-Rad)."
204,217,MTT,Cell bank,"European Collection of Authenticated Cell Cultures (Porton Down, UK)",No,No,Vehicle,1-42,synthetic,Human,Monomers,"Yes, single",24.0,5.000,Not informed,40000,cells/well,100.0,96,DMEM/F12 containing GlutaMAX-I,,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"SH-SY5Y human neuroblastoma cells (ECACC No. 94030304). Once the cells were 80% confluent, they were used forexperimental purpose; immediately, the medium was replacedwith fresh Advanced DMEM/F12 containing GlutaMAXTM-I supple-mented with 3% FBS. The MTT reagent (15 uL) was then added per well, and the cells were incubated for an additional 4 h. The formazan crystalswere solubilized by adding 100 L/well of solubilizer (10% sodiumdodecyl sulphate (SDS), 3.2 mM HCl) and the plates were placedovernight at 37◦C. The absorbance (A570) of the resulting coloredsolution was measured with a microplate reader (iMark, Bio-Rad)."
205,218,MTT,Cell bank,"European Collection of Authenticated Cell Cultures (Porton Down, UK)",No,No,Vehicle,1-42,synthetic,Human,Monomers,"Yes, single",24.0,10.000,Not informed,40000,cells/well,100.0,96,DMEM/F12 containing GlutaMAX-I,,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"SH-SY5Y human neuroblastoma cells (ECACC No. 94030304). Once the cells were 80% confluent, they were used forexperimental purpose; immediately, the medium was replacedwith fresh Advanced DMEM/F12 containing GlutaMAXTM-I supple-mented with 3% FBS. The MTT reagent (15 uL) was then added per well, and the cells were incubated for an additional 4 h. The formazan crystalswere solubilized by adding 100 L/well of solubilizer (10% sodiumdodecyl sulphate (SDS), 3.2 mM HCl) and the plates were placedovernight at 37◦C. The absorbance (A570) of the resulting coloredsolution was measured with a microplate reader (iMark, Bio-Rad)."
206,219,MTT,Cell bank,"European Collection of Authenticated Cell Cultures (Porton Down, UK)",No,No,Vehicle,1-42,synthetic,Human,Monomers,"Yes, single",24.0,20.000,Not informed,40000,cells/well,100.0,96,DMEM/F12 containing GlutaMAX-I,,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"SH-SY5Y human neuroblastoma cells (ECACC No. 94030304). Once the cells were 80% confluent, they were used forexperimental purpose; immediately, the medium was replacedwith fresh Advanced DMEM/F12 containing GlutaMAXTM-I supple-mented with 3% FBS. The MTT reagent (15 uL) was then added per well, and the cells were incubated for an additional 4 h. The formazan crystalswere solubilized by adding 100 L/well of solubilizer (10% sodiumdodecyl sulphate (SDS), 3.2 mM HCl) and the plates were placedovernight at 37◦C. The absorbance (A570) of the resulting coloredsolution was measured with a microplate reader (iMark, Bio-Rad)."
207,220,MTT,Cell bank,"European Collection of Authenticated Cell Cultures (Porton Down, UK)",No,No,Vehicle,1-43,synthetic,Human,Monomers,"Yes, single",24.0,0.500,Not informed,40000,cells/well,100.0,96,DMEM/F12 containing GlutaMAX-I,,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"SH-SY5Y human neuroblastoma cells (ECACC No. 94030304). Once the cells were 80% confluent, they were used forexperimental purpose; immediately, the medium was replacedwith fresh Advanced DMEM/F12 containing GlutaMAXTM-I supple-mented with 3% FBS. The MTT reagent (15 uL) was then added per well, and the cells were incubated for an additional 4 h. The formazan crystalswere solubilized by adding 100 L/well of solubilizer (10% sodiumdodecyl sulphate (SDS), 3.2 mM HCl) and the plates were placedovernight at 37◦C. The absorbance (A570) of the resulting coloredsolution was measured with a microplate reader (iMark, Bio-Rad)."
208,221,MTT,Cell bank,"European Collection of Authenticated Cell Cultures (Porton Down, UK)",No,No,Vehicle,1-43,synthetic,Human,Monomers,"Yes, single",24.0,1.000,Not informed,40000,cells/well,100.0,96,DMEM/F12 containing GlutaMAX-I,,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"SH-SY5Y human neuroblastoma cells (ECACC No. 94030304). Once the cells were 80% confluent, they were used forexperimental purpose; immediately, the medium was replacedwith fresh Advanced DMEM/F12 containing GlutaMAXTM-I supple-mented with 3% FBS. The MTT reagent (15 uL) was then added per well, and the cells were incubated for an additional 4 h. The formazan crystalswere solubilized by adding 100 L/well of solubilizer (10% sodiumdodecyl sulphate (SDS), 3.2 mM HCl) and the plates were placedovernight at 37◦C. The absorbance (A570) of the resulting coloredsolution was measured with a microplate reader (iMark, Bio-Rad)."
209,222,MTT,Cell bank,"European Collection of Authenticated Cell Cultures (Porton Down, UK)",No,No,Vehicle,1-43,synthetic,Human,Monomers,"Yes, single",24.0,2.000,Not informed,40000,cells/well,100.0,96,DMEM/F12 containing GlutaMAX-I,,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"SH-SY5Y human neuroblastoma cells (ECACC No. 94030304). Once the cells were 80% confluent, they were used forexperimental purpose; immediately, the medium was replacedwith fresh Advanced DMEM/F12 containing GlutaMAXTM-I supple-mented with 3% FBS. The MTT reagent (15 uL) was then added per well, and the cells were incubated for an additional 4 h. The formazan crystalswere solubilized by adding 100 L/well of solubilizer (10% sodiumdodecyl sulphate (SDS), 3.2 mM HCl) and the plates were placedovernight at 37◦C. The absorbance (A570) of the resulting coloredsolution was measured with a microplate reader (iMark, Bio-Rad)."
210,223,MTT,Cell bank,"European Collection of Authenticated Cell Cultures (Porton Down, UK)",No,No,Vehicle,1-43,synthetic,Human,Monomers,"Yes, single",24.0,5.000,Not informed,40000,cells/well,100.0,96,DMEM/F12 containing GlutaMAX-I,,Fetal Bovine Serum,10%,No differentiation,0.0,NA,NA,NA,NA,NA,"SH-SY5Y human neuroblastoma cells (ECACC No. 94030304). Once the cells were 80% confluent, they were used forexperimental purpose; immediately, the medium was replacedwith fresh Advanced DMEM/F12 containing GlutaMAXTM-I supple-mented with 3% FBS. The MTT reagent (15 uL) was then added per well, and the cells were incubated for an additional 4 h. The formazan crystalswere solubilized by adding 100 L/well of solubilizer (10% sodiumdodecyl sulphate (SDS), 3.2 mM HCl) and the plates were placedovernight at 37◦C. The absorbance (A570) of the resulting coloredsolution was measured with a microplate reader (iMark, Bio-Rad)."
