Results_ID,Fig_ID,control_mean,control_variation,control_n,treated_mean,treated_variation,treated_n,variation,n_definition,OBS_n,OBS_general,Protocol,Date_results
214,242,100.000,,3,49.910,0.468,3,SEM,independent experiments ,"""at least three independent experiments""",,201,4/18/2022
217,243,100.000,,3,48.300,0.733,3,SEM,independent experiments ,"""at least three independent experiments""",,204,4/20/2022
219,244,100.000,4.984,4,81.210,3.812,4,SEM,independent experiments ,,treatment with 1uM Abeta,205,4/22/2022
220,244,100.000,4.984,4,68.610,3.518,4,SEM,independent experiments,,"treatment with 2uM Abeta
",206,4/22/2022
221,244,100.000,4.984,4,54.830,3.812,4,SEM,independent experiments,,treatment with 5uM Abeta,207,4/22/2022
222,245,100.000,5.155,4,53.530,2.753,4,SEM,independent experiments,,,207,4/22/2022
223,246,100.000,7.862,3,26.920,2.611,3,SD,not defined,"apenas mencionam na legend da Fig ""n=3"". Nao ha qualquer outra informação sobre 'n' ao longo do artigo (incluindo supp methods)]
",,208,4/27/2022
229,247,100.000,3.793,3,59.420,2.845,3,SD,not defined,"""Experiment was performed in triplicate""",,209,5/6/2022
224,248,100.000,4.685,3,58.190,2.135,3,SD,independent experiments,"""Data are the mean ± SD of three
independent experiments""
",,210,5/6/2022
230,249,100.000,,3,64.710,10.000,3,SEM,independent experiments,Data shown are expressed as  from three independent experiments  percentage of control values with each experimental value being the average of six trials,nao apresenta dado de variação do controle,211,5/20/2022
231,250,100.000,,3,64.820,2.249,3,SEM,independent experiments,three independent experiments  percentage of control values with each experimental value being the average of six trials,nao apresenta dado de variação do controle,212,5/20/2022
232,251,100.000,,5,77.830,8.490,5,SEM,five different experiments,"each experiment performed in triplicate
","nao apresenta dado de variação do controle
",213,5/27/2022
233,252,100.000,0.000,5,63.000,7.935,5,SEM,All data are presented as means ± SEM of five or more independent experiment.,,tem barra de erro do control mas e tao pequena que o gsys atribuiu zero,217,6/10/2022
234,253,100.000,,3,96.380,0.000,3,SEM,"x ± SEM, n = 3, %",,tem barra de erro mas e tao pequena que nao consegui extrair com gsys,218,6/10/2022
236,253,100.000,,3,93.450,0.000,3,SEM,"x ± SEM, n = 3, %",,tem barra de erro mas e tao pequena que nao consegui extrair com gsys,221,6/10/2022
237,253,100.000,,3,92.960,2.057,3,SEM,"x ± SEM, n = 3, %",,,222,6/10/2022
238,253,100.000,,3,91.500,0.000,3,SEM,"x ± SEM, n = 3, %",,tem barra de erro mas e tao pequena que nao consegui extrair com gsys,223,6/10/2022
239,253,100.000,,3,95.090,0.000,3,SEM,"x ± SEM, n = 3, %",,tem barra de erro mas e tao pequena que nao consegui extrair com gsys,224,6/10/2022
240,253,100.000,,3,93.710,0.000,3,SEM,"x ± SEM, n = 3, %",,tem barra de erro mas e tao pequena que nao consegui extrair com gsys,225,6/10/2022
241,253,100.000,,3,91.310,0.000,3,SEM,"x ± SEM, n = 3, %",,tem barra de erro mas e tao pequena que nao consegui extrair com gsys,226,6/10/2022
242,253,100.000,,3,87.540,0.000,3,SEM,"x ± SEM, n = 3, %",,tem barra de erro mas e tao pequena que nao consegui extrair com gsys,227,6/10/2022
243,253,100.000,,3,92.040,0.000,3,SEM,"x ± SEM, n = 3, %",,tem barra de erro mas e tao pequena que nao consegui extrair com gsys,228,6/10/2022
244,253,100.000,,3,90.330,0.000,3,SEM,"x ± SEM, n = 3, %",,tem barra de erro mas e tao pequena que nao consegui extrair com gsys,229,6/10/2022
245,253,100.000,,3,85.870,0.000,3,SEM,"x ± SEM, n = 3, %",,tem barra de erro mas e tao pequena que nao consegui extrair com gsys,230,6/10/2022
246,253,100.000,,3,83.130,2.059,3,SEM,"x ± SEM, n = 3, %",,,231,6/10/2022
247,253,100.000,,3,89.350,0.686,3,SEM,"x ± SEM, n = 3, %",,,232,6/13/2022
248,253,100.000,,3,85.580,0.000,3,SEM,"x ± SEM, n = 3, %",,tem barra de erro mas e tao pequena que nao consegui extrair com gsys,233,6/13/2022
249,253,100.000,,3,80.780,0.000,3,SEM,"x ± SEM, n = 3, %",,tem barra de erro mas e tao pequena que nao consegui extrair com gsys,234,6/13/2022
251,253,100.000,,3,76.660,1.029,3,SEM,"x ± SEM, n = 3, %",,,235,6/13/2022
