Results_ID,Fig_ID,control_mean,control_variation,control_n,treated_mean,treated_variation,treated_n,variation,n_definition,OBS_n,OBS_general,Protocol,Date_results
214,242,0.645,0.041,,0.672,0.044,,SEM,,The number of replicates is not clear in this paper,,201,22/3/2022
215,242,0.645,0.041,,0.707,0.027,,SEM,,The number of replicates is not clear in this paper,,202,22/3/2022
216,242,0.645,0.041,,0.712,0.078,,SEM,,The number of replicates is not clear in this paper,,203,22/3/2022
217,242,0.645,0.041,,0.688,0.088,,SEM,,The number of replicates is not clear in this paper,,204,22/3/2022
218,243,101.300,6.017,3,65.040,4.168,3,SD,,The assay was repeated in triplicate,,205,23/3/2022
219,244,1.002,0.022,2,0.745,0.003,2,Unclear,Four replicate,"Four replicate wells were used for each sample and control. Each
experiment was repeated twice, and the average value was calculated",,206,25/3/2022
220,244,1.009,0.003,2,0.628,0.031,2,Unclear,Four replicate,"Four replicate wells were used for each sample and control. Each
experiment was repeated twice, and the average value was calculated",,207,25/3/2022
221,245,1.002,0.006,2,0.547,0.012,2,Unclear,Four replicate,"Four replicate wells were used for each sample and control. Each
experiment was repeated twice, and the average value was calculated",,208,25/3/2022
222,245,1.004,0.023,2,0.534,0.025,2,Unclear,Four replicate,"Four replicate wells were used for each sample and control. Each
experiment was repeated twice, and the average value was calculated",,209,25/3/2022
223,246,90.993,2.197,4,99.630,3.021,4,SEM,, 4 independent experiments.,,210,8/4/2022
224,246,90.993,2.197,4,101.000,2.197,4,SEM,, 4 independent experiments.,,211,8/4/2022
225,246,90.993,2.197,4,99.290,2.471,4,SEM,, 4 independent experiments.,,212,8/4/2022
226,246,90.993,2.197,4,99.810,2.471,4,SEM,, 4 independent experiments.,,213,8/4/2022
227,246,90.993,2.197,4,99.500,3.021,4,SEM,, 4 independent experiments.,,214,8/4/2022
228,246,90.993,2.197,4,99.470,1.923,4,SEM,, 4 independent experiments.,,215,8/4/2022
229,246,90.993,2.197,4,101.400,2.197,4,SEM,, 4 independent experiments.,,216,8/4/2022
230,246,90.993,2.197,4,100.500,2.744,4,SEM,, 4 independent experiments.,,217,8/4/2022
231,247,99.790,,3,65.080,0.430,3,SEM,quadruplicate,"The data represent mean±SE of three independent
experiments, with each point done in quadruplicate",,219,8/4/2022
232,247,99.790,,3,55.670,,3,SEM,quadruplicate,"The data represent mean±SE of three independent
experiments, with each point done in quadruplicate",,220,18/4/2022
233,247,99.790,,3,51.110,,3,SEM,quadruplicate,"The data represent mean±SE of three independent
experiments, with each point done in quadruplicate",,221,18/4/2022
234,247,99.790,,3,45.360,0.160,3,SEM,quadruplicate,"The data represent mean±SE of three independent
experiments, with each point done in quadruplicate",,222,18/4/2022
235,248,99.620,0.323,3,65.080,0.430,3,SEM,quadruplicate,"The data represent mean±SE of three independent
experiments, with each point done in quadruplicate",,223,18/4/2022
236,249,100.100,2.110,3,44.220,0.140,3,SEM,quadruplicate,"The data represent mean±SE of three independent
experiments, with each point done in quadruplicate",,224,18/4/2022
237,250,99.660,2.759,2,42.410,2.069,2,SD,triplets, The same assay was performed in triplets,,225,27/4/2022
238,251,100.300,6.922,2,57.300,2.768,2,SD,triplets, The same assay was performed in triplets,,226,27/4/2022
239,252,100.000,5.191,6,66.000,2.100,6,SD,,,,227,27/4/2022
240,253,1.124,0.019,3,1.093,0.050,3,SEM,, three independent experiments,,228,27/4/2022
241,253,1.124,0.019,3,0.981,0.058,3,SEM,, three independent experiments,,229,2/5/2022
242,253,1.124,0.019,3,0.908,0.019,3,SEM,, three independent experiments,,230,2/5/2022
243,253,1.124,0.019,3,0.452,0.019,3,SEM,, three independent experiments,,231,2/5/2022
244,253,1.124,0.019,3,0.429,0.015,3,SEM,, three independent experiments,,232,2/5/2022
245,253,1.124,0.019,3,0.317,0.010,3,SEM,, three independent experiments,,234,2/5/2022
246,253,1.124,0.019,3,0.282,0.008,3,SEM,, three independent experiments,,235,2/5/2022
247,254,100.000,,,57.020,7.303,,Unclear,,,,236,2/5/2022
248,255,100.000,,,60.290,1.453,,Unclear,,,,237,2/5/2022
249,256,100.000,,,58.030,0.241,,Unclear,,,,238,2/5/2022
250,257,99.920,0.000,3,99.240,0.228,3,SD,,three independent experiments,,239,3/5/2022
251,257,99.920,0.000,3,95.590,0.684,3,SD,,three independent experiments,,240,3/5/2022
252,257,99.920,0.000,3,93.080,0.456,3,SD,,three independent experiments,,241,3/5/2022
253,257,99.920,0.000,3,87.600,0.684,3,SD,,three independent experiments,,242,3/5/2022
254,257,99.920,0.000,3,82.590,0.228,3,SD,,three independent experiments,,243,3/5/2022
255,257,99.920,0.000,3,79.160,0.684,3,SD,,three independent experiments,,244,3/5/2022
256,257,99.920,0.000,3,76.430,0.228,3,SD,,three independent experiments,,245,3/5/2022
257,257,99.920,0.000,3,67.300,0.228,3,SD,,three independent experiments,,246,3/5/2022
258,258,99.580,1.257,3,64.710,2.199,3,SD,,three independent experiments,,247,3/5/2022
259,259,98.290,9.692,4,42.680,17.680,4,SEM,,n= 4-5,,248,3/5/2022
260,260,100.000,,4,95.050,3.343,4,SD,independent experiments,"more than four independent experiments conducted on different days.
",,249,6/5/2022
261,260,100.000,,4,71.970,3.340,4,SD,independent experiments,"more than four independent experiments conducted on different days.
",,250,6/5/2022
262,260,100.000,,4,60.450,3.083,4,SD,independent experiments,"more than four independent experiments conducted on different days.
",,251,6/5/2022
