Results_ID,Fig_ID,control_mean,control_variation,control_n,treated_mean,treated_variation,treated_n,variation,n_definition,OBS_n,OBS_general,Protocol,Date_results
322,350,100.400,1.252,5,102.300,1.256,5,SEM,Data shown represent the mean ±SE of n=5 experiments,,,342,4/13/2022
323,351,100.400,1.252,5,96.270,2.083,5,SEM,Data shown represent the mean ±SE of n=5 experiments,,,343,4/13/2022
324,352,100.400,1.252,5,94.690,1.246,5,SEM,Data shown represent the mean ±SE of n=5 experiments,,,344,4/13/2022
325,353,100.400,1.252,5,95.700,4.384,5,SEM,Data shown represent the mean ±SE of n=5 experiments,,,345,4/13/2022
326,354,99.740,1.047,5,82.860,2.298,5,SEM,Data shown represent the mean ±SE of n=5 experiments,,,346,4/13/2022
327,356,99.740,1.047,5,71.300,1.458,5,SEM,Data shown represent the mean ±SE of n=5 experiments,,,347,4/13/2022
328,357,99.740,1.047,5,72.090,3.340,5,SEM,Data shown represent the mean ±SE of n=5 experiments,,,348,4/13/2022
330,355,99.740,1.047,5,71.630,1.671,5,SEM,Data shown represent the mean ±SE of n=5 experiments,,,349,4/13/2022
214,242,100.500,,4,97.010,,4,,Parameter logistic standard curve,Four parameter logistic standard curves of beta-amyloid1−42,,201,3/17/2022
221,249,99.130,5.738,7,70.970,8.347,7,SEM,Wells,"Briefly, 1 × 104 cells/well were seeded on a 96-well flat-bottom plate at 37 °C overnight.",,202,3/17/2022
226,254,100.000,0.290,3,57.390,11.010,3,SD,Independent Experiments,Cell viability was determined with the MTT assay. Data are means ± SD from independent experiments (n = 3).,,203,3/21/2022
227,255,100.900,3.986,3,91.400,3.188,3,SEM,Independent Experiments,Values are represented as Mean ± SEM of three separate experiments.,,204,3/21/2022
233,261,100.300,3.349,3,99.560,5.043,3,SEM,Plates,SH-SY5Y cells were cultured at a density 2 × 104 cells per well in growth medium for 12 h in 96-well plates (n=3),,205,3/21/2022
240,268,100.000,,3,58.880,8.519,3,SD,Independent experiments, The reported values (means ± s.d.) are representative of three independent experiments carried out in triplicate.,,206,3/22/2022
244,272,100.000,,3,39.840,10.270,3,SD,Independent experiments, The reported values (means ± s.d.) are representative of three independent experiments carried out in triplicate.,,207,3/22/2022
258,286,100.000,,4,83.860,3.158,4,SD,Independent experiments,"The reported values (means ± s.d.) are representative of four independent experiments, each performed in triplicate.",,208,3/22/2022
259,287,100.000,,4,59.650,2.807,4,SD,Independent experiments,"The reported values (means ± s.d.) are representative of four independent experiments, each performed in triplicate.",,209,3/22/2022
260,288,100.000,,6,89.570,3.697,6,SD,Wells,av of 6 wells ± SD,,210,3/31/2022
264,292,100.000,,6,71.700,2.700,6,SD,Wells,av of 6 wells ± SD,,211,3/31/2022
268,296,100.000,,6,86.830,3.618,6,SD,Wells,av of 6 wells ± SD,,212,3/31/2022
273,301,100.000,,3,109.300,24.380,3,SD,"percentage of control values (no additions) from three independent experiments, where each experiment was performed in triplicate",,1-40 FRESH,213,3/31/2022
277,305,100.000,,3,102.400,15.290,3,SD,"percentage of control values (no additions) from three independent experiments, where each experiment was performed in triplicate",,,214,3/31/2022
